description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Supercat Adultos Delicias en Salsa Pavo 160 g,,160.0,g,3.7,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,23.125,PAVO EVISCERADO
Filetitos en Salsa Ricocat Adultos Sabor Pavo 190g,,190.0,g,4.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,23.68421052631579,PAVO EVISCERADO
Delicias en Salsa Super Cat Adultos Sabor Pavo 190g,,190.0,g,5.0,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,26.315789473684212,PAVO EVISCERADO
Paté Super Cat Adultos Sabor Hígado y Pavo 180g,,180.0,g,5.0,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,27.77777777777778,PAVO EVISCERADO
Paté Super Cat Adultos Sabor Hígado y Pavo 180g,,180.0,g,5.0,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,27.77777777777778,PAVO EVISCERADO
Aderezo para Pavo Cuisine & Co 250g,,250.0,g,6.9,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,27.6,PAVO EVISCERADO
Felix Alimento Húmedo para Gatos Paté de Pavo y Menudencias Lata 156 gr,,156.0,g,7.0,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,44.871794871794876,PAVO EVISCERADO
Felix Alimento Húmedo para Gatos Paté de Pavo y Menudencias Lata 156 gr,,156.0,g,7.0,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,44.871794871794876,PAVO EVISCERADO
Limpiador Pato Inodoro Pastilla Adhesiva Lavanda 30g,,30.0,g,7.8,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,260.0,PAVO EVISCERADO
Aderezo de Pavo Cuisine & Co 250g,,250.0,g,7.9,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,31.6,PAVO EVISCERADO
Ricocat Paté para Gatos Adultos Pavo e Hígado Lata 330 gr,,330.0,g,8.4,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,25.454545454545457,PAVO EVISCERADO
Ricocat Paté para Gatos Adultos Pavo e Hígado Lata 330 gr,,330.0,g,8.4,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,25.454545454545457,PAVO EVISCERADO
Aderezo de Pavo Arezzo 500g,,500.0,g,9.5,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,19.0,PAVO EVISCERADO
Hot Dog de Pavo Braedt Balance 250g,,250.0,g,9.9,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,39.6,PAVO EVISCERADO
Alimento Rambala parte de Gato Pavo Jurel 500g,,500.0,g,12.2,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,24.4,PAVO EVISCERADO
Alimento Rambala parte de Gato Pavo Jurel 500g,,500.0,g,12.2,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,24.4,PAVO EVISCERADO
Limpiador Pato Tanque Pastilla Marina 1 Repuesto 40g,,40.0,g,12.4,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,310.0,PAVO EVISCERADO
Brazuelo de Pavita San Fernando x kg,,1.0,kg,13.2,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,13.2,PAVO EVISCERADO
Jamón de Pavo Braedt Paquete 200 g,,200.0,g,13.5,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,67.5,PAVO EVISCERADO
Aderezo de Pavo Cuisine & Co 500g,,500.0,g,13.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,27.0,PAVO EVISCERADO
Jamón de Pavo Braedt Paquete 200 g,,200.0,g,13.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,67.5,PAVO EVISCERADO
Aderezo Para Pavo El Olivar 500 g,,500.0,g,13.9,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,27.8,PAVO EVISCERADO
Salchicha de Pechuga de Pavo Paquete 250 g,,250.0,g,13.9,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,55.6,PAVO EVISCERADO
Jamón de Pechuga de Pavo Casa Europa Paquete 200 g,,200.0,g,14.8,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,74.0,PAVO EVISCERADO
Jamón de Pechuga de Pavo Braedt Balance Paquete 200 g,,200.0,g,14.87,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,74.35,PAVO EVISCERADO
Pavo Entero Redondos x kg,,1.0,kg,14.9,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,14.9,PAVO EVISCERADO
Pavo Entero Congelado San Fernando x kg,,1.0,kg,15.4,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,15.4,PAVO EVISCERADO
Pavo Entero Congelado San Fernando x kg,,1.0,kg,15.4,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,15.4,PAVO EVISCERADO
Jamón de Pechuga de Pavo Braedt Balance Paquete 200 g,,200.0,g,15.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,77.5,PAVO EVISCERADO
Jamón de Pechuga de Pavo Salchichería Alemana 200g,,200.0,g,15.9,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,79.5,PAVO EVISCERADO
Hamburguesas de Pavo Natural Home 600g,,600.0,g,15.99,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,26.650000000000002,PAVO EVISCERADO
Jamón de Pechuga de Pavo Salchichería Alemana 200g,,200.0,g,16.3,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,81.5,PAVO EVISCERADO
Drummets de Pavita San Fernando x kg,,1.0,kg,16.6,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,16.6,PAVO EVISCERADO
Jamón de Pechuga de Pavo Braedt Paquete 200 g,,200.0,g,17.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,87.5,PAVO EVISCERADO
Jamón de Pechuag de Pavo Ahumado Salchichería Alemana 200g,,200.0,g,17.9,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,89.5,PAVO EVISCERADO
Limpiador Pato Tanque Pastilla Marina 2pack 80g,,80.0,g,18.1,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,226.25000000000003,PAVO EVISCERADO
Jamón de Pechuag de Pavo Ahumado Salchichería Alemana 200g,,200.0,g,18.4,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,92.0,PAVO EVISCERADO
Pechuga de Pavita en Trozos San Fernando x Kg,,1.0,kg,18.99,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,18.99,PAVO EVISCERADO
Jamón de Pavo con Aceitunas Negras La Genovesa 150g,,150.0,g,19.2,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,128.0,PAVO EVISCERADO
Alimento Congelado Pavo Pato Origo Pet 800g,,800.0,g,19.49,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,24.362499999999997,PAVO EVISCERADO
Jamón de Pechuga de Pavo Ahumado Braedt Paquete 200 g,,200.0,g,19.5,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,97.5,PAVO EVISCERADO
Hot Dog de Pavo Braedt Balance Paquete 500 g,,500.0,g,19.5,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,39.0,PAVO EVISCERADO
Jamón de Pechuga de Pavo Ahumado Braedt Paquete 200 g,,200.0,g,19.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,97.5,PAVO EVISCERADO
Pechuga de Pavo Especial Cuisine & Co x kg,,1.0,kg,19.9,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,19.9,PAVO EVISCERADO
Jamón de Pavo Ahumado con Aceite de Oliva La Genovesa 150g,,150.0,g,20.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,136.66666666666669,PAVO EVISCERADO
Pechuga de Pavita San Fernando x kg,,1.0,kg,21.5,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,21.5,PAVO EVISCERADO
Guiso de Pechuga de Pavita x kg,,1.0,kg,21.7,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,21.7,PAVO EVISCERADO
Guiso de Pechuga de Pavita San Fernando x kg,,1.0,kg,22.7,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,22.7,PAVO EVISCERADO
Guiso de Pechuga de Pavita San Fernando x kg,,1.0,kg,22.7,metro,2024-12-06 18:02:07.123709,PAVO EVISCERADO,1.0,kg,22.7,PAVO EVISCERADO
Limpiador Pato Tanque Pastilla Marina 3pack 120g,,120.0,g,23.2,wong,2024-12-06 13:22:18.771828,PAVO EVISCERADO,1.0,kg,193.33333333333334,PAVO EVISCERADO
