description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Crema con Queso Natural BELL'S Paquete 80g,,80.0,g,2.8,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,80.0,g,2.8,QUESO MANTECOSO
Queso crema LA FLORENCIA Sabor Jamón 80g,,80.0,g,2.8,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,80.0,g,2.8,QUESO MANTECOSO
Queso Fundido BONLÉ Sabor Jamón Sachet 80g,,80.0,g,3.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,80.0,g,3.5,QUESO MANTECOSO
Queso Parmesano BELL'S Paquete 35g,,35.0,g,4.2,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,35.0,g,4.2,QUESO MANTECOSO
Queso Parmesano Rallado LAIVE Paquete 35g,LAIVE,35.0,g,4.6,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,35.0,g,4.6,QUESO MANTECOSO
Queso Parmesano Rallado LAIVE Paquete 35g,,35.0,g,4.6,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,35.0,g,4.6,QUESO MANTECOSO
Queso Parmesano Rallado BONLÉ Paquete 35g,,35.0,g,4.7,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,35.0,g,4.7,QUESO MANTECOSO
Queso Parmesano Rallado BONLÉ Paquete 35g,BONLÉ,35.0,g,4.7,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,35.0,g,4.7,QUESO MANTECOSO
Galletas Saladas RITZ sabor Queso Paquete 6un,,6.0,un,4.79,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,6.0,un,4.79,QUESO MANTECOSO
Palitos de Maíz CHEESE TRIS Queso Bolsa 120g,,120.0,g,5.0,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,120.0,g,5.0,QUESO MANTECOSO
Queso Fundido LAIVE Paquete 90g,,90.0,g,5.8,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,90.0,g,5.8,QUESO MANTECOSO
Queso Fundido BONLÉ Sabor Cheddar Paquete 136g,,136.0,g,6.6,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,136.0,g,6.6,QUESO MANTECOSO
Queso Fundido BONLÉ Sabor Natural Paquete 136g,,136.0,g,6.6,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,136.0,g,6.6,QUESO MANTECOSO
Papas INKA CHIPS Queso & Cebolla Bolsa 135g,,135.0,g,7.6,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,135.0,g,7.6,QUESO MANTECOSO
Papas PRINGLES Queso Lata 109g,,109.0,g,8.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,109.0,g,8.5,QUESO MANTECOSO
Tortillas de Maíz DORITOS Queso Atrevido Bolsa...,,190.0,g,9.0,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,190.0,g,9.0,QUESO MANTECOSO
Queso Edam BELLS Paquete 180g,,180.0,g,9.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,9.5,QUESO MANTECOSO
Queso Crema BELL'S Caja 227g,,227.0,g,9.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,227.0,g,9.9,QUESO MANTECOSO
Queso Fresco BELL'S Paquete 300g,BELL'S FRESCOS,300.0,g,9.9,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,300.0,g,9.9,QUESO MANTECOSO
Queso Crema PHILADELPHIA Brick Original Paquet...,,180.0,g,9.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,9.9,QUESO MANTECOSO
Queso Crema DELICE Barra 190g,,190.0,g,10.0,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,190.0,g,10.0,QUESO MANTECOSO
Queso Gouda PRESIDENT Paquete 150g,,150.0,g,10.3,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,150.0,g,10.3,QUESO MANTECOSO
Queso Parmesano Rallado UNO Paquete 100g,,100.0,g,10.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,100.0,g,10.5,QUESO MANTECOSO
Queso Fresco Pasteurizado Light BELL'S Paquete 300g,BELL'S FRESCOS,300.0,g,10.5,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,300.0,g,10.5,QUESO MANTECOSO
Queso Crema PRESIDENT Paquete 190g,,190.0,g,10.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,190.0,g,10.5,QUESO MANTECOSO
Queso Fresco LAIVE,,0.3,kg,10.65,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,0.3,kg,10.65,QUESO MANTECOSO
Queso Fresco SBELT,,0.3,kg,10.77,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,0.3,kg,10.77,QUESO MANTECOSO
Queso Fresco sin Lactosa LAIVE,,0.3,kg,10.77,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,0.3,kg,10.77,QUESO MANTECOSO
Queso Crema PRESIDENT Paquete 190g,PRESIDENT,190.0,g,10.9,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,190.0,g,10.9,QUESO MANTECOSO
Ravioles 4 Quesos BELL'S Paquete 500g,,500.0,g,10.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,500.0,g,10.9,QUESO MANTECOSO
Queso Mozzarella para Pizza BELL'S SELECCIÓN B...,,250.0,g,10.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,250.0,g,10.9,QUESO MANTECOSO
Queso Crema BELL'S Pote 227g,,227.0,g,10.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,227.0,g,10.9,QUESO MANTECOSO
Queso Paria GLORIA en Tajadas Paquete 180g,,180.0,g,10.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,10.9,QUESO MANTECOSO
Queso Fresco GLORIA Paquete 250g,,0.3,kg,11.49,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,0.3,kg,11.49,QUESO MANTECOSO
Queso Fresco GLORIA Paquete 250g,GLORIA,250.0,g,11.49,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,250.0,g,11.49,QUESO MANTECOSO
Queso Edam BRAEDT Paquete 180g,BRAEDT,180.0,g,11.5,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,180.0,g,11.5,QUESO MANTECOSO
Queso Cottage PLUSA Paquete 225g,,225.0,g,11.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,225.0,g,11.5,QUESO MANTECOSO
Queso Cottage PLUSA Paquete 225g,PLUSA,225.0,g,11.5,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,225.0,g,11.5,QUESO MANTECOSO
Queso Gouda BRAEDT Paquete 180g,BRAEDT,180.0,g,11.5,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,180.0,g,11.5,QUESO MANTECOSO
Queso Mozzarella BRAEDT Paquete 180g,BRAEDT,180.0,g,11.5,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,180.0,g,11.5,QUESO MANTECOSO
Queso Paria BONLÉ,,0.2,kg,11.58,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,0.2,kg,11.58,QUESO MANTECOSO
Queso Crema PIAMONTE Cabaña Light Pote 250g,PIAMONTE,250.0,g,11.9,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,250.0,g,11.9,QUESO MANTECOSO
Queso Crema PIAMONTE Cabaña Light Pote 250g,,250.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,250.0,g,11.9,QUESO MANTECOSO
Queso Gouda BRAEDT Paquete 180g,,180.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,11.9,QUESO MANTECOSO
Queso Edam LAIVE Sin Lactosa Paquete 180g,,180.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,11.9,QUESO MANTECOSO
Queso Edam BRAEDT Paquete 180g,,180.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,11.9,QUESO MANTECOSO
Queso Edam LAIVE Sin Lactosa Paquete 180g,LAIVE,180.0,g,11.9,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,180.0,g,11.9,QUESO MANTECOSO
Queso Mozzarella BRAEDT Paquete 180g,,180.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,11.9,QUESO MANTECOSO
Queso Mozzarella LAIVE Paquete 180g,,180.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,11.9,QUESO MANTECOSO
Queso Edam LAIVE Paquete 180g,,180.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,11.9,QUESO MANTECOSO
Queso Parmesano Rallado KRAFT Frasco 85g,,85.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,85.0,g,11.9,QUESO MANTECOSO
Queso Crema PHILADELPHIA Soft Light Pote 150g,,150.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,150.0,g,11.9,QUESO MANTECOSO
Queso Rulo de Cabra MARQUÉS DEL CASTILLO con Miel Paquete 110g,MARQUÉS DEL CASTILLO,110.0,g,11.9,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,110.0,g,11.9,QUESO MANTECOSO
Queso Crema PHILADELPHIA Soft Original Pote 15...,,150.0,g,11.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,150.0,g,11.9,QUESO MANTECOSO
Queso Maasdam PRESIDENT Paquete 150g,PRÉSIDENT,150.0,g,12.2,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,150.0,g,12.2,QUESO MANTECOSO
Queso Mozzarella en Bola BONLÉ Paquete 250g,,250.0,g,12.2,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,250.0,g,12.2,QUESO MANTECOSO
Queso Mozzarella en Bola BONLÉ Paquete 250g,BONLÉ,250.0,g,12.2,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,250.0,g,12.2,QUESO MANTECOSO
Queso Mozzarella LAIVE Paquete 250g,LAIVE,250.0,g,12.4,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,250.0,g,12.4,QUESO MANTECOSO
Queso Edam BELLS Paquete 250g,,250.0,g,12.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,250.0,g,12.5,QUESO MANTECOSO
Queso Mozzarella KRAFT Slim Cut Paquete 198g,KRAFT,198.0,g,12.9,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,198.0,g,12.9,QUESO MANTECOSO
Queso Gouda GLORIA Tajadas Paquete 180g,,180.0,g,12.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,12.9,QUESO MANTECOSO
Queso Andino LAIVE Paquete 180g,,180.0,g,12.9,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,180.0,g,12.9,QUESO MANTECOSO
Queso Crema PHILADELPHIA Soft Original Pote 150g,PHILADELPHIA,150.0,g,13.1,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,150.0,g,13.1,QUESO MANTECOSO
Pack Jamón Pizza BRAEDT Queso Edam Paquete 370...,,370.0,g,13.4,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,370.0,g,13.4,QUESO MANTECOSO
Queso Crema PHILADELPHIA Brick Original Paquete 180g,PHILADELPHIA,180.0,g,13.5,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,180.0,g,13.5,QUESO MANTECOSO
Queso Parmesano PIAMONTE Paquete 200g,PIAMONTE,200.0,g,13.5,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,200.0,g,13.5,QUESO MANTECOSO
Pack Papas LAY´S Clásicas Bolsa 150g + DORITOS...,,2.0,un,13.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,2.0,un,13.5,QUESO MANTECOSO
Queso Parmesano PIAMONTE Paquete 200g,,200.0,g,13.5,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,200.0,g,13.5,QUESO MANTECOSO
Queso Parmesano Rallado KRAFT Frasco 85g,KRAFT,85.0,g,13.7,vivanda,2024-12-06 11:38:58.059528,QUESO MANTECOSO,85.0,g,13.7,QUESO MANTECOSO
Queso Edam Light LAIVE Molde 1Kg,,0.25,kg,13.75,plaza_vea,2024-12-06 13:49:55.610365,QUESO MANTECOSO,0.25,kg,13.75,QUESO MANTECOSO
