description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sandía,,2.5,kg,1.29,plaza_vea,2024-12-06 14:05:10.717387,SANDÍA,2.5,kg,1.29,SANDÍA
Sandía Metro x kg,,1.0,kg,1.49,metro,2024-12-06 18:41:00.701076,SANDÍA,1.0,kg,1.49,SANDÍA
Gomitas MOGUL Sandía Extreme Bolsa 50g,,50.0,g,1.9,plaza_vea,2024-12-06 14:05:10.717387,SANDÍA,50.0,g,1.9,SANDÍA
Sandía Wong x kg,,1.0,kg,1.99,wong,2024-12-06 14:05:33.491376,SANDÍA,1.0,kg,1.99,SANDÍA
Gomita Fini Roller Fizz Sabor Sandía 20g,,20.0,g,1.99,metro,2024-12-06 18:41:00.701076,SANDÍA,20.0,g,1.99,SANDÍA
Roller Fantasi FINI Sandía Bolsa 20g,,20.0,g,2.0,plaza_vea,2024-12-06 14:05:10.717387,SANDÍA,20.0,g,2.0,SANDÍA
Gomitas Mogul Sandía 50g,,50.0,g,2.5,metro,2024-12-06 18:41:00.701076,SANDÍA,50.0,g,2.5,SANDÍA
Melón Coquito Wong x kg,,1.0,kg,2.99,wong,2024-12-06 14:05:33.491376,SANDÍA,1.0,kg,2.99,SANDÍA
Melón Coquito Metro x kg,,1.0,kg,3.29,metro,2024-12-06 18:41:00.701076,SANDÍA,1.0,kg,3.29,SANDÍA
Sandía Amarilla x kg,,1.0,kg,3.49,plaza_vea,2024-12-06 14:05:10.717387,SANDÍA,1.0,kg,3.49,SANDÍA
Chicles Sin Azúcar Trident Splash Sabor Hierbabuena y Sandía 9un,,9.0,un,3.6,wong,2024-12-06 14:05:33.491376,SANDÍA,9.0,un,3.6,SANDÍA
Chicle TRIDENT Splash Sin Azúcar sabor Hierbab...,,9.0,un,3.6,plaza_vea,2024-12-06 14:05:10.717387,SANDÍA,9.0,un,3.6,SANDÍA
Gomitas MOGUL Sandía Extreme Bolsa 80g,,80.0,g,3.9,plaza_vea,2024-12-06 14:05:10.717387,SANDÍA,80.0,g,3.9,SANDÍA
Sandía Amarilla x kg,,1.0,kg,3.99,wong,2024-12-06 14:05:33.491376,SANDÍA,1.0,kg,3.99,SANDÍA
Chicles Sin Azúcar Trident Evup Sandia 18un,,18.0,un,4.1,metro,2024-12-06 18:41:00.701076,SANDÍA,18.0,un,4.1,SANDÍA
Gomitas Mogul Extreme Sandía 80g,,80.0,g,4.6,metro,2024-12-06 18:41:00.701076,SANDÍA,80.0,g,4.6,SANDÍA
