description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Bebida H20H Limoneto Botella 500 ml,,500.0,ml,1.8,wong,2024-12-07 18:28:06.416427,BEBIDA ENERGIZANTE (FLUIDA),500.0,ml,1.8,BEBIDA ENERGIZANTE (FLUIDA)
Energizante Zero 220V 450 mL,TOTTUS,450.0,ml,1.8,tottus,2024-12-07 14:16:03.979436,BEBIDA ENERGIZANTE (FLUIDA),450.0,ml,1.8,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Rehidratante SPORADE Tropical Botella 500ml,Sporade,500.0,ml,2.0,vega,2024-12-07 16:56:31.277553,BEBIDA ENERGIZANTE (FLUIDA),500.0,ml,2.0,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,2.2,wong,2024-12-07 18:28:06.416427,BEBIDA ENERGIZANTE (FLUIDA),625.0,ml,2.2,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Rehidratante Cero Fresa 475 mL,ELECTROLIGHT,475.0,ml,2.2,tottus,2024-12-07 14:16:03.979436,BEBIDA ENERGIZANTE (FLUIDA),475.0,ml,2.2,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Con Gas San Luis Manzana Botella 625ml,,625.0,ml,2.2,wong,2024-12-07 18:28:06.416427,BEBIDA ENERGIZANTE (FLUIDA),625.0,ml,2.2,BEBIDA ENERGIZANTE (FLUIDA)
Bebida de Agua San Luis Sabor Limón Botella 625ml,,625.0,ml,2.2,wong,2024-12-07 18:28:06.416427,BEBIDA ENERGIZANTE (FLUIDA),625.0,ml,2.2,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Con Gas San Luis Maracuyá Botella 625ml,,625.0,ml,2.2,wong,2024-12-07 18:28:06.416427,BEBIDA ENERGIZANTE (FLUIDA),625.0,ml,2.2,BEBIDA ENERGIZANTE (FLUIDA)
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,,14.0,g,2.3,wong,2024-12-07 18:28:06.416427,BEBIDA ENERGIZANTE (FLUIDA),14.0,g,2.3,BEBIDA ENERGIZANTE (FLUIDA)
Bebida en Polvo Clight Sin Calorías Sabor Piña 14g,,14.0,g,2.3,wong,2024-12-07 18:28:06.416427,BEBIDA ENERGIZANTE (FLUIDA),14.0,g,2.3,BEBIDA ENERGIZANTE (FLUIDA)
