description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Bebida Instantánea en Polvo ZUKO Sabores de mi...,,15.0,g,1.2,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,15.0,g,1.2,CEBADA TOSTADA SOLUBLE
Bebida Instantánea en Polvo ZUKO Piña Sobre 15...,,15.0,g,1.2,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,15.0,g,1.2,CEBADA TOSTADA SOLUBLE
Bebida Instantánea en Polvo ZUKO Naranja Sobre...,,15.0,g,1.2,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,15.0,g,1.2,CEBADA TOSTADA SOLUBLE
Bebida Rehidratante GATORADE Mandarina Botella...,,500.0,ml,2.0,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,500.0,ml,2.0,CEBADA TOSTADA SOLUBLE
Bebida Rehidratante GATORADE Tropical Fruit Bo...,,500.0,ml,2.0,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,500.0,ml,2.0,CEBADA TOSTADA SOLUBLE
Bebida SAN LUIS Sin Gas Sabor Piña y Kión Bote...,,625.0,ml,2.2,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,625.0,ml,2.2,CEBADA TOSTADA SOLUBLE
Bebida Instantánea en Polvo CLIGHT Sin Caloría...,,14.0,g,2.3,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,14.0,g,2.3,CEBADA TOSTADA SOLUBLE
Maicena UNIVERSAL Bolsa 100gr,Universal,100.0,g,2.5,vega,2024-12-07 16:52:09.879638,CEBADA TOSTADA SOLUBLE,100.0,g,2.5,CEBADA TOSTADA SOLUBLE
Mostaza BELL'S Doypack 200Gr,,200.0,g,2.6,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,200.0,g,2.6,CEBADA TOSTADA SOLUBLE
Bebida de Leche Chocolatada LA PREFERIDA Bolsa...,,800.0,ml,2.9,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,800.0,ml,2.9,CEBADA TOSTADA SOLUBLE
Bebida de Leche UHT BONLÉ Chocolatada Bolsa 80...,,800.0,ml,3.0,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,800.0,ml,3.0,CEBADA TOSTADA SOLUBLE
Maizena UNIVERSAL Bolsa 180gr,Universal,180.0,g,3.0,vega,2024-12-07 16:52:09.879638,CEBADA TOSTADA SOLUBLE,180.0,g,3.0,CEBADA TOSTADA SOLUBLE
Bebida GLORIA Durazno Caja 1L,,1.0,l,3.9,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,1.0,l,3.9,CEBADA TOSTADA SOLUBLE
Bebida GLORIA Mango Caja 1L,,1.0,l,3.9,plaza_vea,2024-12-07 14:37:02.782022,CEBADA TOSTADA SOLUBLE,1.0,l,3.9,CEBADA TOSTADA SOLUBLE
