description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Caramelo BUBBALO Sparkies Bolsa 25gr,Sparkies,25.0,g,1.5,vega,2024-12-07 16:50:25.955207,CHIFLE (BOCADITOS),25.0,g,1.5,CHIFLE (BOCADITOS)
Chifoncito de Naranja Wong 50g,,50.0,g,2.72,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),50.0,g,2.72,CHIFLE (BOCADITOS)
Gomitas Ambrosito 90g,,90.0,g,3.4,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),90.0,g,3.4,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Trident X Splash Fresa y Limón 9un,,9.0,un,3.5,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),9.0,un,3.5,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Splash Sabor Menta y Vainilla 9un,,9.0,un,3.6,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),9.0,un,3.6,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Splash Sabor Hierbabuena y Sandía 9un,,9.0,un,3.6,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),9.0,un,3.6,CHIFLE (BOCADITOS)
Chifles Salados 100 g,TOTTUS,100.0,g,3.79,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),100.0,g,3.79,CHIFLE (BOCADITOS)
Piqueo BELL'S Chifles Salados Táper 100g,BELL'S,100.0,g,3.9,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),100.0,g,3.9,CHIFLE (BOCADITOS)
Pasta Dental DENTITO Chicle Globo Tubo 85 gr,Dento,85.0,g,4.0,vega,2024-12-07 16:50:25.955207,CHIFLE (BOCADITOS),85.0,g,4.0,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Yerbabuena 18un,,18.0,un,4.0,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),18.0,un,4.0,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Menta 18un,,18.0,un,4.0,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),18.0,un,4.0,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Fresh Herbal 18un,,18.0,un,4.1,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicle TRIDENT Sin Azúcar sabor Menta Envase 18un,TRIDENT,18.0,un,4.1,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicle TRIDENT Sin Azúcar sabor Tutti Frutti Envase 18un,TRIDENT,18.0,un,4.1,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicle TRIDENT Sin Azúcar sabor Menta Herbal Envase 18un,TRIDENT,18.0,un,4.1,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicle TRIDENT Sin Azúcar sabor Mora Azul Envase 18un,TRIDENT,18.0,un,4.1,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicle Trident Evup Freshmint 18un,,18.0,un,4.1,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Mora Azul 30.6g,,30.6,g,4.1,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),30.6,g,4.1,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Sandia 18un,,18.0,un,4.1,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Cool Bubble 18un,,18.0,un,4.1,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),18.0,un,4.1,CHIFLE (BOCADITOS)
Chicle FINI Sabor a Sandia Acida Bolsa 80gr,Fini,80.0,g,4.2,vega,2024-12-07 16:50:25.955207,CHIFLE (BOCADITOS),80.0,g,4.2,CHIFLE (BOCADITOS)
Chicle FINI Huevos de Dinos Bolsa 80gr,Fini,80.0,g,4.2,vega,2024-12-07 16:50:25.955207,CHIFLE (BOCADITOS),80.0,g,4.2,CHIFLE (BOCADITOS)
Cancha Chullpi + Chifle Salado VEGA Pote 150g,Vega,150.0,g,4.3,vega,2024-12-07 16:50:25.955207,CHIFLE (BOCADITOS),150.0,g,4.3,CHIFLE (BOCADITOS)
Marshmellows Colombina Millows Navidad 145g,,145.0,g,4.4,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),145.0,g,4.4,CHIFLE (BOCADITOS)
Chives Verde Puro 45g,,45.0,g,4.5,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),45.0,g,4.5,CHIFLE (BOCADITOS)
Gomitas Mogul Extreme Sandía 80g,,80.0,g,4.6,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),80.0,g,4.6,CHIFLE (BOCADITOS)
Piqueo BELL'S Chifles salados Bolsa 125Gr,BELL'S,125.0,g,4.7,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),125.0,g,4.7,CHIFLE (BOCADITOS)
Sixpack Galleta con Crema Casino Choco Chill 43g,,43.0,g,4.7,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),43.0,g,4.7,CHIFLE (BOCADITOS)
Chifles Picantes Cuisine & Co 100g,,100.0,g,4.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,4.9,CHIFLE (BOCADITOS)
Marshmellows Mr. Mallo American BBQ Bolsa 250 g,,250.0,g,4.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),250.0,g,4.9,CHIFLE (BOCADITOS)
Chifles Jalapeños Cuisine & Co 100g,,100.0,g,4.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,4.9,CHIFLE (BOCADITOS)
Chifles Salados VEGA Bolsa 150gr,Vega,150.0,g,4.9,vega,2024-12-07 16:50:25.955207,CHIFLE (BOCADITOS),150.0,g,4.9,CHIFLE (BOCADITOS)
Chicle Sabor Sandía Fini Sandía Ácida 80g,,80.0,g,4.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),80.0,g,4.9,CHIFLE (BOCADITOS)
Gomitas Ácidas Sabores Surtidos Fini Gusanos Ácidos 90g,,90.0,g,4.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),90.0,g,4.9,CHIFLE (BOCADITOS)
Piqueo VILLA NATURA Chifles salados Bolsa 150Gr,VILLA NATURA,150.0,g,5.0,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),150.0,g,5.0,CHIFLE (BOCADITOS)
Marshmallows Millows Cilindro Bolsa 145 g,,145.0,g,5.0,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),145.0,g,5.0,CHIFLE (BOCADITOS)
Chifles Dulces VILLA NATURA Bolsa 150g,VILLA NATURA,150.0,g,5.0,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),150.0,g,5.0,CHIFLE (BOCADITOS)
Marshmellows Tropical Mini Bolsa 100 g,,100.0,g,5.4,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,5.4,CHIFLE (BOCADITOS)
Chifle Salado 150 g,TOTTUS,150.0,g,5.5,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),150.0,g,5.5,CHIFLE (BOCADITOS)
Camote Frito en Hojuelas Cuisine & Co Pote 100 g,,100.0,g,5.6,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,5.6,CHIFLE (BOCADITOS)
Cancha con Chifle VEGA Pote 150g,Vega,150.0,g,5.8,vega,2024-12-07 16:50:25.955207,CHIFLE (BOCADITOS),150.0,g,5.8,CHIFLE (BOCADITOS)
Gomitas Trolli Sharks 100g,,100.0,g,5.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,5.9,CHIFLE (BOCADITOS)
Camote Frito Cuisine & Co Bolsa 130 gr,,130.0,g,5.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),130.0,g,5.9,CHIFLE (BOCADITOS)
Gomitas Trolli Octopus 100g,,100.0,g,5.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,5.9,CHIFLE (BOCADITOS)
Gomitas Trolli Classic Bears 100g,,100.0,g,5.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,5.9,CHIFLE (BOCADITOS)
Chifles salados de 125 g,GELCE,125.0,g,5.9,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),125.0,g,5.9,CHIFLE (BOCADITOS)
Gomitas Trolli Sour Glow Worms 100g,,100.0,g,5.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,5.9,CHIFLE (BOCADITOS)
Chifle Crickets Leche De Tigre 150 g,CRICKET'S,150.0,g,5.93,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),150.0,g,5.93,CHIFLE (BOCADITOS)
Chifle Crickets Picante 150 g,CRICKET'S,150.0,g,5.93,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),150.0,g,5.93,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Orbit Fresa 14un,,14.0,un,6.0,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),14.0,un,6.0,CHIFLE (BOCADITOS)
Chifles del Vraem Tiyapuy 142g,,142.0,g,6.2,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),142.0,g,6.2,CHIFLE (BOCADITOS)
Maíz Gigante Inka Corn Chile Picante 100g,,100.0,g,6.2,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,6.2,CHIFLE (BOCADITOS)
Marshmellows Ambrosoli Mellows Bolsa 230 g,,230.0,g,6.2,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),230.0,g,6.2,CHIFLE (BOCADITOS)
Hojuelas de Camote Tiyapuy Bolsa 160 g,,160.0,g,6.2,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),160.0,g,6.2,CHIFLE (BOCADITOS)
Canchita con Chifles Cuisine & Co Pote 180 g,,180.0,g,6.7,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),180.0,g,6.7,CHIFLE (BOCADITOS)
Chicle Wrigley's Juicy Fruit 15un,,15.0,un,6.7,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),15.0,un,6.7,CHIFLE (BOCADITOS)
Hojuelas de Camote Natuchips 135g,,135.0,g,6.7,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),135.0,g,6.7,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Menta Polar Wrigley's Extra Caja 15 unid,,15.0,un,6.7,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),15.0,un,6.7,CHIFLE (BOCADITOS)
Chicles Wrigley's Spearmint 15un,,15.0,un,6.7,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),15.0,un,6.7,CHIFLE (BOCADITOS)
Chicle Wrigley's Doublemint 15un,,15.0,un,6.8,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),15.0,un,6.8,CHIFLE (BOCADITOS)
Chifles Norteños Cuisine & Co Pote 100 g,,100.0,g,6.8,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),100.0,g,6.8,CHIFLE (BOCADITOS)
Chifle Acevichado Cuisine & Co 150g,,150.0,g,6.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),150.0,g,6.9,CHIFLE (BOCADITOS)
Chicle Wrigley's Orbit Spearmint 14un,,14.0,un,6.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),14.0,un,6.9,CHIFLE (BOCADITOS)
Chicle Wrigley's Orbit Peppermint 14un,,14.0,un,6.9,wong,2024-12-07 18:20:05.212983,CHIFLE (BOCADITOS),14.0,un,6.9,CHIFLE (BOCADITOS)
Chifle Salado 150 g,VILLA NATURA,150.0,g,6.9,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),150.0,g,6.9,CHIFLE (BOCADITOS)
Chifle Dulce150g,VILLA NATURA,150.0,g,6.9,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),150.0,g,6.9,CHIFLE (BOCADITOS)
Chifles Sabor Norteño 160 g,GELCE,160.0,g,6.9,tottus,2024-12-07 14:11:08.136953,CHIFLE (BOCADITOS),160.0,g,6.9,CHIFLE (BOCADITOS)
Chifles Norteños MILYS Bolsa 160g,GELCE,160.0,g,7.4,vivanda,2024-12-07 14:51:38.046105,CHIFLE (BOCADITOS),160.0,g,7.4,CHIFLE (BOCADITOS)
