description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Durazno en Mitades Metro Lata 820g,,820.0,g,5.76,metro,2024-12-07 20:29:17.898424,DURAZNO EN CONSERVA,820.0,g,5.76,DURAZNO EN CONSERVA
Duraznos en Mitades 415g,TOTTUS,415.0,g,5.9,tottus,2024-12-07 13:38:06.235651,DURAZNO EN CONSERVA,415.0,g,5.9,DURAZNO EN CONSERVA
Duraznos en Almíbar Cuisine & Co 820g,,820.0,g,6.0,metro,2024-12-07 20:29:17.898424,DURAZNO EN CONSERVA,820.0,g,6.0,DURAZNO EN CONSERVA
Duraznos en Almíbar Cuisine & Co 820g,,820.0,g,6.32,wong,2024-12-07 17:38:29.115739,DURAZNO EN CONSERVA,820.0,g,6.32,DURAZNO EN CONSERVA
Duraznos en Mitades en Conserva Del Rio 820g,,820.0,g,7.6,metro,2024-12-07 20:29:17.898424,DURAZNO EN CONSERVA,820.0,g,7.6,DURAZNO EN CONSERVA
Durazno En Mitades Arica Contenido 820 g,,820.0,g,7.92,metro,2024-12-07 20:29:17.898424,DURAZNO EN CONSERVA,820.0,g,7.92,DURAZNO EN CONSERVA
Duraznos en Almíbar 820 g,ARICA,820.0,g,8.5,tottus,2024-12-07 13:38:06.235651,DURAZNO EN CONSERVA,820.0,g,8.5,DURAZNO EN CONSERVA
Duraznos En Mitades x 820 g,COMPASS,820.0,g,8.5,tottus,2024-12-07 13:38:06.235651,DURAZNO EN CONSERVA,820.0,g,8.5,DURAZNO EN CONSERVA
Conservas De Durazno x 820 g,PULP,820.0,g,8.5,tottus,2024-12-07 13:38:06.235651,DURAZNO EN CONSERVA,820.0,g,8.5,DURAZNO EN CONSERVA
Duraznos Deshidratados Wel-B 14g,,14.0,g,8.7,wong,2024-12-07 17:38:29.115739,DURAZNO EN CONSERVA,14.0,g,8.7,DURAZNO EN CONSERVA
Duraznos en Almíbar Aconcagua 820g,,820.0,g,8.72,metro,2024-12-07 20:29:17.898424,DURAZNO EN CONSERVA,820.0,g,8.72,DURAZNO EN CONSERVA
Duraznos en Mitades Pulp 820g,,820.0,g,8.8,wong,2024-12-07 17:38:29.115739,DURAZNO EN CONSERVA,820.0,g,8.8,DURAZNO EN CONSERVA
Duraznos en Almíbar Dos Caballos 820g,,820.0,g,9.2,wong,2024-12-07 17:38:29.115739,DURAZNO EN CONSERVA,820.0,g,9.2,DURAZNO EN CONSERVA
Duraznos en Almíbar Dos Caballos 820g,,820.0,g,9.2,metro,2024-12-07 20:29:17.898424,DURAZNO EN CONSERVA,820.0,g,9.2,DURAZNO EN CONSERVA
Cocktail de Frutas VEGA Lata 820g,Vega,820.0,g,10.4,vega,2024-12-07 16:09:54.921702,DURAZNO EN CONSERVA,820.0,g,10.4,DURAZNO EN CONSERVA
Cocktail de Frutas TIMONEL Lata 820g,Timonel,820.0,g,10.8,vega,2024-12-07 16:09:54.921702,DURAZNO EN CONSERVA,820.0,g,10.8,DURAZNO EN CONSERVA
Conserva de Durazno en Mitades ACONCAGUA en Almibar Lata 822g,ACONCAGUA,822.0,g,10.9,vivanda,2024-12-07 14:27:02.867341,DURAZNO EN CONSERVA,822.0,g,10.9,DURAZNO EN CONSERVA
Conserva de Durazno en Mitades ACONCAGUA en Al...,,822.0,g,10.9,plaza_vea,2024-12-07 13:59:12.554738,DURAZNO EN CONSERVA,822.0,g,10.9,DURAZNO EN CONSERVA
Durazno en Mitades ACONCAGUA Lata 822g,Aconcagua,822.0,g,12.3,vega,2024-12-07 16:09:54.921702,DURAZNO EN CONSERVA,822.0,g,12.3,DURAZNO EN CONSERVA
Durazno en Mitades TIMONEL Lata 3Kg,Timonel,3.0,kg,30.1,vega,2024-12-07 16:09:54.921702,DURAZNO EN CONSERVA,3.0,kg,30.1,DURAZNO EN CONSERVA
Caja Durazno En Mitades 415 g x 24 Unidades,TOTTUS,415.0,g,141.6,tottus,2024-12-07 13:38:06.235651,DURAZNO EN CONSERVA,415.0,g,141.6,DURAZNO EN CONSERVA
