description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Galletas Crackelet Snack Jamón Ahumado 47 g,,47.0,g,1.3,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,27.659574468085108,GALLINA EVISCERADA
Galletas Fruta Mixta Bolsa 60 g,,60.0,g,1.6,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,26.66666666666667,GALLINA EVISCERADA
Sopa Instantánea Ajinomen Sabor Gallina 80g,,80.0,g,1.6,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,20.0,GALLINA EVISCERADA
Sopa de Gallina Picante con Fideos Ajinomen Sobre 80 g,,80.0,g,1.6,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,20.0,GALLINA EVISCERADA
Sopa de Gallina Criolla con Fideos Ajinomen Sobre 80 g,,80.0,g,1.6,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,20.0,GALLINA EVISCERADA
Sopa con Fideos Instantánea Ajinomen Sabor Gallina Light 80g,,80.0,g,1.6,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,20.0,GALLINA EVISCERADA
Galletas Saladas Ritz Mini 50g,,50.0,g,1.7,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,34.0,GALLINA EVISCERADA
Galletas Morochas Snack 46g,,46.0,g,1.7,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,36.95652173913044,GALLINA EVISCERADA
Galletas Soda San Jorge Paquete 75 g,,75.0,g,1.9,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,25.333333333333332,GALLINA EVISCERADA
Galletas Chips Ahoy Mini Original 50g,,50.0,g,1.99,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,39.8,GALLINA EVISCERADA
Galletas de Arroz Costeño Clásica 50g,,50.0,g,2.1,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,42.0,GALLINA EVISCERADA
Galletas Travesuras 50g,,50.0,g,2.2,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,44.0,GALLINA EVISCERADA
Galletas Animalitos Vainilla Bolsa 150 g,,150.0,g,2.2,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,14.666666666666668,GALLINA EVISCERADA
Galleta Pícaras Mini La Clásica 50g,,50.0,g,2.3,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,46.0,GALLINA EVISCERADA
Galletas de Agua San Jorge Nubbe Bolsa 110 g,,110.0,g,2.4,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,21.81818181818182,GALLINA EVISCERADA
Galletas Field Sabor Vainilla Family Size 148g,,148.0,g,2.7,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,18.243243243243246,GALLINA EVISCERADA
Galletas Salvado con Orégano Fibra Light Bolsa 70 g,,70.0,g,2.99,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,42.714285714285715,GALLINA EVISCERADA
Galletas Salvado con Ajonjolí Bolsa 70 g,,70.0,g,2.99,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,42.714285714285715,GALLINA EVISCERADA
Sopa Instantánea Sabor a Gallina Ajinomen Vaso 51 g,,51.0,g,3.6,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,70.58823529411765,GALLINA EVISCERADA
Sopa Instantánea Sabor a Gallina Picante Ajinomen Vaso 51 g,,51.0,g,3.6,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,70.58823529411765,GALLINA EVISCERADA
Sopa Instantánea Maggi Sopa Criolla Sabor Gallina con Fideos 60g,,60.0,g,3.8,wong,2024-12-07 16:57:04.539408,GALLINA EVISCERADA,1.0,kg,63.333333333333336,GALLINA EVISCERADA
