description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Yogurt Gloria Slim Sabor Maracuyá 120g,,120.0,g,1.6,metro,2024-12-07 20:17:37.919388,MARACUYÁ,1.0,kg,13.333333333333336,MARACUYÁ
Refresco Instantáneo Umsha Frutísimos Sabor Maracuyá 20g,,20.0,g,1.6,metro,2024-12-07 20:17:37.919388,MARACUYÁ,1.0,kg,80.0,MARACUYÁ
Yogurt Gloria Griego Sabor Maracuyá 120g,,120.0,g,2.2,metro,2024-12-07 20:17:37.919388,MARACUYÁ,1.0,kg,18.333333333333336,MARACUYÁ
Chocolate Relleno con Jalea de Maracuyá Britt 28g,,28.0,g,4.99,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,178.21428571428572,MARACUYÁ
Yogurt Bebible Gloria Slim Maracuyá Botella 1kg,,1.0,kg,5.99,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,5.99,MARACUYÁ
Yogurt Gloria Griego Sabor Maracuyá 800g,,800.0,g,6.9,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,8.625,MARACUYÁ
Maracuyá,,0.5,kg,7.7,plaza_vea,2024-12-07 13:46:53.519463,MARACUYÁ,1.0,kg,15.4,MARACUYÁ
Maracuyá Metro x kg,,1.0,kg,7.79,metro,2024-12-07 20:17:37.919388,MARACUYÁ,1.0,kg,7.79,MARACUYÁ
Tripack Jabón de Glicerina Family Care Maracuyá 100g,,100.0,g,7.8,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,78.0,MARACUYÁ
Paleta de Helado Cuisine & Co Cheesecake Maracuyá 108g,,108.0,g,7.9,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,73.14814814814815,MARACUYÁ
Paleta de Helado Cuisine & Co Mango Maracuyá 108g,,108.0,g,7.9,metro,2024-12-07 20:17:37.919388,MARACUYÁ,1.0,kg,73.14814814814815,MARACUYÁ
Paleta de Helado Cuisine & Co Mango Maracuyá 108g,,108.0,g,7.9,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,73.14814814814815,MARACUYÁ
Chupetin Colorado Maracuyá 425g,,425.0,g,8.5,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,20.0,MARACUYÁ
Yogurt Batido Laive Griego Sabor Mango Maracuyá 800g,,800.0,g,8.5,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,10.625,MARACUYÁ
Mix Para Hacer Pisco Sour WASSKA Maracuyá Sobr...,,125.0,g,8.9,plaza_vea,2024-12-07 13:46:53.519463,MARACUYÁ,1.0,kg,71.2,MARACUYÁ
Base para Maracuyá Sour Wasska 125g,,125.0,g,8.9,metro,2024-12-07 20:17:37.919388,MARACUYÁ,1.0,kg,71.2,MARACUYÁ
Yogurt Bebible Gloria Slim Maracuyá Galonera 1.7kg,,1.7,kg,9.2,metro,2024-12-07 20:17:37.919388,MARACUYÁ,1.0,kg,5.411764705882352,MARACUYÁ
Yogurt Bebible Gloria Slim Maracuyá Galonera 1.7kg,,1.7,kg,9.2,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,5.411764705882352,MARACUYÁ
Base para Maracuyá Sour Wasska 125g,,125.0,g,9.4,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,75.2,MARACUYÁ
Pulpa de Maracuyá Congelada El Frutero 500g,,500.0,g,9.44,wong,2024-12-07 17:24:29.970220,MARACUYÁ,1.0,kg,18.88,MARACUYÁ
