description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Refresco UMSHA Piña Bolsa 13g,UMSHA,13.0,g,1.0,vivanda,2024-12-07 14:25:47.164368,PIÑA,13.0,g,1.0,PIÑA
Refresco Instantáneo Sabor Piña Sobre 15 g,,15.0,g,1.2,wong,2024-12-07 17:37:58.183202,PIÑA,15.0,g,1.2,PIÑA
Gelatina Bebible Umsha Frutísimos Sabor Piña 20g,,20.0,g,1.6,wong,2024-12-07 17:37:58.183202,PIÑA,20.0,g,1.6,PIÑA
Refresco Instantáneo Umsha Frutísimos Sabor Piña 20g,,20.0,g,1.6,wong,2024-12-07 17:37:58.183202,PIÑA,20.0,g,1.6,PIÑA
Agua Mineral SOCOSANI Piña Botella 500ml,SOCOSANI,500.0,ml,1.99,vivanda,2024-12-07 14:25:47.164368,PIÑA,500.0,ml,1.99,PIÑA
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",,500.0,ml,2.1,wong,2024-12-07 17:37:58.183202,PIÑA,500.0,ml,2.1,PIÑA
Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,2.2,wong,2024-12-07 17:37:58.183202,PIÑA,625.0,ml,2.2,PIÑA
Gelatina Yopi Sabor Piña 120g,,120.0,g,2.2,wong,2024-12-07 17:37:58.183202,PIÑA,120.0,g,2.2,PIÑA
Bebida en Polvo Clight Sin Calorías Sabor Piña 14g,,14.0,g,2.3,wong,2024-12-07 17:37:58.183202,PIÑA,14.0,g,2.3,PIÑA
Gelatina Universal de Piña 38g,,38.0,g,2.6,wong,2024-12-07 17:37:58.183202,PIÑA,38.0,g,2.6,PIÑA
Gelatina Light BELL'S Piña Bolsa 19g,BELL'S,19.0,g,2.6,vivanda,2024-12-07 14:25:47.164368,PIÑA,19.0,g,2.6,PIÑA
Piña para Jugo x kg,,1.0,kg,2.69,metro,2024-12-07 20:27:41.757272,PIÑA,1.0,kg,2.69,PIÑA
Piña para Jugo x kg,,1.0,kg,2.75,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,2.75,PIÑA
Gelatina Sin Azúcar Cuisine & Co Sabor Piña 19g,,19.0,g,2.9,wong,2024-12-07 17:37:58.183202,PIÑA,19.0,g,2.9,PIÑA
Bebida Aloe KERO Piña Botella 300ml,KERO,300.0,ml,3.0,vivanda,2024-12-07 14:25:47.164368,PIÑA,300.0,ml,3.0,PIÑA
Piña Hawai,,2.0,kg,3.1,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,2.0,kg,3.1,PIÑA
Bebida Kero Aloe Vera Sabor Piña Botella 300ml,,300.0,ml,3.2,wong,2024-12-07 17:37:58.183202,PIÑA,300.0,ml,3.2,PIÑA
Mazamorra UMSHA de Piña Bolsa 125g,UMSHA,125.0,g,3.4,vivanda,2024-12-07 14:25:47.164368,PIÑA,125.0,g,3.4,PIÑA
Gelatina UMSHA Sabor a Piña Bolsa 120g,UMSHA,120.0,g,3.4,vivanda,2024-12-07 14:25:47.164368,PIÑA,120.0,g,3.4,PIÑA
Papaya,,1.5,kg,3.49,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,1.5,kg,3.49,PIÑA
Gelatina Umsha Sabor Piña 120g,,120.0,g,3.5,wong,2024-12-07 17:37:58.183202,PIÑA,120.0,g,3.5,PIÑA
Gelatina Cuisine & Co Sabor Piña 130g,,130.0,g,3.5,wong,2024-12-07 17:37:58.183202,PIÑA,130.0,g,3.5,PIÑA
Gelatina Sin Azúcar Cuisine & Co Sabor Piña 19g,,19.0,g,3.5,wong,2024-12-07 17:37:58.183202,PIÑA,19.0,g,3.5,PIÑA
Gelatina BELL'S Sabor a Piña Bolsa 180g,BELL'S,180.0,g,3.6,vivanda,2024-12-07 14:25:47.164368,PIÑA,180.0,g,3.6,PIÑA
Gelatina UNIVERSAL Sabor a Piña Caja 19g,UNIVERSAL,19.0,g,3.7,vivanda,2024-12-07 14:25:47.164368,PIÑA,19.0,g,3.7,PIÑA
Gelatina Diet Universal Piña Caja 19 g,,19.0,g,3.8,wong,2024-12-07 17:37:58.183202,PIÑA,19.0,g,3.8,PIÑA
Mazamorra de Piña Universal Bolsa 150 g,,150.0,g,3.9,wong,2024-12-07 17:37:58.183202,PIÑA,150.0,g,3.9,PIÑA
