description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Refresco UMSHA Piña Bolsa 13g,,13.0,g,1.0,plaza_vea,2024-12-07 14:42:02.200801,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Maracuyá Bolsa 13g,UMSHA,13.0,g,1.0,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Fresa Bolsa 13g,,13.0,g,1.0,plaza_vea,2024-12-07 14:42:02.200801,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Chicha Morada Bolsa 13g,UMSHA,13.0,g,1.0,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Piña Bolsa 13g,UMSHA,13.0,g,1.0,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Maracuyá Bolsa 13g,,13.0,g,1.0,plaza_vea,2024-12-07 14:42:02.200801,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Fresa Bolsa 13g,UMSHA,13.0,g,1.0,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Naranja Bolsa 13g,,13.0,g,1.0,plaza_vea,2024-12-07 14:42:02.200801,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Naranja Bolsa 13g,UMSHA,13.0,g,1.0,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Chicha Morada Bolsa 13g,,13.0,g,1.0,plaza_vea,2024-12-07 14:42:02.200801,REFRESCO ENVASADO (FLUIDO),13.0,g,1.0,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Frutísimos Maracuyá Bolsa 20g,UMSHA,20.0,g,1.3,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),20.0,g,1.3,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Frutisimos Chicha Morada Bolsa 20g,UMSHA,20.0,g,1.3,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),20.0,g,1.3,REFRESCO ENVASADO (FLUIDO)
Refresco UMSHA Frutísimos Maracuyá Bolsa 20g,,20.0,g,1.6,plaza_vea,2024-12-07 14:42:02.200801,REFRESCO ENVASADO (FLUIDO),20.0,g,1.6,REFRESCO ENVASADO (FLUIDO)
Refresco TAMPICO Citrus Punch Botella 500ml,TAMPICO,500.0,ml,1.7,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),500.0,ml,1.7,REFRESCO ENVASADO (FLUIDO)
Perejil BELL'S FRESCOS Bolsa 60g,BELL'S FRESCOS,60.0,g,1.99,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),60.0,g,1.99,REFRESCO ENVASADO (FLUIDO)
Culantro BELL'S FRESCOS Bolsa 60g,BELL'S FRESCOS,60.0,g,1.99,vivanda,2024-12-07 14:56:11.177982,REFRESCO ENVASADO (FLUIDO),60.0,g,1.99,REFRESCO ENVASADO (FLUIDO)
Jamonada de Pollo BELL'S Paquete 100g,,100.0,g,2.2,plaza_vea,2024-12-07 14:42:02.200801,REFRESCO ENVASADO (FLUIDO),100.0,g,2.2,REFRESCO ENVASADO (FLUIDO)
