description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Fécula de Yuca UNIVERSAL Sobre 180g,UNIVERSAL,180.0,g,3.3,vivanda,2024-12-07 14:38:30.810985,YUCA,180.0,g,3.3,YUCA
Fécula de Yuca UNIVERSAL Sobre 180g,,180.0,g,3.3,plaza_vea,2024-12-07 14:15:35.201164,YUCA,180.0,g,3.3,YUCA
Yuca x kg,,1.0,kg,4.49,metro,2024-12-07 20:44:50.195283,YUCA,1.0,kg,4.49,YUCA
Yuca x kg,,1.0,kg,4.49,wong,2024-12-07 17:55:53.910533,YUCA,1.0,kg,4.49,YUCA
Chifles Picantes Cuisine & Co 100g,,100.0,g,4.9,wong,2024-12-07 17:55:53.910533,YUCA,100.0,g,4.9,YUCA
Chifles Jalapeños Cuisine & Co 100g,,100.0,g,4.9,wong,2024-12-07 17:55:53.910533,YUCA,100.0,g,4.9,YUCA
Camote Frito en Hojuelas Cuisine & Co Pote 100 g,,100.0,g,5.5,metro,2024-12-07 20:44:50.195283,YUCA,100.0,g,5.5,YUCA
Palitos de Yuca con Ajonjolí 100g,,100.0,g,5.52,metro,2024-12-07 20:44:50.195283,YUCA,100.0,g,5.52,YUCA
Palitos de Yuca con Queso Metro Caja 100g,,100.0,g,5.52,metro,2024-12-07 20:44:50.195283,YUCA,100.0,g,5.52,YUCA
Camote Frito Cuisine & Co Bolsa 130 gr,,130.0,g,5.9,metro,2024-12-07 20:44:50.195283,YUCA,130.0,g,5.9,YUCA
Camote Frito Cuisine & Co Bolsa 130 gr,,130.0,g,5.9,wong,2024-12-07 17:55:53.910533,YUCA,130.0,g,5.9,YUCA
Hojuelas de Camote Tiyapuy Bolsa 160 g,,160.0,g,6.2,wong,2024-12-07 17:55:53.910533,YUCA,160.0,g,6.2,YUCA
