description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Rocoto Metro x kg,S/ 10.19 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,10.19
Rocoto x kg,S/ 11.24 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,11.24
Ají Amarillo x kg,S/ 8.29 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,8.29
Ají de La Casa Metro 250g,S/ 9.10,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,9.1
Ají Amarillo x kg,S/ 8.99 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,8.99
Ají de La Casa Metro 450g,S/ 14.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,450.0,g,14.5
Ají Limo Metro x kg,S/ 13.29 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,1.0,kg,13.29
Ají Panca en Pasta Cuisine & Co 200g,S/ 5.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,200.0,g,5.5
Ají Especial Panquita Sin Picante Sibarita Pack 3 Unid x 31.2 g,S/ 3.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,3.0,un,3.9
Ají Amarillo en Pasta Cuisine & Co 200g,S/ 5.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,200.0,g,5.5
Ají Panca en Pasta Pote 250 g,S/ 8.20,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,8.2
Ají Panquita Sibarita Natural Sobre 100 g,S/ 3.40,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,3.4
Ají Amarillo en Pasta Arezzo 500g,S/ 10.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,500.0,g,10.9
Ají Panca Molido Piki 350g,S/ 10.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,350.0,g,10.9
Ají Parrillero Pote 250 g,S/ 9.10,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,9.1
Ají de La Abuela Metro Pote 250 g,S/ 9.10,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,9.1
Ají Amarillo Sobre 50 g,S/ 1.30,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,50.0,g,1.3
Ají Mirasol en Pasta Cuisine & Co 200g,S/ 5.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,200.0,g,5.5
Ají Amarillo Molido Piki 350g,S/ 10.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,350.0,g,10.9
Ají Especial de la Casa Arezzo 500g,S/ 10.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,500.0,g,10.5
Ají Criollo Metro 250g,S/ 9.10,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,250.0,g,9.1
Ají Criollo Libby's 380g,S/ 13.90,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,380.0,g,13.9
Ají Panca en Pasta Arezzo 500g,S/ 8.50,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,500.0,g,8.5
Ají Panca Molido Toña 18g,S/ 3.40,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,18.0,g,3.4
Ají Panca Despepitado Naturandes Bandeja 100g,S/ 13.30,metro,AJÍ ROCOTO MOLIDO,2024-12-04 22:11:17.912317,100.0,g,13.3
