description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Cebada Tostada Bolsa 150 g,S/ 7.00,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,150.0,g,7.0
Cebada Instantánea Ecco 170g,S/ 12.50,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,170.0,g,12.5
Tostadas Clásicas Bimbo Paquete 10 unid,S/ 9.50,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,10.0,un,9.5
Cebada Instantánea Ecco 250g,S/ 17.60,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,250.0,g,17.6
Tostadas Integrales Bimbo Cero Cero 140g,S/ 9.30,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,140.0,g,9.3
Tostadas Integrales 20un,S/ 7.59,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,20.0,un,7.59
Tostadas Integrales Bimbo 10un,S/ 9.50,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,10.0,un,9.5
Tostadas Integrales Unión Bolsa 10 unid,S/ 7.60,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,10.0,un,7.6
Tostadas Clásicas 20un,S/ 7.59,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,20.0,un,7.59
Tostadas Bimbo Pack 3 unid: Tostadas Clásicas + Tostadas Integrales,S/ 27.40,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,3.0,un,27.4
Tostadas Clásicas Unión Bolsa 10 unid,S/ 7.60,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,10.0,un,7.6
Tostadas Clásicas PYC Paquete 8 unid,S/ 7.20,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,8.0,un,7.2
Tostadas Integrales PYC Paquete 8 unid,S/ 7.20,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,8.0,un,7.2
Cebada Instantánea Kimbo Frasco 164 g,S/ 8.70,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,164.0,g,8.7
Cebada Instantánea Cuisine & Co 170g,S/ 10.50,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,170.0,g,10.5
Cebada Instantánea Kimbo Doypack 100 g,S/ 6.10,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,100.0,g,6.1
Tostadas Clásicas Metro Paquete 115 g,S/ 6.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,115.0,g,6.9
Tostadas Integrales Metro Paquete 125 g,S/ 6.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,125.0,g,6.9
Cebada Instantánea Ecco 80g,S/ 7.10,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,80.0,g,7.1
Tostadas Piqueo Arito Don Mamino 85 G,S/ 7.99,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,7.99
Tostadas Integrales 142 g,S/ 8.30,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,142.0,g,8.3
Tostadas Sin Gluten Santiveri Noglut 100g,S/ 15.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,100.0,g,15.9
Tostadas Clásicas Bauducco 42g,S/ 8.30,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,42.0,g,8.3
Cebada Instantánea Ecco 12g,S/ 1.00,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,12.0,g,1.0
Tostaditas Piqueo Don Mamino Marmoleadas Caja 85 g,S/ 8.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,8.9
Tostaditas Cuadradas Don Mamino Clásicas Caja 85 g,S/ 8.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,8.9
Tostaditas Piqueo Don Mamino Caja 85 g,S/ 8.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,8.9
Tostaditas Cuadradas Don Mamino Marmoleadas Caja 85 g,S/ 8.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,8.9
Tostaditas Piqueo Don Mamino Naturales Caja 85 g,S/ 8.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,8.9
Tostaditas Piqueo Don Mamino Arito salvado de Trigo Caja 85 g,S/ 7.99,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,7.99
Tostaditas Cuadradas Don Mamino Salvado de Trigo Caja 85 g,S/ 8.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,85.0,g,8.9
Tortillas de Trigo Clásicas Rapiditas Bimbo Paquete 12 unid,S/ 7.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,12.0,un,7.9
Tortillas Bimbo Rapiditas Cero Cero 280g,S/ 7.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,280.0,g,7.9
Tortillas de Trigo Integrales Rapiditas Bimbo Paquete 12 unid,S/ 7.90,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,12.0,un,7.9
Galletas de Maíz Horneadas Salmas 144g,S/ 8.50,metro,CEBADA TOSTADA SOLUBLE,2024-12-04 22:21:51.637871,144.0,g,8.5
