description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Tableta para Taza Sabor Chocolate Clavo y Canela 90g,S/ 2.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,2.9
Tableta para Taza Sabor Chocolate 90g,S/ 2.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,2.9
Chocolate para Taza 42% Cacao Tableta 90 g,S/ 7.20,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,7.2
Tableta para Taza Sabor Canela y Clavo Tableta 80 g,S/ 2.40,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,80.0,g,2.4
Tableta para Taza Sabor Chocolate Tableta 80 g,S/ 2.40,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,80.0,g,2.4
Tableta para Taza Tableta 90g,S/ 2.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,2.9
Chocolate Bitter con Maní Sublime Tableta 40 g Caja 8 unid,S/ 27.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,40.0,g,27.9
Chocolate KitKat Tableta 41.5 g,S/ 4.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,41.5,g,4.9
Chocolate con Leche con Almendras Sublime Tableta 50 g,S/ 4.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,50.0,g,4.9
Chocolate Orgánico 72% Cacao Orquídea Tableta 90 g,S/ 21.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,21.5
Chocolate Bitter Orquidea 80% Cacao Tableta 90 gr,S/ 21.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,21.5
Chocolate Bitter La Ibérica Fondant Tableta 40 g,S/ 7.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,40.0,g,7.5
Chocolate Bitter Sin Azúcar 60% Cacao Orgánico Slender Tableta 100 g,S/ 19.60,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,19.6
Chocolate para Taza 46% Cacao Tableta 90 g,S/ 8.00,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,8.0
Chocolate con Leche Hershey's Tableta 40 g,S/ 3.99,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,40.0,g,3.99
Chocolate Dark Menta Sin Azúcar 60% Cacao Orgánico Slender Tableta 100 g,S/ 19.60,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,19.6
Chocolate Schogetten Trumpf White Tableta 100 g,S/ 9.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,9.9
Chocolate Bitter Fondant La Ibérica Tableta 100 g,S/ 16.00,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,16.0
Chocolate con Crema de Maní Princesa Tableta 30 g,S/ 3.80,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,30.0,g,3.8
