description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Fideos Especiales Tipo Chifa La Pasta 500g,S/ 5.50,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,500.0,g,5.5
Fideos Especiales Tipo Chifa La Pasta 1kg,S/ 8.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,1.0,kg,8.9
Fideos Codo Rayado Don Vittorio 225g,S/ 2.10,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,225.0,g,2.1
Fideos Cuisine &Co Cabello de Ángel 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,250.0,g,1.6
Pasta para Wantán La Pasta 500g,S/ 5.70,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,500.0,g,5.7
Fideos Cuisine &Co Canuto 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,250.0,g,1.6
Fideos Cuisine &Co Spaguetti 950g,S/ 5.40,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,950.0,g,5.4
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,100.0,g,1.7
Fideos Cuisine &Co Tornillo 450g,S/ 2.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,2.9
Fideos Cuisine &Co Corbata 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,250.0,g,1.6
Pasta Dental Colgate Herbal Tubo 90 g,S/ 3.20,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,90.0,g,3.2
Pasta Corta Macarrón Bolsa 500 g,S/ 4.20,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,500.0,g,4.2
Fideo Linguini Don Vittorio 450g,S/ 4.00,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,4.0
Pasta Corta Molitalia Canuto Chico 250g,S/ 2.10,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,250.0,g,2.1
Fideo Tallarín Delgado Nicolini 450g,S/ 3.80,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,3.8
Pasta Spaghetti Nro 5 Bolsa 1 Kg,S/ 5.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,1.0,kg,5.9
Pasta para Ensalada Molitalia Tornillo Especial 235g,S/ 3.10,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,235.0,g,3.1
Fideos Cuisine &Co Spaguetti 450g,S/ 2.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,2.9
Pasta Dental Colgate Total 12 Carbón 3x75ml,S/ 24.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,75.0,ml,24.9
Pasta Dental Colgate Máxima Protección Anticaries 90g,S/ 3.60,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,90.0,g,3.6
Fideos Linguine Molitalia 450g,S/ 3.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,3.9
Fideo Fettuccini Don Vittorio 450g,S/ 4.00,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,4.0
Fideos Cuisine &Co Canuto 450g,S/ 2.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,2.9
Fideos Cabello de Ángel Cuisine & Co 500g,S/ 2.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,500.0,g,2.9
Pasta Corta Tornillo Bolsa 500 g,S/ 4.20,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,500.0,g,4.2
Pasta Corta Molitalia Codo Rayado 235g,S/ 2.10,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,235.0,g,2.1
Pasta Dental Kolynos Súper Blanco 3un 60ml,S/ 11.50,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,3.0,un,11.5
Fideos Cuisine &Co Corbata 450g,S/ 2.90,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,2.9
Pasta Dental Colgate Luminous White Carbón Activado 75ml,S/ 13.50,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,75.0,ml,13.5
Pasta Dental Colgate Triple Acción 150ml,S/ 11.80,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,150.0,ml,11.8
Fideo Spaghetti Nicolini 450g,S/ 3.80,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,450.0,g,3.8
