description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Fórmula de Crecimiento Similac 3 1.4kg,S/ 135.00,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.4,kg,135.0
Fórmula de Continuación NAN 2 Bebés 390g,S/ 6.40,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,390.0,g,6.4
Fórmula en Polvo NAN Optipro 2 Lata 900g,S/ 157.00,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,2.0,l,157.0
Fórmula Infantil Enfamil Promental Confort 1.1kg,S/ 196.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.1,kg,196.9
Fórmula de Seguimiento Similac 2 1.8kg,S/ 291.80,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.8,kg,291.8
Fórmula de Crecimiento Similac 3 Kid 2.1kg,S/ 194.30,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,2.1,kg,194.3
Fórmula de Continuación NAN 3 Bebés 390g,S/ 6.40,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,390.0,g,6.4
Fórmula en Polvo Enfagrow Premium Pro Mental Vainilla 1.35kg,S/ 135.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.35,kg,135.9
Fórmula Infantil Enfamil Promental Confort Etapa 1 800g,S/ 165.10,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,800.0,g,165.1
Fórmula de Crecimiento Similac 3 800g,S/ 83.70,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,800.0,g,83.7
Fórmula Infantil Enfamil Promental Etapa 1 1.65kg,S/ 300.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.65,kg,300.9
Fórmula en Polvo de Inicio NAN Optipro 1 Lata 900g,S/ 172.00,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.0,l,172.0
Fórmula Infantil Enfamil Promental Etapa 2 1.65kg,S/ 283.80,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.65,kg,283.8
Fórmula de Continuación Enfamil Premium 2 Lata 850 g,S/ 170.30,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,2.0,l,170.3
Fórmula Infantil Enfamil Promental Etapa 1 850g,S/ 181.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,850.0,g,181.9
Fórmula de Inicio Similac 1 800g,S/ 165.50,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,800.0,g,165.5
Fórmula de Seguimiento Similac 2 800g,S/ 158.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,800.0,g,158.9
Fórmula de Inicio Similac 1 1.8kg,S/ 306.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.8,kg,306.9
Fórmula de Crecimiento Similac Total Comfort Kid 1.4kg,S/ 275.50,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,1.4,kg,275.5
Pack x8 Fórmula de Continuación NAN 3 Bebés 390g,S/ 40.40,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,390.0,g,40.4
Pack x8 Fórmula de Continuación NAN 2 Bebés 390g,S/ 47.20,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,390.0,g,47.2
Pack x3 Jabón Johnson's Fórmula Original 110g,S/ 11.80,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,110.0,g,11.8
Sixpack Fórmula de Continuación NAN 3 Bebés 390g,S/ 34.40,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,390.0,g,34.4
Insecticida en Aerosol Raid Mata Hormigas y Arañas Fórmula Especializada 400ml,S/ 16.70,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,400.0,ml,16.7
Desodorante en Crema Etiquet Fórmula Hombre 75 g,S/ 17.40,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,75.0,g,17.4
Insecticida en Aerosol Raid Mata Pulgas y Garraptas Fórmula Especializada 400 ml,S/ 15.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,400.0,ml,15.9
Sixpack Fórmula de Continuación NAN 2 Bebés 390g,S/ 37.10,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,390.0,g,37.1
Lustramuebles Premio Fórmula Original 280ml,S/ 15.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,280.0,ml,15.9
Galletas de la Fortuna Leonor 8un,S/ 10.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,8.0,un,10.9
Limpiador de Muebles de Fórmica y Melamina Binner 350ml,S/ 24.90,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,350.0,ml,24.9
Chupete en Forma de Anillo 14g Surtido,S/ 2.50,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,14.0,g,2.5
Stick'n Notas Adhesivas Die-Cut Formas Pack 250 unid Surtido,S/ 12.10,metro,FÓRMULA PARA LACTANTES,2024-12-04 21:15:53.470688,250.0,un,12.1
