description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Jamonada Especial Suiza Paquete 200 g,S/ 6.20,metro,JAMONADA,2024-12-04 21:06:45.960633,200.0,g,6.2
Jamonada de Pavita San Fernando Paquete 85 g,S/ 1.84,metro,JAMONADA,2024-12-04 21:06:45.960633,85.0,g,1.84
Jamonada Polaca Otto Kunz 180g,S/ 7.22,metro,JAMONADA,2024-12-04 21:06:45.960633,180.0,g,7.22
Jamonada Especial Braedt 480g,S/ 10.90,metro,JAMONADA,2024-12-04 21:06:45.960633,480.0,g,10.9
Jamonada Polaca Casa Europa Paquete 200 g,S/ 9.90,metro,JAMONADA,2024-12-04 21:06:45.960633,200.0,g,9.9
Jamonada con Pollo Suiza Paquete 200 g,S/ 5.50,metro,JAMONADA,2024-12-04 21:06:45.960633,200.0,g,5.5
Jamonada Especial Suiza 100g,S/ 3.70,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,3.7
Jamonada de Pollo La Segoviana 500g,S/ 9.90,metro,JAMONADA,2024-12-04 21:06:45.960633,500.0,g,9.9
Jamonada de Pollo Cuisine & Co 200g,S/ 4.60,metro,JAMONADA,2024-12-04 21:06:45.960633,200.0,g,4.6
Jamonada Especial Otto Kunz 180g,S/ 7.70,metro,JAMONADA,2024-12-04 21:06:45.960633,180.0,g,7.7
Jamonada Polaca Salchichería Alemana 200g,S/ 7.90,metro,JAMONADA,2024-12-04 21:06:45.960633,200.0,g,7.9
Jamonada Bologna Otto Kunz 180g,S/ 6.60,metro,JAMONADA,2024-12-04 21:06:45.960633,180.0,g,6.6
Jamonada de Pollo Otto Kunz Paquete 100 g,S/ 4.50,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,4.5
Jamonada Especial Braedt 180g,S/ 5.20,metro,JAMONADA,2024-12-04 21:06:45.960633,180.0,g,5.2
Jamonada con Pollo Suiza 100g,S/ 3.90,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,3.9
