description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Lomo Fino de Cerdo x kg,S/ 38.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,38.9
Lomo Enrollado de Cerdo x kg,S/ 29.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,29.9
Lomo Ahumado Zimmermann x kg,S/ 62.99 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,62.99
Lomo de Cerdo en Salsa BBQ Ahuma x kg,S/ 89.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,89.9
Chuleta Punta de Lomo x kg,S/ 14.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,14.9
Chuleta de Lomo de Cerdo con Piel Porcionado x kg,S/ 22.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,22.9
Chuleta Parrillera de Cerdo con Piel x kg,S/ 22.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,22.9
Chuleta de Lomo con Piel de Cerdo x kg,S/ 22.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,22.9
Pulpa de Bondiola San Fernando x Kg,S/ 31.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,31.9
Bife de Lomo de Cerdo x kg,S/ 28.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,28.9
Medallón de Lomo de Cerdo San Fernando x kg,S/ 41.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,41.9
Chuleta de Lomo Duroc Redondos x kg,S/ 31.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,31.9
Picaña de Cerdo Duroc Redondos x kg,S/ 37.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,37.9
Solomillo de Cerdo San Fernando x kg,S/ 43.50 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,43.5
Chuleta Parrillera de Cerdo x kg,S/ 22.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,22.9
Bife de Lomo de Cerdo x kg,S/ 38.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,38.9
Bife de Bondiola de Cerdo Duroc Redondos x kg,S/ 39.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,39.9
Chuleta de Lomo de Cerdo con Piel Del Sur x kg,S/ 29.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,29.9
Chuleta Parrillera Sur de Cerdo con Piel x kg,S/ 33.50 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,33.5
Bife de Lomo Griego Zimmermann x kg,S/ 42.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,42.9
Bife de Lomo Marinado Zimmermann Mediterráneo x kg,S/ 43.90 x kg,metro,LOMO DE CERDO,2024-12-04 20:54:38.442283,1.0,kg,43.9
