description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Mantequilla con Sal Gloria 390g,S/ 17.50,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,390.0,g,17.5
Mantequilla con Sal Laive 180g,S/ 10.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,180.0,g,10.9
Mantequilla con Sal Gloria 180g,S/ 9.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,180.0,g,9.9
Mantequilla Gloria Sin Sal 180g,S/ 9.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,180.0,g,9.9
Mantequilla Plusa Con Sal Barra 200 g,S/ 12.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,200.0,g,12.9
Mantequilla con Sal Gloria 180g,S/ 10.50,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,180.0,g,10.5
Mantequilla con Sal Laive 180g,S/ 13.99,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,180.0,g,13.99
Mantequilla con Sal Gloria 90g,S/ 6.40,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,90.0,g,6.4
Mantequilla de Maní Untable Pote 410 g,S/ 25.00,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,410.0,g,25.0
Mantequilla con Sal Danlac Frasco 180g,S/ 16.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,180.0,g,16.9
Mantequilla de Maní Cuisine&Co Frasco 410 g,S/ 21.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,410.0,g,21.9
Mantequilla Sin Sal Laive 180g,S/ 10.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,180.0,g,10.9
Mantequilla con Sal Laive 100g,S/ 7.60,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,100.0,g,7.6
Mantequilla de Maní Spread 410g,S/ 21.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,410.0,g,21.9
Mantequilla de Maní Sin Azúcar Santa Manía Frasco 230 g,S/ 19.50,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,230.0,g,19.5
Mantequilla con Sal Gloria 50g,S/ 3.70,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,50.0,g,3.7
Mantequilla de Frutos Secos Almendras Crunchy The Butter Factory Frasco 200 g,S/ 32.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,200.0,g,32.9
Mantequilla con Sal Président Barra 200 gr,S/ 20.70,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,200.0,g,20.7
Mantequilla de Frutos Secos Almendras The Butter Factory Frasco 200 g,S/ 32.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,200.0,g,32.9
Mantequilla de Frutos Secos Choco Almendras The Butter Factory Frasco 200 g,S/ 34.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,200.0,g,34.9
Mantequilla de Maní con Cacao Spread Chocomaní 410g,S/ 21.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,410.0,g,21.9
Mantequilla de Maní Peter Pan Creamy Frasco 16.3 Onzas,S/ 29.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736,16.3,oz,29.9
