description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Mezcla Láctea Ideal Cremosita Lata 390g,S/ 4.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.7
Mezcla Láctea en Polvo Anchor Lata 800g,S/ 36.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,800.0,g,36.9
Mezcla Láctea en Polvo Anchor Bolsa 96g,S/ 5.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,96.0,g,5.3
Mezcla Láctea Ideal Amanecer 390g,S/ 3.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.9
Mezcla Láctea Bonle Polvo Doypack 345g,S/ 12.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,345.0,g,12.3
Mezcla Láctea Cremosa Bonlé Lata 390g,S/ 3.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.5
Mezcla Láctea Bonlé Familiar Lata 390g,S/ 3.00,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.0
Mezcla Láctea Ideal Light Lata 390g,S/ 4.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.7
Mezcla Láctea Laive Nutrilac Botella 390g,S/ 3.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.4
Mezcla Láctea 50% Menos Grasa Laive Light Caja 480g,S/ 3.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,3.9
Mezcla Láctea en Polvo Bonlé 96g,S/ 2.69,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,96.0,g,2.69
Mezcla Láctea Bonlé Defensis Lata 390g,S/ 2.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,2.5
Sixpack Leche Reconstituida Gloria Lata 390g,S/ 22.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,22.5
Pack x6 Mezcla Láctea Laive Sin Lactosa 480g,S/ 23.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,23.5
Sixpack Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 23.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,23.5
Pack x6 Leche Evaporada Gloria Entera,S/ 22.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,6.0,l,22.9
Sixpack Leche Concentrada Sin Lactosa Laive Botella 400g,S/ 22.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,400.0,g,22.4
Sixpack Leche Reconstituida Gloria Light Lata 390g,S/ 23.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,23.5
Sixpack Leche Light Laive Sin Lactosa Botella 390g,S/ 23.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,23.9
Sixpack Mezcla Láctea Ideal Cremosita Lata 390g,S/ 22.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,22.5
Twelvepack Leche Reconstituida Gloria Lata 390g,S/ 49.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,49.2
Sixpack Mezcla Láctea Bonlé Familiar Caja 480g,S/ 20.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,20.9
Sixpack Mezcla Láctea Laive Light Caja 480g,S/ 20.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,20.9
Pack x6 Leche Concentrada Laive 390g,S/ 20.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,6.0,l,20.9
Leche Reconstituida Gloria Lata 390g,S/ 4.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.2
Pack x8 Mezcla Láctea Ideal Cremosita 390g,S/ 29.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,29.5
Sixpack Leche Reconstituida Gloria Niños Lata 390g,S/ 23.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,23.5
Leche Reconstituida Gloria Light Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.4
Sixpack Leche Reconstituida con Vitaminas Gloria Lata 170g,S/ 12.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,170.0,g,12.9
Sixpack Mezcla Láctea Sin Lactosa Bonlé Caja 480g,S/ 19.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,19.9
Sixpack Mezcla Láctea Bonlé Defensis Lata 390g,S/ 15.10,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,15.1
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.4
Leche Concentrada Laive Bolsa 390g,S/ 3.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.7
Leche Concentrada Sin Lactosa Laive Botella 390g,S/ 4.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.5
Leche Evaporada Entera Cuisine & Co Lata 410g,S/ 4.10,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,410.0,g,4.1
Sixpack Mezcla Láctea Laive Light Sin Lactosa Caja 480g,S/ 23.80,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,23.8
