description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Pepinillo x un,S/ 2.80,metro,PEPINILLO,2024-12-04 21:43:55.862391,1.0,un,2.8
Pepinillo Pickles Hidropónico de Invernadero Ecologic Bandeja 300g,S/ 5.40,metro,PEPINILLO,2024-12-04 21:43:55.862391,300.0,g,5.4
Pepinillo Holandés Frescas x un,S/ 4.70,metro,PEPINILLO,2024-12-04 21:43:55.862391,1.0,un,4.7
Pepinillos Encurtidos Cuisine & Co Pote 510 g,S/ 11.50,metro,PEPINILLO,2024-12-04 21:43:55.862391,510.0,g,11.5
Pepinillo Hidropónico Ecologic x un,S/ 3.70,metro,PEPINILLO,2024-12-04 21:43:55.862391,1.0,un,3.7
Pepinillo Encurtido 220g,S/ 8.32,metro,PEPINILLO,2024-12-04 21:43:55.862391,220.0,g,8.32
Pepinillos Encurtidos Calé 240g,S/ 8.99,metro,PEPINILLO,2024-12-04 21:43:55.862391,240.0,g,8.99
Pepinillos Encurtidos Baby Valle Fértil 330g,S/ 12.10,metro,PEPINILLO,2024-12-04 21:43:55.862391,330.0,g,12.1
Pepinillos Entero Olivos del Sur 550g,S/ 15.90,metro,PEPINILLO,2024-12-04 21:43:55.862391,550.0,g,15.9
Pepinillo Encurtido Receta Europea Valle Fértil Frasco 680 g,S/ 19.40,metro,PEPINILLO,2024-12-04 21:43:55.862391,680.0,g,19.4
Pepinillos Encurtidos Huerto Mejía 400g,S/ 11.00,metro,PEPINILLO,2024-12-04 21:43:55.862391,400.0,g,11.0
Pepinillos en Rodajas Olivos del Sur 520g,S/ 20.90,metro,PEPINILLO,2024-12-04 21:43:55.862391,520.0,g,20.9
