description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Pop Corn Chicken Avinka 350g,S/ 15.30,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,350.0,g,15.3
Pop Corn Natural Act II Bolsa 80 g,S/ 4.60,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,80.0,g,4.6
Pop Corn para Microondas Act II Sabor Mantequilla 91g,S/ 4.60,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,91.0,g,4.6
Pop Corn Butter Extra Act II 91g,S/ 4.60,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,91.0,g,4.6
Pop Corn Natural Act II Pack 3 Unid,S/ 14.70,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,3.0,un,14.7
Pop Corn Butter Act II Pack 3 Unid,S/ 10.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,3.0,un,10.9
Pop Corn Butter Light Act II Pack 3 Unid,S/ 10.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,3.0,un,10.9
Chupete Globo Pop Surtido 24un,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,8.0
Maíz Gigante Original Inka Corn Doypack 500 g,S/ 24.50,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,24.5
Chupetín Globo Pop Sabor Maracuyá 24un,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,8.0
Chupete Globo Pop Neon Renovado Bolsa 24 Unidades,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,8.0
Maíz Gigante Inka Corn Original 100g,S/ 5.99,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,100.0,g,5.99
Chupete Globo Pop Fresa Bolsa 24 Undiades,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,8.0
Chupete Globo Pop Leche y Chocolate Bolsa 24 Unidades,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,8.0
Chupete Globo Pop Yogurt Surtido Bolsa 24 Unidades,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,8.0
Chupetes Globo Pop Cereza Acida Bolsa 24 Unidades,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,8.0
Chupete Globo Pop Maracuyá 25un,S/ 8.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,25.0,un,8.0
Chupete Globo Pop XXL 180 g,S/ 13.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,180.0,g,13.9
Maiz Gigante con Chocolate Inka Corn 100g,S/ 11.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,100.0,g,11.9
Chupete Globo Pop Shake 24un.,S/ 7.80,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,24.0,un,7.8
Maíz Pop Corn Costeño 500g,S/ 4.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,4.0
Maíz Pop Corn Cuisine & Co 500g,S/ 3.50,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,3.5
Maiz Pop Corn Paisana Bolsa 500 g,S/ 4.40,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,4.4
Maíz Pop Corn Bolsa 350 g,S/ 3.80,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,350.0,g,3.8
Maíz Pop Corn Máxima 500g,S/ 4.30,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,4.3
Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g,S/ 11.20,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,81.0,g,11.2
Maíz Pop Corn Tesoro Del Campo Bolsa 500 g,S/ 4.95,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,4.95
Maíz Pop Corn Valle Norte Bolsa 500 g,S/ 5.80,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,5.8
Helado Pop Corn Dulce Pasión 5L,S/ 99.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,5.0,l,99.9
Caja Olego Pop Corn Premium Azul 10un,S/ 6.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,10.0,un,6.9
Caja Olego Pop Corn Premium Rojo 10un,S/ 6.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,10.0,un,6.9
Cereal Corn Flakes Sin Gluten 740g,S/ 20.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,740.0,g,20.9
Hojuelas de Maíz Kellogg's Corn Flakes 410g,S/ 13.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,410.0,g,13.0
Cereal de Maíz Corn Flakes 405g,S/ 13.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,405.0,g,13.9
Chupetin Mister Pops Extreme Duo Halloween 432g,S/ 9.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,432.0,g,9.9
Chicken Pop Redondos Bolsa 300 g,S/ 12.70,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,300.0,g,12.7
Chupetin Mister Pops Extreme Duo Ácido Dulce 432g,S/ 6.50,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,432.0,g,6.5
Chupete Mr Pops Halloween Cíclope 432g,S/ 9.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,432.0,g,9.9
Chupetin Mister Pops Pintalengua Sabor Uva 432g,S/ 6.50,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,432.0,g,6.5
Hojuelas de Maíz Corn Flakes Kellogg's 200g,S/ 10.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,200.0,g,10.0
Hojuelas de Maíz Corn Flakes Cuisine & Co Caja 500 g,S/ 12.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,12.9
Cereal de Quinua Nura Choco Pops 200g,S/ 21.50,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,200.0,g,21.5
Cereal Corn Flakes Sin Gluten 180g,S/ 13.40,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,180.0,g,13.4
Hojuelas de Maíz Corn Flakes Cuisine & Co 200g,S/ 6.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,200.0,g,6.9
Cereal Corn Flakes Ángel 650g,S/ 14.30,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,650.0,g,14.3
Cereal de Quinua Nura Caramel Pops 200g,S/ 21.50,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,200.0,g,21.5
Chupete Mini Mr Pops Pintalengua 200g,S/ 6.80,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,200.0,g,6.8
Sazonador Costeño Pops Sabor Queso 64g,S/ 11.20,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,64.0,g,11.2
Chocolate Chin Chin Pop Barra 90g,S/ 6.99,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,90.0,g,6.99
Caramelo Push Pop Sabor Frutos del Bosque 14g,S/ 4.80,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,14.0,g,4.8
Artesco Banderitas Adhesivas Rectangulares Pop Up Sticky Notes Blíster 150 und,S/ 4.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,150.0,un,4.0
Caramelo Spring Pop Minions 14g Surtido,S/ 3.30,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,14.0,g,3.3
Lapicero Tinta Gel Pop Lol Pilot 4 Unid,S/ 19.20,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,4.0,un,19.2
Bolígrafo Pilot Pop Lol 4un,S/ 19.20,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,4.0,un,19.2
Stick'n Banderitas Adhesivas Pop Up Lite Pack 20 unid Surtido,S/ 5.60,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,20.0,un,5.6
Paper Mate Lapiceros Punta Media Flair Candy Pop! Pack 6 unid,S/ 17.57,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,6.0,un,17.57
Cepillos para Cabello Conair Color Pops 2un,S/ 32.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,2.0,un,32.9
Champiñones Pou Yen Lata 425 g,S/ 10.90,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,425.0,g,10.9
Aflojatodo Top Gan 110ml,S/ 16.40,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,110.0,ml,16.4
Enchufes para Computadora Pack 2 unid,S/ 9.89,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,2.0,un,9.89
Champiñones en Conserva Pou Yen 184g,S/ 6.80,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,184.0,g,6.8
