description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Tostadas Clásicas Bimbo Paquete 10 unid,S/ 9.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,10.0,un,9.5
Tostadas Integrales Bimbo Cero Cero 140g,S/ 9.30,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,140.0,g,9.3
Tostadas Integrales 20un,S/ 7.59,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,20.0,un,7.59
Tostadas Integrales Bimbo 10un,S/ 9.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,10.0,un,9.5
Tostadas Integrales Unión Bolsa 10 unid,S/ 7.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,10.0,un,7.6
Tostadas Clásicas 20un,S/ 7.59,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,20.0,un,7.59
Tostadas Bimbo Pack 3 unid: Tostadas Clásicas + Tostadas Integrales,S/ 27.40,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,3.0,un,27.4
Tostadas Clásicas Unión Bolsa 10 unid,S/ 7.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,10.0,un,7.6
Tostadas Clásicas PYC Paquete 8 unid,S/ 7.20,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,8.0,un,7.2
Tostadas Integrales PYC Paquete 8 unid,S/ 7.20,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,8.0,un,7.2
Tostadas Integrales Metro Paquete 125 g,S/ 6.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,125.0,g,6.9
Tostadas Clásicas Metro Paquete 115 g,S/ 6.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,115.0,g,6.9
Tostadas Piqueo Arito Don Mamino 85 G,S/ 7.99,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,7.99
Tostadas Integrales 142 g,S/ 8.30,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,142.0,g,8.3
Tostadas Sin Gluten Santiveri Noglut 100g,S/ 15.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,100.0,g,15.9
Tostadas Clásicas Bauducco 42g,S/ 8.30,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,42.0,g,8.3
Tostaditas Piqueo Don Mamino Marmoleadas Caja 85 g,S/ 8.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,8.9
Palitos Mini Pizza La Mole Bolsa 100 g,S/ 15.00,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,100.0,g,15.0
Tostaditas Cuadradas Don Mamino Clásicas Caja 85 g,S/ 8.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,8.9
Tostaditas Piqueo Don Mamino Caja 85 g,S/ 8.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,8.9
Tostaditas Cuadradas Don Mamino Marmoleadas Caja 85 g,S/ 8.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,8.9
Tostaditas Piqueo Don Mamino Naturales Caja 85 g,S/ 8.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,8.9
Tostaditas Piqueo Don Mamino Arito salvado de Trigo Caja 85 g,S/ 7.99,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,7.99
Tostaditas Cuadradas Don Mamino Salvado de Trigo Caja 85 g,S/ 8.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,85.0,g,8.9
Palitos Al Olivo La Mole 100g,S/ 15.00,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,100.0,g,15.0
Bruschetta con Tomate y Orégano La Mole 150g,S/ 23.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,150.0,g,23.9
Molde Krea Muffin 6un,S/ 14.00,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,6.0,un,14.0
Molde Krea Cupcake Silicona 6un,S/ 5.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,6.0,un,5.6
Tortillas de Trigo Clásicas Rapiditas Bimbo Paquete 12 unid,S/ 7.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,12.0,un,7.9
Tortillas Bimbo Rapiditas Cero Cero 280g,S/ 7.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,280.0,g,7.9
Tortillas de Trigo Integrales Rapiditas Bimbo Paquete 12 unid,S/ 7.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,12.0,un,7.9
Galletas de Maíz Horneadas Salmas 144g,S/ 8.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,144.0,g,8.5
Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja 360 g,S/ 22.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,360.0,g,22.9
Tortillas de Trigo Clásicas Rapiditas Wraps Bimbo Paquete 6 unid,S/ 7.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,6.0,un,7.9
Tortillas Tradicionales Cuisine & Co 12un,S/ 6.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,12.0,un,6.9
Galletas Salmas Camote y Zanahoria 126g,S/ 8.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,126.0,g,8.5
Twelvepack Galletas de Maíz Salmas Horneadas 18g,S/ 14.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,18.0,g,14.9
Tortillas Artesanales Integrales El Cedro 12un,S/ 9.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,12.0,un,9.9
Galletas de Maíz Horneadas Salmas Granos y Semillas 126g,S/ 8.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,126.0,g,8.5
Tortillas de Maíz Saniito 12un,S/ 10.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,12.0,un,10.6
Mini Tostadas Clásicas Metro 110g,S/ 6.25,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,110.0,g,6.25
Galletas de Maíz Horneadas Salmitas Caja 80 g,S/ 5.20,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,80.0,g,5.2
Galletas de Maíz Horneadas Salmas Maíz Morado 126g,S/ 8.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,126.0,g,8.5
Tortilla Artesanal Clásica El Cedro 12un,S/ 9.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,12.0,un,9.9
Tortillas de Trigo Tía Rosa Burrera 465g,S/ 13.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,465.0,g,13.9
Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja 90 g,S/ 8.30,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,90.0,g,8.3
Tortillas con Salvado de Trigo Cuisine & Co 12un,S/ 6.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,12.0,un,6.9
Harina Tostada de 7 Semillas Perú Inka 400g,S/ 9.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,400.0,g,9.9
Tortillas de Trigo Tía Rosa 425g,S/ 13.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,425.0,g,13.5
Tortilla de Maíz Tía Rosa 10un.,S/ 12.20,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,10.0,un,12.2
Tripack Tortillas Bimbo Rapiditas Cero Cero 280g,S/ 31.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,280.0,g,31.5
Cebada Tostada Bolsa 150 g,S/ 7.00,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,150.0,g,7.0
Tortillas de Maíz Saniito 8un,S/ 11.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,8.0,un,11.6
Tortilla de Trigo Tía Rosa 10un.,S/ 11.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,10.0,un,11.5
Mini Tostada Il Pastificio Ajo y Orégano 100g,S/ 9.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,100.0,g,9.9
Bruschetas Chips Maretti Mediterráneas 70g,S/ 5.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,70.0,g,5.9
"Cerveza Sin Alcohol Mahou 0,0 Tostada Botella 330ml",S/ 5.00,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,330.0,ml,5.0
"Bruschetas Chips Maretti Tomate, Aceituna y Orégano 70g",S/ 5.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,70.0,g,5.9
Mini Tostada Il Pastificio Tomate y Orégano 100g,S/ 9.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,100.0,g,9.9
Croutones de Pan Caja 60 g,S/ 6.40,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,60.0,g,6.4
Pack x2 Tortillas de Trigo Tía Rosa Burrera Paquete 465g,S/ 26.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,465.0,g,26.6
Hojuelas Integrales Honey Bunches Miel Tostada 340g,S/ 38.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,340.0,g,38.9
Pack x2 Tortillas de Trigo Tía Rosa Paquete 425g,S/ 25.80,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,425.0,g,25.8
Pack x2 Tortilla de Maíz Tía Rosa Paquete 255g,S/ 23.40,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,255.0,g,23.4
"Bruschetas Chips Maretti Tomate, Aceituna y Orégano 150g",S/ 10.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,150.0,g,10.6
"Cerveza Sin Alcohol Mahou 0,0 Tostada Lata 330ml",S/ 5.00,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,330.0,ml,5.0
Pack x2 Tortilla de Trigo Tía Rosa Paquete 260g,S/ 22.20,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,260.0,g,22.2
Bruschetas Chips Maretti Mediterráneas 150g,S/ 10.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,150.0,g,10.6
Mostaza Libbys Doypack 200 g,S/ 5.30,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,200.0,g,5.3
Mostaza AlaCena 400g,S/ 8.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,400.0,g,8.6
Mostaza AlaCena 220g,S/ 5.40,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,220.0,g,5.4
Mostaza Heinz Doy Pack 368 g,S/ 12.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,368.0,g,12.5
Mostaza B&D Frasco 425 g + Kétchup B&D Frasco 425 g,S/ 10.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,425.0,g,10.9
Mostaza Cuisine & Co 200g,S/ 3.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,200.0,g,3.5
Mostaza B&D 200g,S/ 3.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,200.0,g,3.9
Mostaza Cuisine & Co 370g,S/ 7.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,370.0,g,7.5
Mostaza Heinz Frasco 255 g,S/ 14.30,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,255.0,g,14.3
Mostaza B&D 1kg,S/ 11.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,1.0,kg,11.9
Mostaza AlaCena 100g,S/ 3.60,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,100.0,g,3.6
Mostaza Dijón American Classic 340g,S/ 12.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,340.0,g,12.9
Mostaza Libbys Doypack 100 g,S/ 3.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,100.0,g,3.5
Mostaza American Classic 397g,S/ 12.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,397.0,g,12.9
Mostaza Clásica French's 226g,S/ 10.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,226.0,g,10.5
Mostaza American Classic 227g,S/ 10.90,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,227.0,g,10.9
Pan de Molde Blanco Bimbo Bolsa 750 g,S/ 13.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,750.0,g,13.5
Pan de Molde Integral Bimbo Bolsa 750 g,S/ 13.50,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,750.0,g,13.5
Pan de Molde Don Mamino Blanco Sin Corteza Bolsa 560 g,S/ 13.70,metro,TOSTADAS (MOLDE),2024-12-04 20:46:59.505238,560.0,g,13.7
