unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Frasco 400ml,Leche Corporal NIVEA Aceite de Oliva - Frasco ...,S/ 21.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,400.0,ml,21.9
Botella 200ml,Aceite de Oliva EL OLIVAR Extra Virgen Botella...,S/ 16.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,200.0,ml,16.9
Botella 500ml,Aceite de Oliva BELL'S SELECCIÓN Extra Virgen ...,S/ 26.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,26.5
Botella 500ml,Aceite de Oliva EL OLIVAR Extra Virgen Botella...,S/ 37.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,37.5
Botella 1L,Aceite de Oliva EL CORTE INGLÉS Extra Virgen B...,S/ 54.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,54.9
Botella 200ml,Aceite de Oliva BELL'S Puro Botella 200ml,S/ 15.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,200.0,ml,15.9
Botella 1L,Aceite de Oliva CARBONELL Extra Virgen Botella...,S/ 89.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,89.5
Botella 500ml,Aceite de Oliva Extra Virgen BELL'S Botella 50...,S/ 36.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,36.9
Botella 1L,Aceite de Oliva EL OLIVAR Extra Virgen Botella...,S/ 66.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,66.9
Botella 2L,Aceite de Oliva BELL'S Extra Virgen Botella 2L,S/ 102.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,2.0,l,102.9
Botella 1L,Aceite de Oliva BELL'S Extra Virgen Botella 1L,S/ 65.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,65.9
Botella 500ml,Aceite de Oliva CARBONELL Sabor Afrutado Inten...,S/ 44.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,44.9
Spray 200ml,Aceite de Oliva CARBONELL Extra Virgen Spray 2...,S/ 21.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,200.0,ml,21.5
Botella 900ml,Aceite de Oliva BELL'S Puro Botella 900ml,S/ 56.19 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,900.0,ml,56.19
Botella 1L,Aceite de Oliva VALDEPORRES Extra Virgen Botel...,S/ 66.40 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,66.4
Botella 250ml,Aceite de Oliva CARBONELL Sabor Afrutado Inten...,S/ 29.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,250.0,ml,29.5
Botella 250ml,Aceite de Oliva VALDEPORRES Extra Virgen Botel...,S/ 24.60 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,250.0,ml,24.6
Botella 2L,Aceite de Oliva VALDEPORRES Gran Selección Bot...,S/ 119.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,2.0,l,119.9
Botella 900ml,Aceite de Oliva BELL'S Virgen Botella 900ml,S/ 49.30 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,900.0,ml,49.3
Botella 500ml,Aceite de Oliva VALDEPORRES Extra Virgen Botel...,S/ 42.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,42.5
Botella 1L,Aceite de Oliva VALDEPORRES Virgen Botella 1L,S/ 59.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,59.9
Botella 250ml,Aceite de Oliva EL OLIVAR Extra Virgen Botella...,S/ 24.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,250.0,ml,24.5
Botella 200ml,Aceite de Oliva OLIVOS DEL SUR Extra Virgen Bo...,S/ 20.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,200.0,ml,20.9
Botella 500ml,Aceite de Oliva OLIVOS DEL SUR Extra Virgen Bo...,S/ 46.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,46.9
