unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Bolsa 500g,Porciones de Bonito con Piel PESCANOVA Bolsa 5...,S/ 10.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,10.5
Presentación 1 kg aprox.,Pescado Bonito Entero PESCANOVA PV,S/ 7.50 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,kg,7.5
Presentación 3 kg aprox.,Pescado Bonito Entero Fresco,S/ 7.50 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,3.0,kg,7.5
Lata 170g,Filete de Bonito FRESCOMAR en Aceite Vegetal L...,S/ 4.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,170.0,g,4.5
Caja 170g,Trozos de Bonito Ahumado NATURAL FISH Caja 170...,S/ 16.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,170.0,g,16.9
Lata 170g,Desmenuzado de Bonito en Aceitunas Verdes NATU...,S/ 16.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,170.0,g,16.9
Bolsa 1Kg,Filete de Tilapia BELL'S Bolsa 1Kg,S/ 20.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,kg,20.9
Bolsa 500g,Filete de Trucha BELL'S Congelado con Piel Bol...,S/ 29.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,29.9
Bolsa 1Kg,Filete de Basa BELL'S Bolsa 1Kg,S/ 15.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,kg,15.9
Bolsa 500g,Trozos De Salmón AQUA Bolsa 500g,S/ 42.10 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,42.1
Bolsa 500g,Porciones de Salmón PESCATORE Bolsa 500g,S/ 17.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,17.5
Presentación 0.3 kg aprox.,Filete de Tilapia Importado,S/ 25.50 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.3,kg,25.5
Presentación 0.4 kg aprox.,Trucha Eviscerada,S/ 18.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.4,kg,18.9
Bolsa 400g,Porciones de Atún BELL'S Bolsa 400g,S/ 24.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,400.0,g,24.9
Bolsa 500g,Porciones de Perico BELL'S Bolsa 500g,S/ 25.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,25.5
Presentación 0.4 kg aprox.,Trucha Eviscerada Congelada,S/ 18.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.4,kg,18.9
Bolsa 300g,Perico en Porciones PESCANOVA Congelado Bolsa ...,S/ 14.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,14.9
Bolsa 300g,Langostinos Precocidos BELL'S Bolsa 300g,S/ 24.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,24.5
Bolsa 300g,Langostinos Crudos AZUL MARINO Bolsa 300g,S/ 19.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,19.9
Presentación 0.3 kg aprox.,Filete de Salmón Fresco,S/ 69.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.3,kg,69.9
Bolsa 500g,Mixtura de Mariscos BELL'S Bolsa 500g,S/ 19.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,19.9
Presentación 1 kg aprox.,Filete de Salmón PESCATORE x Kg,S/ 35.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,kg,35.9
Presentación 0.2 kg aprox.,Filete de Basa,S/ 15.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.2,kg,15.9
Paquete 300g,Mejillones ALIPOFRESCO Paquete 300g,S/ 10.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,10.9
Bolsa 240g,Croquetas Langostino Ajillo HIBERO 240g Bolsa ...,S/ 9.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,240.0,g,9.9
Bolsa 454g,Filete de Tilapia Apanada SANTA PRISCILA Bolsa...,S/ 29.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,454.0,g,29.9
Presentación 0.3 kg aprox.,Trucha Dehuesada,S/ 34.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.3,kg,34.9
Bolsa 454g,Langostinos Pelado y Desvenado Grandes SANTA P...,S/ 29.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,454.0,g,29.9
Bolsa 500g,Medallones de Tollo Azul UMI FOODS Bolsa 500g,S/ 18.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,18.5
Bolsa 500g,Filete Empanizado Alaska Pollock PESCATORE Bol...,S/ 17.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,17.5
Bolsa 500g,Mixtura de Mariscos GOVIMAR Bolsa 500g,S/ 17.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,17.9
Bolsa 500g,Anillas de Calamar Rebozadas PESCANOVA Bolsa 5...,S/ 15.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,15.5
Bolsa 300g,Palitos de Merluza PESCANOVA Bolsa 300g,S/ 14.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,14.9
Bolsa 1Kg,Mix Seafood con Pulpo HIBERO Bolsa 340g,S/ 11.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,kg,11.9
Bolsa 454g,Nuggets de Tilapia SANTA PRISCILA Bolsa 454g,S/ 19.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,454.0,g,19.9
Bolsa 300g,Peskitos de Merluza PESCANOVA Bolsa 300g,S/ 18.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,18.5
Bolsa 454g,Langostino Apanado SANTA PRISCILA Bolsa 454g,S/ 29.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,454.0,g,29.9
Bolsa 300g,Langostino Crudo Pelado PESCANOVA Bolsa 300g,S/ 22.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,22.9
Bolsa 0.5Kg,Porciones de Perico A-1 Bolsa 500g,S/ 38.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.5,kg,38.9
Bolsa 200g,Pulpa de Langostino AZUL MARINO Bolsa 200g,S/ 9.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,200.0,g,9.9
Presentación 0.2 kg aprox.,Trucha Congelada Entera Deshuesada,S/ 34.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.2,kg,34.9
Presentación 1 kg aprox.,Filete de Salmón VADIMAR Empaque 5Kg,S/ 59.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,kg,59.9
Bolsa 450g,Filete de Pez Roca SEAFROST Bolsa 450g,S/ 16.20 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,450.0,g,16.2
Bolsa 500g,Porciones Salmón UMI Bolsa 500g,S/ 49.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,49.9
Bolsa 250g,Trucha Ahumada MAR ANDINO Bolsa 250g,S/ 34.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,250.0,g,34.9
Presentación 0.15 kg aprox.,Atun Porciones Congelado,S/ 54.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.15,kg,54.9
Presentación 1.3 kg aprox.,Filete de Salmón Congelado,S/ 75.50 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.3,kg,75.5
Bandeja 300g,Porciones de Bacalao EASY Congelado 300g,S/ 29.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,29.9
Bolsa 6un,Conchas de Abanico AZUL MARINO Media Valva Bol...,S/ 19.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,6.0,un,19.9
Bolsa 500g,Anillas de Calamar Empanizadas PESCANOVA Bolsa...,S/ 17.49 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,17.49
Bolsa 680g,Atún Medallones DOLORES Premium Bolsa 680g,S/ 68.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,680.0,g,68.5
Bolsa 500g,Mixtura de Mariscos AZUL MARINO Premium Bolsa ...,S/ 22.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,22.9
Bolsa 200g,Pulpa de Cangrejo BELL'S Bolsa 200g,S/ 34.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,200.0,g,34.9
Presentación 0.25 kg aprox.,Filete de Trucha Fresco,S/ 49.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.25,kg,49.9
Bolsa 300g,Langostinos Precocidos AZUL MARINO Bolsa 300g,S/ 29.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,300.0,g,29.9
Bolsa 100g,Carpaccio de Salmón SOUTH WIND Bolsa 100g,S/ 22.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,100.0,g,22.5
Bolsa 454g,Langostino Pelado y Desvenado Jumbo SANTA PRIS...,S/ 45.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,454.0,g,45.9
Presentación 0.1 kg aprox.,Langostinos Medianos,S/ 45.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.1,kg,45.9
Bandeja 500g,Combinado de Mariscos FERRER Paella Mix Bandej...,S/ 23.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,23.9
Bandeja 240g,Crujiente de Langostino y Patata EASY Bandeja ...,S/ 22.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,240.0,g,22.9
Bandeja 1un,Pulpo Cocido Limpio EL REY DEL PULPO x un,S/ 64.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,un,64.9
Bolsa 500g,Tiras de Pota Empanizada Picante ODISSEA Paque...,S/ 24.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,24.9
Presentación 1 kg aprox.,Tilapia Entera AQUA PERU Refrigerada xKg,S/ 13.90 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,kg,13.9
Bandeja 500g,Bacalao Desmigado FERRER Congelado 500g,S/ 35.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,500.0,g,35.9
Presentación 0.3 kg aprox.,Filete de Swai Importado EASY,S/ 17.99 x kg,plaza_vea,BONITO,2024-12-04 13:28:32.902621,0.3,kg,17.99
Caja 350g,Cola de Langostino EASY Congelada Paquete 280g,S/ 89.90 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,350.0,g,89.9
Bolsa 1un,Lomos de Bacalao EASY Congelado 375g,S/ 48.50 un,plaza_vea,BONITO,2024-12-04 13:28:32.902621,1.0,un,48.5
