unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Bolsa 500g,Pulpa de Maracuyá Congelada FIFU Bolsa 500g,S/ 12.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,500.0,g,12.9
Bolsa 500g,Pulpa de Maracuyá Congelada EL FRUTERO Bolsa 5...,S/ 12.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,500.0,g,12.9
Botella 700ml,Ready To Drink (RTD) PISCANO Sour Maracuyá Bot...,S/ 17.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,700.0,ml,17.9
Lata 355ml,Ready To Drink (RTD) PORTON Chilcano de Maracu...,S/ 8 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,355.0,ml,8.0
Botella 275ml,Ready To Drink (RTD) PISCANO Chilcano Maracuyá...,S/ 5.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,275.0,ml,5.9
Botella 700ml,Ready To Drink (RTD) TABERNERO Sour Maracuyá B...,S/ 19.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,700.0,ml,19.9
Lata 355ml,Ready To Drink (RTD) PISCANO Chilcano Maracuyá...,S/ 5.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,355.0,ml,5.9
Caja 125g,Mix Para Hacer Pisco Sour WASSKA Maracuyá Sobr...,S/ 8.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,125.0,g,8.9
Botella 275ml,Ready To Drink (RTD) CHILCANO BAR Tabernero Ma...,S/ 6.50 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,275.0,ml,6.5
Botella 275ml,Ready To Drink (RTD) PISCANO Zero Chilcano Mar...,S/ 5.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,275.0,ml,5.9
Lata 355ml,Ready To Drink (RTD) WASSKA HAPPY Maracuyá Pun...,S/ 4.99 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,355.0,ml,4.99
Lata 473ml,Ready To Drink (RTD) FOUR LOKO Maracuyá Lata 4...,S/ 10.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,473.0,ml,10.9
Pack 2un,Pack Pisco CUATRO GALLOS Puro Quebranta Botell...,S/ 68.89 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,2.0,un,68.89
Presentación 0.5 kg aprox.,Maracuyá,S/ 7.79 x kg,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,0.5,kg,7.79
Paquete 1un,Granadilla Oxapampa x unidad,S/ 0.90 un,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,1.0,un,0.9
Presentación 0.25 kg aprox.,Tuna Roja,S/ 5.88 x kg,plaza_vea,MARACUYÁ,2024-12-04 13:47:11.406678,0.25,kg,5.88
