brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
,Aceite Vegetal Del Cielo Botella x 900 mL,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,900.0,ml,5.8
TOTTUS,Aceite Vegetal 5L,S/ 32.90,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,5.0,l,32.9
PRIMOR,Aceite vegetal Premium de 900 mL,S/ 10.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,900.0,ml,10.5
PRIMOR,Aceite vegetal de 900 mL,S/ 9.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,900.0,ml,9.5
DELEITE,Aceite Vegetal Premium 5L,S/ 35.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,5.0,l,35.5
CAMPOMAR,Filete De Atún En Aceite Vegetal Six Pack x 150g,S/ 35.90,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,150.0,g,35.9
FLORIDA,Trozos Atún en Aceite Vegetal y Sal 140g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,5.8
PRIMOR,Trozo Atún Aceite Vegetal Lata x 140 g,S/ 6.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,6.5
,Aceite Vegetal Del Cielo Botella x 2Lt,S/ 13.30,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,2.0,l,13.3
PRIMOR,Filete de Atún en Aceite Vegetal en Lata de 140 g,S/ 6.70,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,6.7
FLORIDA,Graned de Atún en Aceite Vegetal 140g,S/ 4.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,4.6
SANTORINI,Anchoveta En Aceite Vegetal x 125 g,S/ 3.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,125.0,g,3.5
CAMPOMAR,Trozos de atún en aceite vegetal de 150 g,S/ 5.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,150.0,g,5.6
DELEITE,Aceite Vegetal Premium 900mL,S/ 6.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,900.0,ml,6.8
CAMPOMAR,Filete De Atún En Aceite Vegetal x 150 g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,150.0,g,5.8
DELEITE,Aceite Vegetal Premium 2L,S/ 14.83,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,2.0,l,14.83
CAMPOMAR,Lomo De Atún En Aceite Vegetal x 150 g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,150.0,g,5.8
TOTTUS,Trozos de Atún en Aceite Vegetal 170 g,S/ 4.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,170.0,g,4.8
HUERTO ALAMEIN,Aceite Vegetal Olivado 900 mL,S/ 12.30,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,900.0,ml,12.3
FRESCOMAR,Trozos De Atún Aceite Vegetal 170Gr,S/ 5.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,170.0,g,5.6
,D Gussto Trozos Atún Aceite Vegetal 170 g,S/ 5,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,170.0,g,5.0
COMPASS,Trozos De Atún Aceite Vegetal 140 g,S/ 5.10,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,5.1
FRESCOMAR,Filete De Bonito Atún Aceite Vegetal 170Gr,S/ 4.90,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,170.0,g,4.9
D'GUSSTO,D Gussto Trozos Atún Aceite Vegetal 140 g,S/ 5,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,5.0
CAMPOMAR,Filete De Bonito Aceite Vegetal 150 g,S/ 5.10,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,150.0,g,5.1
FRESCOMAR,Filete De Atún Aceite Vegetal 170 g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,170.0,g,5.8
COMPASS,Filete De Atún Aceite Vegetal x 140 g,S/ 5.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,5.5
COMPASS,Filete Atún Tripack Aceite Vegetal Lata x 140 g,S/ 15.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,15.6
COMPASS,Trozos De Atún Tripack Aceite Vegetal Lata x 140 g,S/ 14.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,140.0,g,14.8
ALPA,Aceite 100% Vegetal Premium 900mL,S/ 7.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-04 13:24:42.924303,900.0,ml,7.6
