brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
MILO,Alimento granulado Activ Go de 350 g,S/ 16.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,350.0,g,16.5
MILO,Alimento Granulado Activ Go 940g,S/ 47.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,940.0,g,47.5
RICOCAN,Comida para perros adultos pequeños sabor cordero y cereales de 15 kg,S/ 109.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,109.9
BABYSEC,Pañal Super Premium Xg 60 und,S/ 59.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,60.0,un,59.9
ENSURE,Two-pack of Advance 850g,S/ 145.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,850.0,g,145.9
RICOCAN,Comida para perros adultos medianos y grandes sabor cordero y cereales de 15 kg,S/ 109.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,109.9
ENFAGROW,Alimento lácteo Premium Promental Etapa 3 Natural de 2.2 Kg,S/ 189,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.2,kg,189.0
PRECIO UNO,Alimento Para Perro Adulto x 25 Kg,S/ 99.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,25.0,kg,99.9
DOG CHOW,Alimento para perro Adulto Mediano y grande 15 kg,S/ 199.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,199.9
BABYSEC,Pañal Super Premium Xxg 58 und,S/ 59.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,g,59.9
ENFAGROW,Alimento lácteo Premium Promental etapa 3 sabor vainilla de 2.2 kg,S/ 189,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.2,kg,189.0
THOR,Alimento para perro Adulto con carne hígado y cereales de 25 kg,S/ 132.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,25.0,kg,132.5
RICOCAT,Comida para gatos esterilizados sabor pescado de 9 kg,S/ 94.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,9.0,kg,94.5
SIMILAC,Fórmula Infantil 3 HMO Lata 2100 g,S/ 194.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2100.0,g,194.5
RICOCAN,Comida para perros cachorros sabor carne y leche de 15 kg,S/ 115.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,115.5
GLUCERNA,Vainilla 850 g,S/ 137.70,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,850.0,g,137.7
RICOCAN,Comida para perros cachorros pequeñas sabor carne y leche de 15 kg,S/ 109.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,109.9
TOTTUS,Comida para perros adultos sabor carne y cereales de 15 kg,S/ 96.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,96.9
RICOCAT,Comida para gatos adultos sabor carne salmón y leche de 9 kg,S/ 94.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,9.0,kg,94.5
MIMASKOT,Comida para Perros Adultos Sabor Cordero 15 kg,S/ 117.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,117.5
MIMASKOT,Comida para Perros Adultos Sabor Carne y Vegetales 15 kg,S/ 117.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,117.5
RICOCAN,Comida para perros adultos todas las razas sabor carne de 15 kg,S/ 115.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,115.5
PVM,Complemento Sabor Vainilla 1 kg,S/ 66.70,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,66.7
ENFAMIL,FORMULA LCTA PVO CONFORT PREM CAJA X1.1KG,S/ 195,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.1,kg,195.0
ENSURE,ADVANCE CHOCOLATE DUO PACK 850G+400G,S/ 145.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,850.0,g,145.9
CAT CHOW,Alimento para Gatos Gatitos en bolsa de 8 kg,S/ 135.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,8.0,kg,135.5
CAT CHOW,Alimento para Gatos ADULTOS Delimix bolsa 8 kg,S/ 139.40,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,8.0,kg,139.4
PRECIO UNO,Alimento Completo Para Gatos x 9 Kg,S/ 81.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,9.0,kg,81.9
CAT CHOW,Alimento para Gatos Adulto Esterilizados en bolsa de 8 kg,S/ 139.40,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,8.0,kg,139.4
PURINA,Alimento seco para gato GATI sabor carne y pollo de 15 kg,S/ 142.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,15.0,kg,142.9
PVM,Suplemento Sabor Chocolate Reforzado con Hierro 1 kg,S/ 66.70,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,66.7
THOR,ALIMENTO ADULTO SABOR CLASICO 10KG,S/ 59.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,10.0,kg,59.9
ENFAGROW,Alimento lácteo Etapa 3 Premium Promental de 1350 g,S/ 135,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1350.0,g,135.0
FRISKIES,Alimento seco para gatos ADULTOS Selección especial de 7.5 kg,S/ 123.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,7.5,kg,123.9
DOG CHOW,Alimento para perro Adulto Minis y Pequeños 8 kg,S/ 101.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,8.0,kg,101.9
SIMILAC,TOTAL COMFORT KID 2.1 KG,S/ 193.60,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.1,kg,193.6
PEDIGREE,Alimento para cachorro de 2 kg,S/ 40.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,40.9
PRECIO UNO,ALIMENTO COMPLETO PARA PERRO CACHORRO 2 KG,S/ 15.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,15.9
PEDIGREE,Alimento para perro adulto de 2 kg,S/ 40.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,40.9
