brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
TOTTUS,ACEITUNA VERDE DESHUESADA PREMIUM TOTTUSX270G,S/ 12.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,270.0,g,12.9
TOTTUS,Aceituna Verde Rellena con Pimiento 240 g,S/ 9.80,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,240.0,g,9.8
TOTTUS,Aceituna Verde Rellena con Rocoto 240 g,S/ 9.80,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,240.0,g,9.8
TOTTUS,Cepillo Eléctrico Verde 1 Und,S/ 21,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,1.0,un,21.0
TOTTUS,Aceituna Verde sin Pepa 240 g,S/ 9.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,240.0,g,9.9
TOTTUS,Aceituna Verde con Pepa 240 g,S/ 8.50,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,240.0,g,8.5
PORTON,Pisco Mosto Verde Italia Portón 750 mL,S/ 85.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,750.0,ml,85.9
PORTON,Pisco Mosto Verde Quebranta Portón 750 mL,S/ 85.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,750.0,ml,85.9
CASA VERDE,Dip de alcachofa a la parmesana 200 g,S/ 8.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,200.0,g,8.9
CASA VERDE,Dip Con Palta Frasco x 225 g,S/ 9.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,225.0,g,9.9
OLIVOS DEL SUR,Aceitunas verdes deshuesadas 250 g,S/ 9.50,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,250.0,g,9.5
CASA VERDE,Salsa Verde Peruana de 190 g,S/ 8.70,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,190.0,g,8.7
RUSS KAYA,Vodka de Manzana Verde de 750 mL,S/ 25.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,750.0,ml,25.9
OPPO,Smartphone A58 8 + 256Gb Verde,S/ 579,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,256.0,g,579.0
,Pisco Mosto Verde La Blanco 500 mL,S/ 79.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,500.0,ml,79.9
MOTOROLA,Smartphone Motoedge50 Fusion 8+256Gb Verde+Motobuds,"S/ 1,369",tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,256.0,g,1.0
CASA VERDE,Tapenade De Pura Alcachofa Frasco x 190 g,S/ 8.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,190.0,g,8.9
VALLE FERTIL,Arvejitas verdes en conserva Valle Fértil 425 g,S/ 8.80,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,425.0,g,8.8
XIAOMI,Tablet Redmi PAD SE 4+128GB Verde Menta,S/ 599,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,128.0,g,599.0
CASA VERDE,Salsa Verde Pouch 160g,S/ 5.45,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,160.0,g,5.45
CASA VERDE,Salsa Roja Pouch 160g,S/ 3.95,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,160.0,g,3.95
REDWOOD,Pack X2 Leggings Biker Niña,S/ 19.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,2.0,l,19.9
CASA VERDE,Mermelada De Arándano Light 180 g,S/ 12.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,180.0,g,12.9
CASA VERDE,Salsa Verde Peruana 330 g,S/ 14.10,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,330.0,g,14.1
BIGELOW BENEFITS,Infusión de Té Verde Clásico Bigelow 51 g,S/ 21.20,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,51.0,g,21.2
CASA VERDE,Salsa Roja Peruana 350 g,S/ 10.50,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,350.0,g,10.5
CASA JOVEN,Copa 320mL Alejandria Verde,S/ 9.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,320.0,ml,9.9
CASA VERDE,Salsa de Ají Amarillo con Queso 190 g,S/ 9.50,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,190.0,g,9.5
HUELLA VERDE,"Avena Mix ""The Skinny Mood"" de 600 g",S/ 26.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,600.0,g,26.9
CASA VERDE,Crema De Rocoto Pouch 350 g,S/ 13.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,350.0,g,13.9
CASA VERDE,Crema De Rocoto x 75 g,S/ 4.40,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,75.0,g,4.4
CASA VERDE,Alcachofa a la parrilla 220 g,S/ 8.70,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,220.0,g,8.7
VIÑAS DE ORO,PISCO ACHOLADO MOSTO VERDE VINAS DE ORO X 500 ML,S/ 97.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,500.0,ml,97.9
CUATRO GALLOS,Pisco Mosto Verde Italia de 700 mL,S/ 69.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,700.0,ml,69.9
CASA VERDE,Garbanzos x 340 g,S/ 7.50,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,340.0,g,7.5
CUATRO GALLOS,Mosto Verde 4 Gallos Ed. Lim Acholado 750 mL,S/ 86.90,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,4.0,g,86.9
