brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
REDONDOS,CHICHARRON DE CERDO DUROC 300G,S/ 17.90,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,300.0,g,17.9
REDONDOS,Milanesa de Cerdo Duroc 580 g,S/ 21.50,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,580.0,g,21.5
REDONDOS,Enrollado de Cerdo con Frutas 1.3 kg,S/ 39.90,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,1.3,kg,39.9
TOTTUS,CHICHARRON DE CERDO X 150GR,S/ 11.90,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,150.0,g,11.9
TOTTUS,ENROLLADO DE CERDO CON JAMON Y QUESO X1KG,S/ 27.68,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,1.0,kg,27.68
PIKI,ADEREZO PARA CERDO 350 GRS.,S/ 10,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,350.0,g,10.0
TOTTUS,ENROLLADO DE CERDO CON TOCINO Y GUINDONES X1KG,S/ 27.68,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,1.0,kg,27.68
REDONDOS,Hamburguesa Cerdo Duroc 360 g,S/ 8.90,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,360.0,g,8.9
RAMBALA,TREATS OREJAS DE CERDO X 2UN,S/ 12,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,2.0,un,12.0
RAMBALA,TREATS OREJAS DE CERDO X 4UN,S/ 20.90,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,4.0,un,20.9
,Enrollado Delizia de Cerdo San Fernando 1.3 kg,S/ 49.90,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,1.3,kg,49.9
CASA EUROPA,Paté de Cerdo Finas Hierbas 150 g,S/ 8.90,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,150.0,g,8.9
TOTTUS,Enrollado de Pollo con Frutas Secas 1 kg,S/ 26.18,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,1.0,kg,26.18
TESORO DEL CAMPO,Papa Seca 500 g,S/ 7.30,tottus,CHULETA DE CERDO,2024-12-04 13:06:11.050431,500.0,g,7.3
