brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
AJINOMOTO,Sopa Instantánea Ajinomen Sabor gallina 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,80.0,g,1.9
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Gallina Picante 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,80.0,g,1.9
AJINOMOTO,Caldo de Gallina Doña Gusta 6 Unidades,S/ 2.20,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,6.0,un,2.2
MAGGI,Caldo sabor gallina - 25 unidades,S/ 5.50,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,25.0,un,5.5
MAGGI,Cubo de Sabor Gallina 8 unidades,S/ 4.50,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,8.0,un,4.5
AJINOMOTO,SOPA INSTANTANEA VASO SABOR GALLINA PICANTE X 51G,S/ 3.40,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,51.0,g,3.4
GALLINAS LIBRES,PACK HUEVOS X 12UN,S/ 15.50,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,12.0,un,15.5
AJINOMOTO,Sopa instantánea Ajinomen sabor gallina de 51 g,S/ 3.40,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,51.0,g,3.4
PROVENZAL,Mezcla para Ají de gallina 100 g,S/ 9.10,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,100.0,g,9.1
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Gallina Criolla 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,80.0,g,1.9
AJINOMOTO,Sopa Instantánea Ajinomen Gallina Light 80 g,S/ 1.90,tottus,GALLINA EVISCERADA,2024-12-04 13:10:05.976198,80.0,g,1.9
