brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
GLORIA,BEBIDA DE MANGO CAJA 1L,S/ 4.90,tottus,MANGO,2024-12-04 13:31:58.297897,1.0,l,4.9
MURANA,EXFOLIANTE MANGO Y DURAZNO 300 ML,S/ 20.72,tottus,MANGO,2024-12-04 13:31:58.297897,300.0,ml,20.72
WATTS,BEBIDAS DE MANGO CAJA 946ML,S/ 4.50,tottus,MANGO,2024-12-04 13:31:58.297897,946.0,ml,4.5
MURANA,HIDRATANTE BATIDO MANGO Y DURAZNO 300 ML,S/ 20.72,tottus,MANGO,2024-12-04 13:31:58.297897,300.0,ml,20.72
FRUMAS,JUGO DE MANGO DURAZNO X 400 ML,S/ 5.50,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,5.5
KUSI,Mermelada de Mango con Chía y Stevia 230 g,S/ 12.90,tottus,MANGO,2024-12-04 13:31:58.297897,230.0,g,12.9
EL FRUTERO,MIX DE FRUTAS FRESA PINA Y MANGO BL X 1 KG,S/ 16.95,tottus,MANGO,2024-12-04 13:31:58.297897,1.0,kg,16.95
HUERTO DEL EDEN,Té negro de mango maracuyá Huerto del Edén 25 unidades,S/ 2.70,tottus,MANGO,2024-12-04 13:31:58.297897,25.0,un,2.7
HERBAL ESSENCES,Shampoo Bio:Renew 6X Aloe y Mango Repara 400 mL,S/ 33.90,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,33.9
NUTRI CO,Avena Mix Mango y Chocolate 400 g,S/ 29.90,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,g,29.9
TOTTUS,Mango Congelada En Trozos 1Kg,S/ 16.90,tottus,MANGO,2024-12-04 13:31:58.297897,1.0,kg,16.9
WATTS,Bebida Sabor Mango 1 L,S/ 3.90,tottus,MANGO,2024-12-04 13:31:58.297897,1.0,l,3.9
DANLAC,YOGURT GRIEGO DESCREMADO SABOR MANGO X 420 G,S/ 11.70,tottus,MANGO,2024-12-04 13:31:58.297897,420.0,g,11.7
GLORIA,Yogurt Griego Mango Descremado 120g,S/ 1.80,tottus,MANGO,2024-12-04 13:31:58.297897,120.0,g,1.8
MOGU MOGU,Bebida sabor mango 320 mL,S/ 4.95,tottus,MANGO,2024-12-04 13:31:58.297897,320.0,ml,4.95
,Shampoo Bendito Clima Lima Mango Amaras 700 mL,S/ 17.43,tottus,MANGO,2024-12-04 13:31:58.297897,700.0,ml,17.43
FRUGOS DEL VALLE,BEBIDA MANGO X 970ML,S/ 3.90,tottus,MANGO,2024-12-04 13:31:58.297897,970.0,ml,3.9
,BODYMIST MINNIE MANGO X175 ML,S/ 17.90,tottus,MANGO,2024-12-04 13:31:58.297897,175.0,ml,17.9
FRUVI,Bebida sabor mango 300 mL,S/ 2.20,tottus,MANGO,2024-12-04 13:31:58.297897,300.0,ml,2.2
PISCANO,Pisco Sour Mango 700 mL,S/ 17.90,tottus,MANGO,2024-12-04 13:31:58.297897,700.0,ml,17.9
FRUMAS,BEBIDA MANGO MARACUYA 400ML,S/ 5.50,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,5.5
MONSTER,Bebida energizante Mango Loco de 473 mL,S/ 8,tottus,MANGO,2024-12-04 13:31:58.297897,473.0,ml,8.0
HERBAL ESSENCES,Acondicionador Bio Renew 6X Aloe & Mango 250 mL,S/ 33.90,tottus,MANGO,2024-12-04 13:31:58.297897,250.0,ml,33.9
PORTON,Chilcano Pisco Portón Mango 355 mL,S/ 8.50,tottus,MANGO,2024-12-04 13:31:58.297897,355.0,ml,8.5
FRUMAS,REP BEBIDA MANGO SANDIA 400ML,S/ 5.50,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,5.5
LAIVE,Yogurt Griego Mango Maracuyá 800 g,S/ 10.50,tottus,MANGO,2024-12-04 13:31:58.297897,800.0,g,10.5
DANLAC,Yogurt Descremado Con Mango 900 g - Envase 900 g,S/ 19.50,tottus,MANGO,2024-12-04 13:31:58.297897,900.0,g,19.5
GERBER,Compota Mango 6 meses pote x 113g,S/ 4.90,tottus,MANGO,2024-12-04 13:31:58.297897,113.0,g,4.9
KERO,Bebida sabor mango maracuyá y camu camu de 475 mL,S/ 4.40,tottus,MANGO,2024-12-04 13:31:58.297897,475.0,ml,4.4
,Shampoo Bendito Clima Lima Mango Amaras 400 mL,S/ 11.13,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,11.13
FRUGOS DEL VALLE,Six Pack Mango Fresa 235 mL,S/ 8.20,tottus,MANGO,2024-12-04 13:31:58.297897,235.0,ml,8.2
,Serum Capilar Bendito Clima Lima Mango Amaras 120 mL,S/ 29.90,tottus,MANGO,2024-12-04 13:31:58.297897,120.0,ml,29.9
,Tratamiento Capilar Amarás Bendito Clima De Lima Mango Frasco 300mL,S/ 15.90,tottus,MANGO,2024-12-04 13:31:58.297897,300.0,ml,15.9
