brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
LAYS,Pack Papas Lay's Clásicas 150g y Piqueo Snax 200g,S/ 13.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,150.0,g,13.5
KNORR,Puré de Papa 125 g,S/ 4.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,125.0,g,4.9
GRANEL,Cajonazo Papa Yungay 10 kg,S/ 28.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,10.0,kg,28.9
INKA CHIPS,Papa Jalapeno 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,135.0,g,8.5
EXCELLENCE,Tinte para cabello 3 Castaño Oscuro 162.5 mL,S/ 29.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,162.5,ml,29.9
VILLA NATURA,Chifle Salado 150 g,S/ 6.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,150.0,g,6.9
FRITO LAY,SURTIDO PIQUEO SNAX Y TOSTITOS 350G,S/ 9.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,350.0,g,9.9
LAYS,Papas Al Hilo Lay's 155g,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,155.0,g,5.5
LAYS,Pack Papas Lay's Clásicas 150g y Doritos Q/A 190g,S/ 13.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,150.0,g,13.5
INKA CHIPS,Papa Salada 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,135.0,g,8.5
INDURAMA,EXTRACTOR 1.1 L 800 W ACERO INOXIDABLE EI-CR - EXTRACTOR,S/ 179,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,1.1,l,179.0
LAYS,Papas Lay's Ondas Picante 140g,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,140.0,g,5.5
RECORD,Olla a Presión Alumpress 7L,S/ 409.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,7.0,l,409.9
LAYS,Papas Lay's Ondas Saladas 140 gr,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,140.0,g,5.5
DORITOS,Queso Atrevido 190g,S/ 9,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,190.0,g,9.0
LAYS,Papas Lay's Clásicas 150g,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,150.0,g,5.5
TOSTITOS,Redondos Salados 280g,S/ 12,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,280.0,g,12.0
INKA CHIPS,Papa Bbq 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,135.0,g,8.5
INKA CHIPS,Papa Queso 135g,S/ 8.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,135.0,g,8.5
TOTTUS,Puré de papas instantáneo 250 g,S/ 8.20,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,250.0,g,8.2
TOTTUS,Papas al Hilo 100 g,S/ 3.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,100.0,g,3.9
NUTRISSE,Tinte para cabello Ultra Cobertura 300 Castaño Oscuro 157 mL,S/ 18.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,157.0,ml,18.9
PRINGLES,SOLA ORIGINAL 104G,S/ 9.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,104.0,g,9.9
SUAVITEL,Suavizante Fresca Primavera 2.3L,S/ 18.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,2.3,l,18.9
CHEETOS,Queso Picante 180g,S/ 8,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,180.0,g,8.0
LAYS,Papas Lay's Clásicas 70g,S/ 4,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,70.0,g,4.0
INKA CHIPS,Papas onduladas con tomate albahaca y aceite de oliva de 115 g,S/ 8.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,115.0,g,8.5
INKA CHIPS,Papa Hamburguesa Bembos 120 g,S/ 8.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,120.0,g,8.5
TOTTUS,Papa Seca 400 g,S/ 5.65,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,400.0,g,5.65
