brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
TOTTUS,PAPAS FRITAS EN HOJUELAS X185GR,S/ 6.30,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,185.0,g,6.3
LAYS,Pack Papas Lay's Clásicas 150g y Piqueo Snax 200g,S/ 13.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,13.5
INKA CHIPS,Papa Jalapeno 135g,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,135.0,g,8.5
VILLA NATURA,Chifle Salado 150 g,S/ 6.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,6.9
FRITO LAY,SURTIDO PIQUEO SNAX Y TOSTITOS 350G,S/ 9.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,350.0,g,9.9
LAYS,Pack Papas Lay's Clásicas 150g y Doritos Q/A 190g,S/ 13.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,13.5
LAYS,Papas Al Hilo Lay's 155g,S/ 5.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,155.0,g,5.5
INKA CHIPS,Papa Salada 135g,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,135.0,g,8.5
LAYS,Papas Lay's Ondas Picante 140g,S/ 5.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,140.0,g,5.5
DORITOS,Queso Atrevido 190g,S/ 9,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,190.0,g,9.0
TOSTITOS,Redondos Salados 280g,S/ 12,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,280.0,g,12.0
LAYS,Papas Lay's Ondas Saladas 140 gr,S/ 5.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,140.0,g,5.5
PRINGLES,SOLA ORIGINAL 104G,S/ 9.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,104.0,g,9.9
CHEETOS,Queso Picante 180g,S/ 8,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,180.0,g,8.0
LAYS,Papas Lay's Clásicas 150g,S/ 5.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,5.5
INKA CHIPS,Papa Bbq 135g,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,135.0,g,8.5
INKA CHIPS,Papa Queso 135g,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,135.0,g,8.5
INKA CHIPS,Papas onduladas con tomate albahaca y aceite de oliva de 115 g,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,115.0,g,8.5
TOTTUS,Papas al Hilo 100 g,S/ 3.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,100.0,g,3.9
INKA CHIPS,Papa Hamburguesa Bembos 120 g,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,120.0,g,8.5
CHEETOS,BOLIQUESO 110G,S/ 5,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,110.0,g,5.0
,Nachos de Maíz Morado Perú Nachos 90 g,S/ 4.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,90.0,g,4.9
LAYS,Papas Lay's Clásicas 70g,S/ 4,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,70.0,g,4.0
VILLA NATURA,CHIFLE SALADO BL 500 GR,S/ 18.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,500.0,g,18.9
INKA CORN,Maíz Gigante Original 500 g,S/ 19.43,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,500.0,g,19.43
DORITOS,Queso Atrevido 90g,S/ 5,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,90.0,g,5.0
TOTTUS,Chifle Norteño Con Canchita Milys 500 g,S/ 16.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,500.0,g,16.9
KARINTO,Chifles 150g,S/ 9,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,9.0
CHEETOS,Horneados Mega Queso 90g,S/ 5,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,90.0,g,5.0
TOTTUS,Papas en Hojuelas 175 g + Piqueo Andino 175 g,S/ 14.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,175.0,g,14.5
VILLA NATURA,Papas Al Hilo 250g,S/ 10.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,250.0,g,10.9
TOTTUS,Chips de papas sabor original 134 g,S/ 7.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,134.0,g,7.9
INKA CHIPS,PAPAS CUSQUENA BUFALO X 115G,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,115.0,g,8.5
GENERICO,Tortilla Chips Mexi Nachos 100 g,S/ 4.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,100.0,g,4.9
TOTTUS,Papas al Hilo 150 g,S/ 5.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,5.9
CHIZITOS,Chizito Fiesta Queso 190g,S/ 6.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,190.0,g,6.5
VILLA NATURA,Papas al Hilo 150 g,S/ 6.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,6.9
LAYS,Papas Lay's Clásicas 36g,S/ 2.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,36.0,g,2.5
,Tortees Salado 138g,S/ 5,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,138.0,g,5.0
TOTTUS,Habas Saladas 150 g,S/ 4.99,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,4.99
TOTTUS,PAPAS EN ONDAS X 150GR,S/ 5.70,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,150.0,g,5.7
TOTTUS,Chips De Papas Sabor Picante 134gr,S/ 7.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,134.0,g,7.9
TIYAPUY,Papas Nativas Mix 160 g,S/ 6.45,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,160.0,g,6.45
LAYS,Papas Lay's Clásicas 210g,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,210.0,g,8.5
INKA CHIPS,PAPAS CUSQUENA HABANERO BBQ 115G,S/ 8.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,115.0,g,8.5
TIYAPUY,Papa Nativa Mixta Tubo 100 g,S/ 8.93,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,100.0,g,8.93
TOTTUS,Piqueo Andino 175 g,S/ 7.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,175.0,g,7.9
TOTTUS,Chifles Salados 100 g,S/ 3.79,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,100.0,g,3.79
NATUCHIPS,Camote 135g,S/ 7.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,135.0,g,7.5
BUCKY,Tortillas fritas de maíz original de 220 g,S/ 7.65,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,220.0,g,7.65
TIYAPUY,Camotes Fritos 160 g,S/ 4.65,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,160.0,g,4.65
TOTTUS,Maní Tostado 250 g,S/ 6.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,250.0,g,6.9
,Tortees Salado 71g,S/ 2.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,71.0,g,2.5
SANISSIMO,NACHOS CLASICOS 160G,S/ 10.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,160.0,g,10.9
CHEETOS,Flamin' Hot 120g,S/ 5,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,120.0,g,5.0
PRINGLES,SOLA SOUR CREAM 109G,S/ 9.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,109.0,g,9.9
INKA CORN,Maíz Gigante Original 100 g,S/ 4.88,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,100.0,g,4.88
QFOODS,Quinoa Chips Sabor Finas Hierbas 35g,S/ 3.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,35.0,g,3.9
INKA CHIPS,Veggie Chips Tropical 125 g,S/ 8,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,125.0,g,8.0
TOTTUS,MANI CONFITADO X 200G,S/ 6.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,200.0,g,6.5
GELCE,Piqueo Veggie Chips Mix 125 g,S/ 5.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,125.0,g,5.9
,Tortees Picante 71g,S/ 2.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,71.0,g,2.5
GELCE,Chifles salados de 125 g,S/ 5.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,125.0,g,5.9
DYFFERENT,Crunch Garbanzo Cheddar Dyff 100 g,S/ 6.30,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,100.0,g,6.3
VILLA NATURA,Villa Maiz Gigante Original 80g,S/ 4.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,80.0,g,4.9
TOTTUS,Takis Blue Heat Explosión 200 g,S/ 9.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,200.0,g,9.5
TOTTUS,Pretzels de 90 g,S/ 5.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,90.0,g,5.9
PRINGLES,Crisps Adobada 158 g,S/ 15.90,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,158.0,g,15.9
TOTTUS,Takis Fuego Flow Bar Explosión 200 g,S/ 9.60,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,200.0,g,9.6
INKA CHIPS,Veggie Chips Camote 130 g,S/ 8,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,130.0,g,8.0
