brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
FABER CASTELL,Marcador textil Plus Pastel de Marcas Caja de 5 unidades,S/ 13.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,5.0,un,13.9
ARTESCO,PLUMONES GLITTER PASTEL X 6UN,S/ 13.20,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,13.2
ARTESCO,RESALTADORES MINI PASTEL X 6UN,S/ 7.20,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,7.2
ARTI CREATIVO,COLORES PASTEL ESTUCH PLAST X12UN,S/ 18.40,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,12.0,un,18.4
ARTESCO,COLORES TRIANG PASTELES X10UN,S/ 8.20,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,10.0,un,8.2
UHU,STIC EN BARRA X40GR PASTEL,S/ 13.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,40.0,g,13.9
OFISCOOL,Set X 6 Lapices Pastel,S/ 5.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,l,5.9
COLOMBINA,Pasteles Navideños x 90 g,S/ 10.60,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,90.0,g,10.6
STABILO,LAPIZ SWANO PASTEL X 6UN,S/ 12.40,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,12.4
STABILO,LAPICERO LINER PASTEL X 6UN,S/ 10.40,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,10.4
UHU,STIC en barra x 21g pastel,S/ 8.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,21.0,g,8.9
FABER CASTELL,TEMPERA PASTEL ESTUCHE 6 COLORES X30ML,S/ 9.50,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,30.0,ml,9.5
ARTI CREATIVO,NILO PLAST PASTEL 20GRX12 + 4 CORTAD,S/ 9.50,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,20.0,g,9.5
OFISCOOL,PR Ofis23 Set x5un Resaltadores Pastel,S/ 9.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,5.0,un,9.9
SHARPIE,Resaltador Note Pastel 12 Unidades,S/ 35.30,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,12.0,un,35.3
CASA JOVEN,Tetera Inoxidable 3.2 L Celeste Pastel,S/ 49.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,3.2,l,49.9
FABER CASTELL,MULTIMARK SHAKE Y PAINT PASTEL CTN X6UN,S/ 39.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,39.9
