brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
2 BANDERAS,Aderezo para Pavo 300 g,S/ 8.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,300.0,g,8.9
BRAEDT,Jamón de Pavo 200 gr,S/ 12.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,200.0,g,12.9
,Enrollado Delizia de Pavo San Fernando 1 kg,S/ 49.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,1.0,kg,49.9
PIKI,Aderezo para Pavo 350 g,S/ 9.30,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,350.0,g,9.3
SAN FERNANDO,Milanesa de Pavo Apanada 415 g,S/ 17.80,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,415.0,g,17.8
RICOCAT,Filetitos Pavo Adulto 190 gr,S/ 4.50,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,190.0,g,4.5
,Enrollado Americano de Pavo San Fernando 1.3 kg,S/ 49.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,1.3,kg,49.9
NATURAL HOME,Hamburguesas Pavo 12 unds 600 g,S/ 15.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,12.0,un,15.9
FANCY FEAST,Comida para gatos Goulash de pavo de 85 g,S/ 5.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,85.0,g,5.9
RICOCAT,Filetitos Sabor Pavo Adulto Pouch 85 g,S/ 2.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,85.0,g,2.9
FELIX,Comida Húmeda para gatos Adultos Sabor Pavo 156 g,S/ 5.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,156.0,g,5.9
RICOCAT,Paté para gatos Adultos Sabor Hígado y Pavo 330 g,S/ 6.50,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,330.0,g,6.5
REDONDOS,Enrollado de Pollo Cordon Bleu 1.3 kg,S/ 35.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,1.3,kg,35.9
REDONDOS,MILANESA DE POLLO X 1 KG,S/ 29.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,1.0,kg,29.9
REDONDOS,ALITAS BUFFALO WINGS X 400G,S/ 13.50,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,400.0,g,13.5
AVINKA,Nuggets De Pollo 270gr,S/ 8.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,270.0,g,8.9
SAN FERNANDO,Nuggets De Pollo 900 g (60 unidades),S/ 24.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,900.0,g,24.9
OREGON FOODS,MINI BURGERS RES X600G 12UN,S/ 24.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,600.0,g,24.9
