brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
GLORIA,YOG PARC DES 1.7KG FRESA C PLATANO,S/ 8.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,1.7,kg,8.9
GLORIA,YOG PARC DESC 1KG FRESA C PLATANO,S/ 5.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,1.0,kg,5.9
GENERICO,Harina de plátano 250 g,S/ 12.30,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,250.0,g,12.3
DYFFERENT,Granola Coco Plátano 250 g,S/ 18.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,250.0,g,18.9
ARTICHAY,Plátano Frito Sabor Cabanossi 210 g,S/ 16.50,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,210.0,g,16.5
NATURAL HOME,Yogy Fresas y Plátano 4 unds 100 g,S/ 24.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,4.0,un,24.9
,Chocolate Plátano 80% Cacao Quma 70 g,S/ 19.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,70.0,g,19.9
ARTICHAY,Plátano Frito Sabor Salsa Acevichado 210 g,S/ 16.50,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,210.0,g,16.5
NIVEA,Desodorante Black & White Toque Seda Spray 150 mL,S/ 14.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,150.0,ml,14.9
,Snacks para Perros Sabor Plátano y Pollo Pet Care 70 g,S/ 10.50,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,70.0,g,10.5
KONZIL,SHAMPOO SEDA LIQ COM VIT 12 650ML,S/ 24,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,650.0,ml,24.0
,Shampoo Muss Baby Romero Seda 400 mL,S/ 18.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,400.0,ml,18.9
,Shampoo Savital Anticaspa Te Verde Seda Sabila 510 mL,S/ 11.50,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,510.0,ml,11.5
KONZIL,Shampoo Seda Liquida Con Vitamina 12 340 ml,S/ 14,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,340.0,ml,14.0
NIVEA,Desodorante Black & White Toque Seda Roll-On 50 mL,S/ 14.90,tottus,PLÁTANO DE SEDA,2024-12-04 13:29:52.117284,50.0,ml,14.9
