brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
ACT II,Pop Corn con Mantequilla Act Li 80 g,S/ 5,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,80.0,g,5.0
COSTENO,Maíz Pop Corn Costeño 500 g,S/ 4.80,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,500.0,g,4.8
ACT II,Pop Corn con Mantequilla Act Li 3 Unidades,S/ 14.90,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,3.0,un,14.9
TOTTUS,Maiz Pop Corn 500 g,S/ 4.64,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,500.0,g,4.64
TOTTUS,Maíz Pop Corn de 1 kg,S/ 7.42,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,1.0,kg,7.42
AVINKA,Pop Corn Chicken 350 gr,S/ 13.70,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,350.0,g,13.7
TESORO DEL CAMPO,Maíz Pop Corn 500 g,S/ 5,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,500.0,g,5.0
ACT II,Pop Corn Butter Lovers Act Li 3 Unidades,S/ 14.90,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,3.0,un,14.9
TESORO DEL CAMPO,Maíz Pop Corn x 350 g,S/ 3.65,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,350.0,g,3.65
TOTTUS,Chifle Norteño Con Canchita Milys 500 g,S/ 16.90,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,500.0,g,16.9
FIBERLIGHT,Bocaditos Salvado con Orégano Fibralight 200 g,S/ 9.80,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,200.0,g,9.8
ACT II,Popcorn con mantequilla extra Act Li 80 g,S/ 5,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,80.0,g,5.0
