brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
San Mateo,Agua SAN MATEO Sin Gas Botella 600ml,S/ 22.50,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,600.0,ml,22.5
San Carlos,Agua SAN CARLOS Sin Gas Botella 500ml Paquete 20u,,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,500.0,ml,
San Mateo,Agua SAN MATEO Sin Gas Paquete 6 Botella 2.5L,S/ 17.70 8%,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,2.5,l,17.7
San Luis,Agua sin Gas SAN LUIS Sabor a Piña y Kion Botella 625ml Paquete 6un,,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,625.0,ml,
San Mateo,Agua SAN MATEO Con Gas Paquete 15u Botella 600ml,,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,600.0,ml,
San Carlos,Agua SAN CARLOS Sin Gas Caja 20 Lt,S/ 19.00,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,20.0,l,19.0
San Mateo,Agua SAN MATEO sin Gas Bidón 7L,S/ 8.90,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,7.0,l,8.9
San Carlos,Agua SAN CARLOS sin Gas Botella 3L,S/ 3.00,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,3.0,l,3.0
San Carlos,Agua SAN CARLOS sin Gas Botella 500ml,S/ 1.20,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,500.0,ml,1.2
San Luis,Agua SAN LUIS con Gas Botella 625ml,S/ 1.60,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,625.0,ml,1.6
San Mateo,Agua SAN MATEO con Gas Botella 600ml,S/ 1.80,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,600.0,ml,1.8
San Luis,Agua SAN LUIS Sin Gas Botella 750ml,S/ 1.60,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,750.0,ml,1.6
San Mateo,Agua SAN MATEO sin Gas Botella 600ml,S/ 1.80,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,600.0,ml,1.8
San Mateo,Agua SAN MATEO sin Gas Botella 2.5L,S/ 3.40,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,2.5,l,3.4
San Luis,Agua Sin Gas SAN LUIS Sabor Piña y Kión Botella 625ml x 2u,,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,625.0,ml,
Cielo,Agua CIELO sin Gas Botella 625ml Pack 15u,S/ 12.00 33%,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,625.0,ml,12.0
Cielo,Agua CIELO sin Gas Botella 2.5L Pack 6u,,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,2.5,l,
Pura Vida,Agua PURA VIDA sin Gas Botella 3L Paquete 4u,S/ 8.50 27%,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,3.0,l,8.5
Cielo,Agua CIELO en Caja Botella 20L,S/ 23.90,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,20.0,l,23.9
Loa,Agua Sin Gas LOA Botella 625 ml,S/ 1.30,vega,AGUA MINERAL SIN GAS,2024-12-04 14:47:15.217892,625.0,ml,1.3
