brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Gran Chalan,Arroz Extra GRAN CHALAN Bolsa 5 kg,S/ 24.90 4%,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,24.9
Faraon,Arroz Extra FARAON Bolsa 5Kg,S/ 26.20 4%,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,26.2
Costeño,Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,750.0,g,4.7
Faraon,Arroz Extra FARAON Bolsa 750g,S/ 5.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,750.0,g,5.0
Costeño,Arroz Superior COSTEÑO Bolsa 750g,S/ 4.20,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,750.0,g,4.2
Vega,Arroz Superior VEGA Bolsa 750g,S/ 3.70,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,750.0,g,3.7
Costeño,Arroz Superior COSTEÑO Bolsa 5Kg,S/ 24.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,24.5
Veguita,Arroz Extra VEGA Pacasmayo Saco 10Kg,S/ 45.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,10.0,kg,45.0
Timonel,Arroz Superior TIMONEL Bolsa 1Kg,S/ 4.80,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,1.0,kg,4.8
Vega,Arroz Economico VEGA Bolsa 5Kg,S/ 19.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,19.5
Vega,Arroz Superior VEGA Bolsa 5Kg,S/ 22.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,22.5
Vega,Arroz VEGA Familiar 10 Kg,S/ 36.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,10.0,kg,36.0
Vega,Arroz Extra VEGA Bolsa 5Kg,S/ 23.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,23.5
Vega,Arroz Extra VEGA Bolsa 750g,S/ 3.90,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,750.0,g,3.9
Paisana,Arroz Extra PAISANA Bolsa 5Kg,S/ 25.60,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,25.6
Timonel,Arroz Superior TIMONEL Bolsa 5Kg,S/ 24.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,24.0
Gran Chalan,Arroz Superior GRAN CHALAN Bolsa 5 kg,S/ 24.90,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,24.9
Timonel,Arroz Extra TIMONEL Importado Bolsa 5Kg,S/ 27.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,27.5
Faraon,Arroz Superior FARAON Bolsa 5Kg,S/ 26.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,5.0,kg,26.5
Timonel,Arroz Extra TIMONEL Importado Bolsa 750g,S/ 4.60,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046,750.0,g,4.6
