brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Grano De Oro,Avena GRANO DE ORO Bolsa 1kg,S/ 10.50,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,1.0,kg,10.5
Grano De Oro,Avena GRANO DE ORO con Quinua en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,170.0,g,2.9
Grano De Oro,Avena GRANO DE ORO Bolsa 370gr,S/ 4.00,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,370.0,g,4.0
Grano De Oro,Avena GRANO DE ORO Bolsa 10kg,S/ 69.40,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,10.0,kg,69.4
Grano De Oro,Avena GRANO DE ORO Hojuelas Gruesa Bolsa 900gr,S/ 16.80,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,900.0,g,16.8
Grano De Oro,Avena GRANO DE ORO con Quinua en Bolsa 370gr,S/ 4.80,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,370.0,g,4.8
Grano De Oro,Avena GRANO DE ORO Hojuelas Gruesa Bolsa 5kg,S/ 36.70,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,5.0,kg,36.7
Grano De Oro,Avena GRANO DE ORO con Maca en Bolsa 370gr,S/ 4.80,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,370.0,g,4.8
Grano De Oro,Avena GRANO DE ORO Bolsa 5kg,S/ 34.90,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,5.0,kg,34.9
Grano De Oro,Avena GRANO DE ORO con Kiwicha en Bolsa 370gr,S/ 4.80,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,370.0,g,4.8
Grano De Oro,Avena GRANO DE ORO con Kiwicha en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,170.0,g,2.9
Grano De Oro,Avena GRANO DE ORO con Maca en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,170.0,g,2.9
Grano De Oro,Avena GRANO DE ORO con Chia en Bolsa 170gr,S/ 2.90,vega,AVENA A GRANEL,2024-12-04 13:05:26.072870,170.0,g,2.9
