brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Sporade,Bebida Rehidratante SPORADE Tropical Botella 1.5lt Paquete 6u,S/ 23.50 29%,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,1.5,l,23.5
Gatorade,Bebida Rehidratante GATORADE Tropical Fruit Pack 12un Botella 500ml,S/ 30.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,12.0,un,30.0
Sporade,Bebida Rehidratante SPORADE Uva Botella 500ml x 2u,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,500.0,ml,
SUEROX,Bebida Rehidratante SUEROX Sabor a Mandarina Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,630.0,ml,78.0
Gatorade,Bebida Rehidratante GATORADE Blue Pack 12un Botella 500ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,12.0,un,
Gatorade,Bebida Rehidratante GATORADE Apple Ice Pack 12un Botella 500ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,12.0,un,
Volt,Bebida Energizante VOLT Gingseng Sin Azúcar Paquete 12u Botella 300ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,300.0,ml,
MONSTER,Bebida Energizante MONSTER Mango Loco Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,473.0,ml,15.0
MONSTER,Bebida Energizante MONSTER Zero Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,473.0,ml,15.0
MONSTER,Bebida Energizante MONSTER Ultra Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,473.0,ml,15.0
MONSTER,Bebida Energizante MONSTER Lata 473ml x 2u,S/ 15.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,473.0,ml,15.0
Sporade,Bebida Rehidratante SPORADE Tropical Botella 500ml,S/ 2.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,500.0,ml,2.0
SUEROX,Bebida Rehidratante SUEROX Sabor a Fresa y Kiwi Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,630.0,ml,78.0
SUEROX,Bebida Rehidratante SUEROX Sabor a Mora Azul Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,630.0,ml,78.0
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml x 12u,S/ 78.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,630.0,ml,78.0
FOUR LOKO,Bebida Alcohólica FOUR LOKO Sabor Purple Lata 473ml,S/ 10.90,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,473.0,ml,10.9
Powerade,Bebida Rehidratante POWERADE Frutas Botella 500ml,,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,500.0,ml,
Gatorade,Bebida Rehidratante GATORADE Tropical Fruit Botella 500ml,S/ 2.50,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,500.0,ml,2.5
MONSTER,Bebida Energizante MONSTER Zero Lata 473ml,S/ 8.00,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,473.0,ml,8.0
Gatorade,Bebida Rehidratante GATORADE Blue Botella 500ml,S/ 2.50,vega,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:48:24.330496,500.0,ml,2.5
