brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Universal,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.50 8%,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.50 8%,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.50 8%,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,S/ 3.50 8%,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.50 8%,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,130.0,g,3.5
UMSHA,Gelatina UMSHA Sabor a Fresa Bolsa 120g,S/ 3.20,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,120.0,g,3.2
UMSHA,Gelatina UMSHA Sabor Piña Bolsa 120g,S/ 3.20,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,120.0,g,3.2
UMSHA,Gelatina UMSHA Sabor Limón Bolsa 120g,S/ 3.20,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,120.0,g,3.2
UMSHA,Gelatina UMSHA Sabor Naranja Bolsa 120g,S/ 3.20,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,120.0,g,3.2
Royal,Gelatina ROYAL Sabor a Cereza Bolsa 160gr,S/ 5.00,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,160.0,g,5.0
Timonel,Gelatina TIMONEL Sabor a Naranja Bolsa 150gr,S/ 3.50,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,150.0,g,3.5
Royal,Gelatina ROYAL Sabor a Fresa Bolsa 160gr,S/ 5.00,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,160.0,g,5.0
Timonel,Gelatina TIMONEL Sabor a Fresa Bolsa 150gr,S/ 3.50,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,150.0,g,3.5
Royal,Gelatina ROYAL Sabor a Naranja Bolsa 160gr,S/ 5.00,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,160.0,g,5.0
Timonel,Gelatina TIMONEL Sabor a Piña Bolsa 150gr,S/ 3.50,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,150.0,g,3.5
Universal,Flan UNIVERSAL Sabor a Vainilla Bolsa 150gr,S/ 3.30,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,150.0,g,3.3
Universal,Mazamorra Morada UNIVERSAL Bolsa 150gr,S/ 2.50,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,150.0,g,2.5
Universal,Pudin UNIVERSAL sabor a Chocolate Bolsa 100gr,S/ 2.50,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,100.0,g,2.5
Universal,Pudin UNIVERSAL sabor a Vainilla Bolsa 100gr,S/ 2.50,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,100.0,g,2.5
UMSHA,Flan UMSHA Sabor a Flan Bolsa 90gr,S/ 2.30,vega,GELATINA (PARA PREPARAR),2024-12-04 14:39:24.535515,90.0,g,2.3
