brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Universal,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,130.0,g,3.5
Universal,Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,130.0,g,3.5
Fanta,Gaseosa FANTA Naranja 500ml Paquete 12u,S/ 26.40,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,500.0,ml,26.4
Inca Kola,Gaseosa INCA KOLA Botella 3L Paquete 4u,S/ 39.80 11%,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.0,l,39.8
Coca Cola,Gaseosa COCA COLA Botella 3L Paquete 4u,,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.0,l,
Big Cola,Gaseosa BIG COLA Botella 1.035L x 6u,S/ 19.20,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,1.035,l,19.2
Guarana,Gaseosa GUARANÁ Botella 3.010L Pack 4u,S/ 26.20 13%,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.01,l,26.2
Oro,Gaseosa BIG COLA Botella 3.03L Paquete 6un,S/ 41.40,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.03,l,41.4
Oro,Gaseosa ORO Botella 3.03L x 6u,,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.03,l,
Sprite,Gaseosa SPRITE Botella 3L,S/ 6.90,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.0,l,6.9
Universal,Flan UNIVERSAL Sabor a Vainilla Bolsa 150gr,S/ 3.30,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,150.0,g,3.3
Fanta,Gaseosa FANTA Botella 3L,S/ 6.90,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.0,l,6.9
Bonle,Mezcla Láctea BONLE Familiar Caja 480g Paquete 6u,S/ 23.40,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,480.0,g,23.4
Universal,Pudin UNIVERSAL sabor a Chocolate Bolsa 100gr,S/ 2.50,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,100.0,g,2.5
Fanta,Gaseosa FANTA KOLA INGLESA Botella 3L,S/ 6.90,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,3.0,l,6.9
Field,Galleta Vainilla FIELD Familiar Paquete 147gr,S/ 2.50,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,147.0,g,2.5
Vega,Arroz VEGA Familiar 10 Kg,S/ 36.00,vega,HELADO FAMILIAR,2024-12-04 14:29:04.325622,10.0,kg,36.0
