brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Sapolio,Lavavajilla Líquido SAPOLIO Manzana Botella 750 ml,S/ 8.90 3%,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,750.0,ml,8.9
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,70.0,un,9.0
Gn,Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete 8 un,S/ 5.00,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,8.0,un,5.0
Suavitel,Suavizante SUAVITEL Frescura de Manzana Doypack 180ml,S/ 2.20,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,180.0,ml,2.2
Clorandina,Lavavajilla en Pasta CLORANDINA Manzana Pote 1000gr,S/ 6.30,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,1000.0,g,6.3
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml x 12u,S/ 78.00,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,630.0,ml,78.0
Glade,Aromantizante en Spray GLADE 5 en 1 Manzana y Canela Frasco 400ml,S/ 9.90,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,400.0,ml,9.9
Santa Catalina,Avena con Manzana SANTA CATALINA Bolsa 150g,S/ 4.10,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,150.0,g,4.1
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml,S/ 6.50,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,630.0,ml,6.5
Vclean,Limpiador VCLEAN Manzana y Canela Botella 900ml,S/ 3.20,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,900.0,ml,3.2
Suavitel,Suavizante SUAVITEL Frescura de Manzana Botella 970ml,S/ 12.50,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,970.0,ml,12.5
Universal,Maizena UNIVERSAL Bolsa 180gr,S/ 3.00,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,180.0,g,3.0
Duryea,Maizena DURYEA Caja 100gr,S/ 2.90,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,100.0,g,2.9
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,1.0,kg,8.5
Duryea,Mizena DURYEA Caja 500gr,S/ 8.90 10%,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,500.0,g,8.9
Blanca Flor,Harina BLANCA FLOR Preparada Paquete 1Kg,S/ 8.00,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,1.0,kg,8.0
Benoti,Harina BENOTI Preparada Paquete 1Kg,S/ 6.00,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,1.0,kg,6.0
Universal,Chuño UNIVERSAL Bolsa 180gr,S/ 3.30,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,180.0,g,3.3
Benoti,Harina BENOTI Sin Preparar Paquete 1Kg,S/ 5.30,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,1.0,kg,5.3
Molitalia,Harina MOLITALIA Preparada Bolsa 1kg,S/ 6.90,vega,MANZANA CORRIENTE,2024-12-04 13:53:40.404950,1.0,kg,6.9
