brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Timonel,Mermelada TIMONEL Fresa Frasco 1Kg,S/ 11.50 6%,vega,MERMELADA,2024-12-04 14:25:30.535812,1.0,kg,11.5
Timonel,Mermelada TIMONEL Fresa Pote 320g,S/ 5.50 5%,vega,MERMELADA,2024-12-04 14:25:30.535812,320.0,g,5.5
Gloria,Mermelada GLORIA Fresa Barril 950g,S/ 13.50 5%,vega,MERMELADA,2024-12-04 14:25:30.535812,950.0,g,13.5
Timonel,Mermelada TIMONEL Fresa Vaso 320gr,S/ 5.20 4%,vega,MERMELADA,2024-12-04 14:25:30.535812,320.0,g,5.2
Fanny,Mermelada FANNY Sabor a Fresa Vaso 290gr,S/ 6.20,vega,MERMELADA,2024-12-04 14:25:30.535812,290.0,g,6.2
Timonel,Mermelada TIMONEL Fresa Vaso 320gr Caja 12u,S/ 56.40,vega,MERMELADA,2024-12-04 14:25:30.535812,320.0,g,56.4
Gloria,Mermelada GLORIA Fresa Pote 310g,S/ 6.80,vega,MERMELADA,2024-12-04 14:25:30.535812,310.0,g,6.8
Gloria,Mermelada GLORIA Fresa Vaso 290g,S/ 6.50,vega,MERMELADA,2024-12-04 14:25:30.535812,290.0,g,6.5
Timonel,Mermelada TIMONEL Fresa Pote 320g Pack 3u,S/ 15.00,vega,MERMELADA,2024-12-04 14:25:30.535812,320.0,g,15.0
Gloria,Mermelada GLORIA Fresa Doypack 700g,S/ 11.70,vega,MERMELADA,2024-12-04 14:25:30.535812,700.0,g,11.7
Timonel,Mermelada TIMONEL Fresa Frasco 1Kg Pack 3u,S/ 34.50,vega,MERMELADA,2024-12-04 14:25:30.535812,1.0,kg,34.5
Vega,Miel de abeja VEGA Frasco 500gr,S/ 20.00 13%,vega,MERMELADA,2024-12-04 14:25:30.535812,500.0,g,20.0
Vega,Miel de Abeja VEGA Frasco 250g,S/ 12.90 6%,vega,MERMELADA,2024-12-04 14:25:30.535812,250.0,g,12.9
