brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,PAN CARACOL,2024-12-04 13:06:45.386092,1.0,kg,8.5
Vega,Fideos Caracol Rayado VEGA Bolsa 250gr,S/ 1.50,vega,PAN CARACOL,2024-12-04 13:06:45.386092,250.0,g,1.5
Molitalia,Fideo MOLITALIA Caracol Chico Bolsa 235g,S/ 2.10,vega,PAN CARACOL,2024-12-04 13:06:45.386092,235.0,g,2.1
Vega,Fideos Caracol Rayado VEGA Bolsa 250g x6u,S/ 9.00,vega,PAN CARACOL,2024-12-04 13:06:45.386092,250.0,g,9.0
Grano De Oro,Fideos Caracol Rayado GRANO DOE ORO Bolsa 250g,S/ 1.60,vega,PAN CARACOL,2024-12-04 13:06:45.386092,250.0,g,1.6
Benoti,Fideos Caracol Rayado BENOTI Bolsa 250g,S/ 1.60,vega,PAN CARACOL,2024-12-04 13:06:45.386092,250.0,g,1.6
San Jorge,Galletas Navideñas COLOMBINA Navidad Bolsa 150g,S/ 4.20 7%,vega,PAN CARACOL,2024-12-04 13:06:45.386092,150.0,g,4.2
San Fernando,Vale de Pavo SAN FERNANDO 7kg,S/ 105.90,vega,PAN CARACOL,2024-12-04 13:06:45.386092,7.0,kg,105.9
San Mateo,Agua SAN MATEO Sin Gas Botella 600ml,S/ 22.50,vega,PAN CARACOL,2024-12-04 13:06:45.386092,600.0,ml,22.5
San Carlos,Agua SAN CARLOS Sin Gas Botella 500ml Paquete 20u,,vega,PAN CARACOL,2024-12-04 13:06:45.386092,500.0,ml,
San Jorge,Galletas SAN JORGE Coconut Paquete 55g x 2u,S/ 2.00,vega,PAN CARACOL,2024-12-04 13:06:45.386092,55.0,g,2.0
San Mateo,Agua SAN MATEO Sin Gas Paquete 6 Botella 2.5L,S/ 17.70 8%,vega,PAN CARACOL,2024-12-04 13:06:45.386092,2.5,l,17.7
San Luis,Agua sin Gas SAN LUIS Sabor a Piña y Kion Botella 625ml Paquete 6un,,vega,PAN CARACOL,2024-12-04 13:06:45.386092,625.0,ml,
San Mateo,Agua SAN MATEO Con Gas Paquete 15u Botella 600ml,,vega,PAN CARACOL,2024-12-04 13:06:45.386092,600.0,ml,
San Jorge,Galleta SAN JORGE Soda Paquete 7un,S/ 4.80,vega,PAN CARACOL,2024-12-04 13:06:45.386092,7.0,un,4.8
San Carlos,Agua SAN CARLOS Sin Gas Caja 20 Lt,S/ 19.00,vega,PAN CARACOL,2024-12-04 13:06:45.386092,20.0,l,19.0
Nan,Fórmula Láctea Liquida NAN 2 Bebés Lata 390g,S/ 6.10,vega,PAN CARACOL,2024-12-04 13:06:45.386092,390.0,g,6.1
San Jorge,Galleta SAN JORGE Soda Gourmet 250gr,S/ 3.70,vega,PAN CARACOL,2024-12-04 13:06:45.386092,250.0,g,3.7
San Jorge,Galletas SAN JORGE Vainilla Gourmet Paquete 250g,S/ 3.80,vega,PAN CARACOL,2024-12-04 13:06:45.386092,250.0,g,3.8
San Jorge,Galleta SAN JORGE Vainilla Familiar Paquete 120gr,S/ 1.70,vega,PAN CARACOL,2024-12-04 13:06:45.386092,120.0,g,1.7
