brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Cusqueña,Cerveza CUSQUEÑA Malta Pack 6 Botella 310ml,S/ 22.50 2%,vega,UVA NEGRA,2024-12-04 13:58:53.119539,310.0,ml,22.5
Sporade,Bebida Rehidratante SPORADE Uva Botella 500ml x 2u,,vega,UVA NEGRA,2024-12-04 13:58:53.119539,500.0,ml,
Cusqueña,Cerveza CUSQUEÑA Malta Pack 6 Lata 355ml,S/ 22.90,vega,UVA NEGRA,2024-12-04 13:58:53.119539,6.0,l,22.9
Clorandina,Lavavajilla en Pasta CLORANDINA Uva Pote 1000gr,S/ 6.30,vega,UVA NEGRA,2024-12-04 13:58:53.119539,1000.0,g,6.3
Vega,Pimienta Negra VEGA Molida Sobre 85g,S/ 0.90,vega,UVA NEGRA,2024-12-04 13:58:53.119539,85.0,g,0.9
Kariño,Pimienta Negra Molida KARIÑO Sobre 5g,S/ 0.70,vega,UVA NEGRA,2024-12-04 13:58:53.119539,5.0,g,0.7
Vega,Pimienta Negra Molida VEGA Pote 50gr,S/ 6.50,vega,UVA NEGRA,2024-12-04 13:58:53.119539,50.0,g,6.5
Fini,Gomas FINI Regaliz Uva Ácida Bolsa 80gr,S/ 4.20,vega,UVA NEGRA,2024-12-04 13:58:53.119539,80.0,g,4.2
Paracas,Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete 4un 6 pack,S/ 37.29 17%,vega,UVA NEGRA,2024-12-04 13:58:53.119539,4.0,un,37.29
Paracas,Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete 4un,S/ 7.90,vega,UVA NEGRA,2024-12-04 13:58:53.119539,4.0,un,7.9
Don Vittorio,Salsa Roja DON VITTORIO Doypack 200g,S/ 4.20,vega,UVA NEGRA,2024-12-04 13:58:53.119539,200.0,g,4.2
Don Vittorio,Salsa Roja DON VITTORIO Doypack 400g,S/ 6.80,vega,UVA NEGRA,2024-12-04 13:58:53.119539,400.0,g,6.8
Del Valle,Infusiones DEL VALLE Uña de Gato Caja 100 un,S/ 8.90,vega,UVA NEGRA,2024-12-04 13:58:53.119539,100.0,un,8.9
