description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Aderezo PIKI para Pavo Doypack 350g,PIKI,S/ 11.20,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,350.0,g,11.2
Aderezo Casero EL OLIVAR Doypack 200g,EL OLIVAR,S/ 8.00,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,200.0,g,8.0
Aderezo Listo para Cocinar TOQUE GOURMET Base Amarilla Doypack 500g,TOQUE GOURMET,S/ 18.00,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,500.0,g,18.0
Aderezo Criollo 2 BANDERAS Bolsa 90g,2BANDERAS,S/ 3.49,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,90.0,g,3.49
Aderezo Listo para Cocinar TOQUE GOURMET Base Verde Doypack 500g,TOQUE GOURMET,S/ 18.00,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,500.0,g,18.0
Aderezo para Pollo a la Brasa 2 BANDERAS Doypack 300g,2BANDERAS,S/ 9.90,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,300.0,g,9.9
Aderezo de Pollo PIKI Doypack 350g,PIKI,S/ 11.50,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,350.0,g,11.5
Aderezo para Carne de Cerdo PIKI Doypack 350gr,PIKI,S/ 9.70,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,350.0,g,9.7
Aderezo PIKI para Res Doypack 350g,PIKI,S/ 9.70,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,350.0,g,9.7
Aderezo para Pavo 2 BANDERAS Doypack 300g,2BANDERAS,S/ 8.90,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,300.0,g,8.9
Aderezo tipo Oriental 2 BANDERAS con Soya y Especias Bolsa 85g,ANTONIO BANDERAS,S/ 3.80,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,85.0,g,3.8
Aderezo para Pachamanca 2 BANDERAS Doypack 300g,2BANDERAS,S/ 9.90,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,300.0,g,9.9
Aderezo para Lechón 2 BANDERAS Empaque 300g,2BANDERAS,S/ 8.79,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,300.0,g,8.79
Salsa de Tomate BELL'S para Aderezo Doypack 160g,BELL'S,S/ 1.30,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,160.0,g,1.3
Piernas y Muslos Aderezo Criollo REDONDOS Bolsa 780g,REDONDOS,S/ 17.40,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,780.0,g,17.4
Piernas y Muslos Aderezo Oriental REDONDOS Bolsa 780g,REDONDOS,S/ 16.50,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,780.0,g,16.5
Piernas y Muslos Aderezo Pachamanca REDONDOS Bolsa 780g,REDONDOS,S/ 16.50,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,780.0,g,16.5
Pollo Entero Aderezo Leña REDONDOS Paquete 1Kg,REDONDOS,S/ 20.30,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,1.0,kg,20.3
Piernas y Muslos Aderezo Estofado REDONDOS Bolsa 780g,REDONDOS,S/ 16.50,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,780.0,g,16.5
Crema para Peinar HERBAL ESSENCES Bio:Renew Pequi & Aguacate Nutre e Hidrata Frasco 300ml,HERBAL ESSENCES,S/ 28.90,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,300.0,ml,28.9
Mascarilla Nutritiva HERBAL ESSENCES Bio:Renew Pequi & Aguacate Nutre e Hidrata Frasco 300ml,HERBAL ESSENCES,S/ 33.90,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,300.0,ml,33.9
Acondicionador HERBAL ESSENCES Bio:Renew Pequi & Aguacate Nutre e Hidrata Frasco 250ml,HERBAL ESSENCES,S/ 33.90,vivanda,ADEREZOS HIDRATADOS,2024-12-04 18:12:34.558911,250.0,ml,33.9
