description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Caramelos AMBROSOLI Blando de leche Bolsa 620Gr,AMBROSOLI,S/ 16.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,620.0,g,16.9
Caramelos MENTOS Menta Bolsa 29.04g,MENTOS,S/ 2.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,29.04,g,2.0
Caramelos ARCOR Limón Bolsa 100Un,ARCOR,S/ 9.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,100.0,un,9.9
Caramelos ARCOR Chicha morada Bolsa 360Gr,ARCOR,S/ 9.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,360.0,g,9.9
Caramelos TIC TAC Menta Intensa Envase 16g,TIC TAC,S/ 2.60,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,16.0,g,2.6
Caramelos Masticables MENTOS Limón Paquete 29.04g,MENTOS,S/ 2.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,29.04,g,2.0
Caramelos HALLS Fruit Mix Caja 12un,HALLS,S/ 24.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,12.0,un,24.0
Caramelos AMBROSOLI Gajo frutas Bolsa 100Un,AMBROSOLI,S/ 8.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,100.0,un,8.0
Caramelos de Chicha Morada BELL'S Bolsa 250g,BELL'S,S/ 4.50,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,250.0,g,4.5
Caramelos MENTOS Kiss menta Lata 35Gr,MENTOS,S/ 11.20,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,35.0,g,11.2
Caramelos Masticables AMBROSOLI Trifruna Manzana Fresa y Durazno Bolsa 420g,AMBROSOLI,S/ 9.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,420.0,g,9.9
Caramelos HALLS Cereaza Lyptus Caja 12un,HALLS,S/ 24.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,12.0,un,24.0
Caramelos de Limón BELL'S Bolsa 250g,BELL'S,S/ 4.50,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,250.0,g,4.5
Caramelos MENTOS Air Action Bolsa 29.04g,MENTOS,S/ 2.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,29.04,g,2.0
Caramelos Banderitas AMBROSOLI Bolsa 280g,AMBROSOLI,S/ 5.50,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,280.0,g,5.5
Caramelo PUSH POP Surtido Barra 15g,TOPS,S/ 4.70,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,15.0,g,4.7
Caramelos Ring Pop TOPPS Surtidos Unidad 14g,TOPPS,S/ 2.40,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,14.0,g,2.4
Caramelos BUBBALOO Sparkies Bolsa 25g,BUBBALOO,S/ 1.50,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,25.0,g,1.5
Caramelos MENTOS Kiss Fresa Lata 35g,MENTOS,S/ 11.20,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,35.0,g,11.2
Caramelos HALLS Mora Azul Lyptus Caja 12un,HALLS,S/ 24.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,12.0,un,24.0
Caramelos TIC TAC Naranja Envase 16g,TIC TAC,S/ 3.10,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,16.0,g,3.1
Caramelos TIC TAC Menta Envase 16g,TIC TAC,S/ 3.10,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,16.0,g,3.1
Caramelos MENTOS Fruta Bolsa 29.04g,MENTOS,S/ 2.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,29.04,g,2.0
Café COLCAFÉ Capuccino Caramelo Caja 6un,COLCAFE,S/ 15.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,6.0,un,15.0
Chocolate CHOCOFUN Caramelo Bolsa 216g,CHOCOFUN,S/ 7.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,216.0,g,7.9
Sirope Sabor a Caramelo SPITZE Frasco 480g,SPITZE,S/ 11.50,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,480.0,g,11.5
Helado HÄAGEN DAZS de Vainilla Caramelo y Brownie Pote 473ml,HÄAGEN DAZS,S/ 29.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,473.0,ml,29.9
Helado D'ONOFRIO Frio Rico Crocante Caramelo y Sal de Maras Pote 900ml,D'ONOFRIO,S/ 24.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,900.0,ml,24.9
Sazonador Pop Corn BELL'S Sabor a Caramelo Frasco 65g,BELL'S,S/ 10.30,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,65.0,g,10.3
Peccanroll HELENA Caramelo Crunch Caja 100g,HELENA,S/ 17.00,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,100.0,g,17.0
Tinte para Cabello L'ORÉAL Casting Creme Gloss 630 Caramelo Caja 1un,CASTING,S/ 32.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,1.0,un,32.9
Chocolate CHOCOFUN Galleta y Caramelo Bolsa 210g,CHOCOFUN,S/ 6.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,210.0,g,6.9
Chocolate CHOCOFUN Caramelo Barra 216g,CHOCOFUN,S/ 7.90,vivanda,CARAMELOS,2024-12-04 18:06:31.892825,216.0,g,7.9
