description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Gelatina UNIVERSAL Sabor a Fresa Caja 19g,UNIVERSAL,S/ 3.70,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,19.0,g,3.7
Gelatina UNIVERSAL Sabor a Piña Caja 19g,UNIVERSAL,S/ 3.70,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,19.0,g,3.7
Gelatina UNIVERSAL Fresa con Stevia Bolsa 19g,UNIVERSAL,S/ 5.20,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,19.0,g,5.2
Gelatina UNIVERSAL Sabor a Naranja sin Azúcar Caja 19g,UNIVERSAL,S/ 3.70,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,19.0,g,3.7
Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,130.0,g,3.99
Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,130.0,g,3.99
Gelatina ROYAL Sabor a Fresa Bolsa 160g,ROYAL,S/ 5.00,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,160.0,g,5.0
Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,130.0,g,3.99
Gelatina ROYAL Sabor Naranja Bolsa 160g,ROYAL,S/ 5.20,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,160.0,g,5.2
Gelatina UNIVERSAL Sabor a Uva Bolsa 130g,UNIVERSAL,S/ 3.99,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,130.0,g,3.99
Gelatina UMSHA Sabor a Limón Bolsa 120g,UMSHA,S/ 3.70,vivanda,GELATINA (PARA PREPARAR),2024-12-04 18:13:49.012742,120.0,g,3.7
