description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Leche Fresca DANLAC Botella 900ml,DANLAC,S/ 7.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,7.6
Leche UHT sin Lactosa GLORIA Zero Caja 1L Paquete 3un,GLORIA,S/ 15.90,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,1.0,l,15.9
Leche UHT GLORIA Light Pack 3un x 1L,GLORIA,S/ 17.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,3.0,un,17.4
Leche Light GLORIA Lata 390g Paquete 6un,GLORIA,S/ 24.80,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,24.8
Leche UHT GLORIA Entera Pack 3un x 1L,GLORIA,S/ 16.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,3.0,un,16.6
Leche Descremada GLORIA Slim UHT Triple Zero Caja 1L Paquete 3un,GLORIA,S/ 17.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,1.0,l,17.4
Leche Reconstituida Entera GLORIA Lata 390g Paquete 6un,GLORIA,S/ 23.50,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,23.5
Leche SBELT UHT Descremada Caja 946ml Paquete 4un,SBELT,S/ 23.50,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,23.5
Leche Evaporada Entera GLORIA Lata 390g Paquete 6un,GLORIA,S/ 24.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,24.6
Leche Reconstituida Entera GLORIA Lata 390g,GLORIA,S/ 4.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.2
Leche sin Lactosa LAIVE UHT Light Caja 946ml Paquete 4un,LAIVE,S/ 22.90,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,22.9
Leche Condensada NESTLÉ Lata 393g,NESTLÉ,S/ 6.30,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,393.0,g,6.3
Leche Descremada SBELT UHT Tetrapack 946ml,SBELT,S/ 5.89,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,5.89
Leche sin Lactosa LAIVE Botella 390g Paquete 6un,LAIVE,S/ 23.29,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,23.29
Leche sin Lactosa LAIVE UHT Caja 946ml Paquete 4un,LAIVE,S/ 24.50,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,24.5
Leche Evaporada BELL'S Entera Lata 410g,BELL'S,S/ 4.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,410.0,g,4.2
Leche UHT sin Lactosa GLORIA Zero Caja 1L,GLORIA,S/ 6.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,1.0,l,6.2
Leche GLORIA Zero Lacto Lata 390g Paquete 6un,ZERO LACTO,S/ 24.80,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,24.8
Leche sin Lactosa LAIVE UHT Light Tetrapack 946ml,LAIVE,S/ 5.99,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,5.99
Leche GLORIA UHT Light Caja 1L,GLORIA,S/ 6.10,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,1.0,l,6.1
Leche sin Lactosa LAIVE Light Botella 390g Paquete 6un,LAIVE,S/ 23.29,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,23.29
Leche Deslactosada Light DANLAC Botella 900ml,DANLAC,S/ 8.00,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,8.0
Leche sin Lactosa LAIVE Botella 390g,LAIVE,S/ 4.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.4
Leche LAIVE UHT Entera Tetrapack 946ml,LAIVE,S/ 5.70,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,5.7
Leche LAIVE Practi Tarro Botella 390g Paquete 6un,LAIVE,S/ 21.29,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,21.29
Leche GLORIA UHT Entera Caja 1L,GLORIA,S/ 6.00,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,1.0,l,6.0
Leche en Polvo GLORIA Bolsa 96g,GLORIA,S/ 5.70,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,96.0,g,5.7
Leche Parcialmente Descremada LAIVE Deli Avena Botella 250ml,LAIVE,S/ 3.10,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,250.0,ml,3.1
Leche Entera LAIVE UHT Caja 946ml Paquete 4un,LAIVE,S/ 22.50,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,22.5
Leche Descremada GLORIA Slim UHT Triple Zero Caja 1L,GLORIA,S/ 6.10,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,1.0,l,6.1
Leche sin Lactosa LAIVE Pacti Tarro Botella 390g,LAIVE,S/ 3.80,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,3.8
Leche GLORIA UHT Entera Bolsa 900ml,GLORIA,S/ 4.50,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,4.5
Leche UHT LAIVE Light sin Lactosa Bolsa 900ml,LAIVE,S/ 5.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,5.4
Leche GLORIA Niños Lata 390g,GLORIA,S/ 4.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.4
Leche UHT sin Lactosa GLORIA Zero Bolsa 900ml,GLORIA,S/ 4.90,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,4.9
Leche Condensada BELL'S Lata 390g,BELL'S,S/ 4.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.6
Leche UHT VIGOR Bolsa 800ml,VIGOR,S/ 4.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,800.0,ml,4.2
Leche DANLAC Pasteurizada Chocolate Botella 250ml,DANLAC,S/ 3.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,250.0,ml,3.6
Leche sin Lactosa LAIVE Sabor a Chocolate Caja 180ml Paquete 6un,LAIVE,S/ 9.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,180.0,ml,9.2
Leche sin Lactosa LAIVE UHT Tetrapack 946ml,LAIVE,S/ 5.70,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,5.7
Leche UHT LAIVE Entera Sin Lactosa Bolsa 900ml,LAIVE,S/ 4.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,4.6
Leche Asada Personal LA FLORENCIA Envase 1un,LA FLORENCIA,S/ 4.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,1.0,un,4.6
Leche Chocolatada DANLAC Botella 900ml,DANLAC,S/ 8.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,8.6
Leche Condensada GLORIA Lata 393g,GLORIA,S/ 6.90,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,393.0,g,6.9
Leche GLORIA UHT Light Bolsa 900ml,GLORIA,S/ 4.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,4.6
Leche Condensada NESTLÉ Lata 100g,NESTLE,S/ 3.80,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,100.0,g,3.8
Leche Light VIGOR Bolsa 800ml,VIGOR,S/ 4.00,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,800.0,ml,4.0
Leche GLORIA Zero Lacto Lata 390g,ZERO LACTO,S/ 4.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.4
Leche LAIVE UHT Light Tetrapack 946ml,LAIVE,S/ 5.70,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,946.0,ml,5.7
Leche Chocolatada UHT GLORIA Bolsa 900ml,GLORIA,S/ 6.00,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,6.0
