description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Trigo Mote BELL'S Bolsa 500g,BELL'S,S/ 3.40,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,500.0,g,3.4
Harina de Trigo NICOLINI Sin Preparar Bolsa 1Kg,NICOLINI,S/ 6.10,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,6.1
Harina de Trigo Preparada BLANCA FLOR Bolsa 1Kg,BLANCA FLOR,S/ 8.70,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,8.7
Pan Árabe Integral EL CEDRO con Salvado de Trigo Bolsa 10un,EL CEDRO,S/ 7.50,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,10.0,un,7.5
Harina de Trigo Preparada BELL'S Bolsa 1Kg,BELL'S,S/ 6.90,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,6.9
Cereal de Avena Maíz y Trigo ANGEL Meli Bolsa 420g,ANGEL,S/ 16.10,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,420.0,g,16.1
Tortillas de Súper Trigo EL TACO Bolsa 10un,EL TACO,S/ 11.50,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,10.0,un,11.5
Cerveza CUSQUEÑA Trigo Lata 355ml Paquete 6un,CUSQUEÑA,S/ 28.90,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,355.0,ml,28.9
Harina de Trigo NICOLINI Preparada Bolsa 1Kg,NICOLINI,S/ 6.99,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,6.99
Harina de Trigo sin Preparar BELL'S Bolsa 1Kg,BELL'S,S/ 4.29,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,4.29
Cereal ANGEL Trigo integral de avena y maíz sabor fresa Bolsa 350Gr,ANGEL,S/ 16.10,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,350.0,g,16.1
Salvatrigo GRANO DE ORO Salvado de Trigo Doypack 400g,GRANO ORO,S/ 6.70,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,400.0,g,6.7
Snacks de Papa Maíz y Trigo PIQUEO SNAX Bolsa 200g,FRITO LAY,S/ 9.00,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,200.0,g,9.0
Cereal AGE Salvado de Trigo Molido Bolsa 500g,AGE,S/ 15.70,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,500.0,g,15.7
Cerveza CUSQUEÑA Trigo Botella 310ml Paquete 6un,CUSQUEÑA,S/ 23.90,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,310.0,ml,23.9
