description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Aceite Vegetal Primor Premium Botella 900ml,S/ 10.70,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,900.0,ml,10.7
Aceite Vegetal Primor Premium 900ml + Mayonesa AlaCena 850g,S/ 25.50,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,900.0,ml,25.5
Aceite Vegetal Primor Clásico Botella 900ml,S/ 9.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,900.0,ml,9.8
Aceite Vegetal Cuisine & Co 900ml,S/ 8.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,900.0,ml,8.9
Aceite Vegetal Primor Clásico Botella 1.8L,S/ 16.50,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.8,l,16.5
Aceite De Cartamo Oléico Botella 710 ml,S/ 33.60,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,710.0,ml,33.6
Aceite Oleico de Carmano 946ml,S/ 42.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,946.0,ml,42.9
Aceite De Cartamo Oléico Spray 170 g,S/ 24.40,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,170.0,g,24.4
Aceite Oleico de Carmano 380g,S/ 41.40,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,380.0,g,41.4
Aceite de Oliva Filippo Berio Extra Virgen 500ml,S/ 39.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,39.9
Aceite de Oliva Extra Virgen Cuisine & Co 1L,S/ 69.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,69.8
Aceite de Oliva Cuisine & Co 1L,S/ 55.80,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,55.8
Aceite de Oliva Extra Virgen Orgánico Borges Botella 500 ml,S/ 45.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,45.9
Aceite Sabor Original Pam Spray 6 Onzas,S/ 27.40,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,6.0,oz,27.4
Aceite de Oliva El Olivar Extra Virgen 1L,S/ 86.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,86.9
Aceite de Oliva Extra Virgen Filippo Berio 750ml,S/ 59.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,750.0,ml,59.9
Aceite de Ducha Bioderma Atoderm 1L,S/ 131.00,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,131.0
Aceite de Oliva Borges Extra Virgen Botella 500 ml,S/ 39.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,39.9
Aceite de Canola Cuisine & Co Botella 1 lt,S/ 13.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,13.9
Aceite de Oliva Extra Virgen Carbonell Botella 500 ml,S/ 44.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,44.9
Aceite de Oliva El Olivar Extra Virgen 500ml,S/ 48.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,48.9
Aceite de Oliva Extra Virgen Carbonell Botella 1 Lt,S/ 89.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,89.9
Aceite de Oliva Extra Virgen Cuisine & Co 500ml,S/ 39.00,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,39.0
Aceite de Oliva La Española Extra Virgen Botella 1 L,S/ 73.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,73.9
Aceite De Canola Borges Botella 1 Litro,S/ 16.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,16.9
Aceite de Oliva El Olivar Extra Virgen Botella 200 ml,S/ 22.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,200.0,ml,22.9
Aceite de Oliva Filippo Berio Puro Botella 500 ml,S/ 39.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,39.9
Aceite de Coco Orgánico Cuisine & Co 350ml,S/ 29.20,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,350.0,ml,29.2
Aceite de Oliva La Española Extra Virgen 500ml,S/ 42.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,42.9
Aceite De Oliva Extra Suave Borges Botella 500 ml,S/ 24.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,500.0,ml,24.9
Aceite de Oliva Filippo Berio Puro Botella 1 L,S/ 67.90,wong,ACEITE VEGETAL ENVASADO,2024-12-04 19:18:15.633611,1.0,l,67.9
