description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Rocoto x kg,S/ 14.99 x kg,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,1.0,kg,14.99
Ají Amarillo x kg,S/ 11.99 x kg,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,1.0,kg,11.99
Ají de La Casa Wong 250g,S/ 7.92,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,7.92
Ají de La Casa Wong 450g,S/ 13.20,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,450.0,g,13.2
Ají Limo x kg,S/ 11.89 x kg,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,1.0,kg,11.89
Ají Panca en Pasta Cuisine & Co 200g,S/ 5.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,200.0,g,5.9
Ají Parrillero Wong Pote 250 g,S/ 9.50,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,9.5
Ají Panca En Pasta Wong Pote 250 g,S/ 9.50,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,9.5
Ají Amarillo en Pasta Cuisine & Co 200g,S/ 7.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,200.0,g,7.9
Ají Especial Panquita Sin Picante Sibarita Pack 3 Unid x 31.2 g,S/ 3.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,3.0,un,3.9
Ají Mirasol en Pasta Cuisine & Co 200g,S/ 5.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,200.0,g,5.9
Ají Panca Molido Piki 350g,S/ 10.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,350.0,g,10.9
Ají Criollo Wong Pote 250 g,S/ 9.50,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,9.5
Ají Panca Despepitado Naturandes Bandeja 100g,S/ 13.02,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,100.0,g,13.02
Ají Amarillo Molido Piki 350g,S/ 10.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,350.0,g,10.9
Ají de la Abuela Wong 250g,S/ 7.92,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,7.92
Ají Amarillo Molido Piki 1kg,S/ 21.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,1.0,kg,21.9
Rocoto Anticuchero Cuisine & Co 250g,S/ 7.60,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,7.6
Ají Panquita Sibarita Natural Sobre 100 g,S/ 3.40,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,100.0,g,3.4
Ají Mirasol Despepitado Naturandes Bandeja 100g,S/ 13.60,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,100.0,g,13.6
Ají Pollero 75g,S/ 4.70,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,75.0,g,4.7
Ají De La Casa Wong 100g,S/ 3.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,100.0,g,3.9
Ají Panca Molido Piki 1kg,S/ 21.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,1.0,kg,21.9
Ají Huacatay Pote 250 g,S/ 9.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,9.9
Ají Criollo Libby's 380g,S/ 14.40,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,380.0,g,14.4
Rocoto en Pasta Cuisine & Co 200g,S/ 7.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,200.0,g,7.9
Ají Amarillo en Pasta Arezzo 500g,S/ 10.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,500.0,g,10.9
Ají Jalapeño Ecologic 250g,S/ 6.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,250.0,g,6.9
Ají Panca en Polvo Max & Mix Sobre 20 g,S/ 3.70,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,20.0,g,3.7
Ají Amarillo Mirasol en Polvo Max & Mix Sobre 20 g,S/ 3.30,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,20.0,g,3.3
Ají Parrillero Wong 450g,S/ 15.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,450.0,g,15.9
Ají de la Abuela Cuisine & Co 450g,S/ 13.20,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,450.0,g,13.2
Rocoto Anticuchero Cuisine & Co 450g,S/ 12.72,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,450.0,g,12.72
Ají Panca Cuisine & Co 10g,S/ 1.99,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,10.0,g,1.99
Ají Panca Deshidratado Guva 100g,S/ 9.00,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,100.0,g,9.0
Ají Pizza Cuisine & Co 15g,S/ 2.90,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,15.0,g,2.9
Ají Especial de la Casa Arezzo 500g,S/ 12.60,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,500.0,g,12.6
Ají de Gallina con Arroz Blanco Cuisine & Co 400g,S/ 13.20,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,400.0,g,13.2
Ají Pizza Max Mix 40g,S/ 7.99,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,40.0,g,7.99
Ají Mirasol Cuisine & Co 10g,S/ 3.10,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,10.0,g,3.1
Ají Panca en Pasta Arezzo 500g,S/ 9.50,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,500.0,g,9.5
Ají Jalapeño 230g,S/ 7.20,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,230.0,g,7.2
Ají Mirasol Deshidratado Guva 100g,S/ 9.00,wong,AJÍ ROCOTO MOLIDO,2024-12-04 20:32:43.027315,100.0,g,9.0
