description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Carne Molida de Bisteck Nacional x kg,S/ 35.80 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,35.8
Carne Molida Especial Nacional x kg,S/ 24.99 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,24.99
Carne para Guiso Nacional x kg,S/ 33.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,33.9
Carne para Guiso Especial Nacional x kg,S/ 41.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,41.9
Carne de Res para Lomo Saltado x kg,S/ 43.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,43.9
Carne Molida de Pavita San Fernando 500g,S/ 16.40,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,16.4
Carne para Guiso simple Wong Premium x kg,S/ 35.10 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,35.1
Carne de Res Premium Molida Wong x kg,S/ 57.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,57.9
Carne para Guiso Especial Wong Premium x kg,S/ 61.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,61.5
Carne para Lomito Wong Pasturas de Oxapampa x kg,S/ 42.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,42.9
Carne de Pollo Molida San Fernando 500g,S/ 12.70,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,12.7
Carne Molida Especial Congelada Los Hierros x 500 g,S/ 19.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,19.9
Carne para Guiso de Ternero Wong x kg,S/ 41.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,41.9
Carne Molida de Ternero Wong x kg,S/ 57.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,57.9
Carne Molida Porcionada Los Hierros 800g,S/ 19.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,800.0,g,19.9
Carne Molida de Cerdo x kg,S/ 29.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,29.9
Carne Molida Económica Congelada Los Hierros x 500 g,S/ 14.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,14.9
Carne Molida Económica Congelada Los Hierros x 1 Kg,S/ 24.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,24.9
Carne Molida de Pollo x kg,S/ 26.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,26.9
Carne Molida de Pollo Artisan x kg,S/ 42.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,42.5
Carne para Guiso Especial de Ternero Wong x kg,S/ 71.00 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,71.0
Cerdo Duroc Sabor Oriental 530g,S/ 23.99,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,530.0,g,23.99
Cerdo Duroc Sabor Adobo Redondos 530g,S/ 23.99,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,530.0,g,23.99
Carne Trozada de Pollo Apanada Deditos Bolsa 300 g,S/ 13.20,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,300.0,g,13.2
Carne para Guiso Nacional x kg,S/ 30.60 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,30.6
Carne para Saltado de Pollo x Kg,S/ 29.99 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,29.99
Filete de Pechuga de Pollo x kg,S/ 24.00 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,24.0
Huevos Pardos Wong Bandeja 15 Unid,S/ 10.99,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,15.0,un,10.99
