description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Hojuelas de Maíz Kellogg's Corn Flakes 410g,S/ 13.00,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,410.0,g,13.0
Cereal de Trigo Integral Fitness Original 570g,S/ 24.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,570.0,g,24.9
Cereal Corn Flakes Sin Gluten 740g,S/ 20.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,740.0,g,20.9
Cereal Chocapic 540g,S/ 22.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,540.0,g,22.9
Cereal de Trigo Integral Fitness Miel y Almendras 330g,S/ 18.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,330.0,g,18.9
Cereales Angel Life Protein Contenido 560 g,S/ 22.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,560.0,g,22.6
Hojuelas de Maíz Azucaradas Kellogg's Zucaritas 420g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,420.0,g,16.9
Cereal de Trigo Integral Fitness Original 285g,S/ 14.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,285.0,g,14.9
Cereales Angel Life Fibra Contenido 560 g,S/ 22.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,560.0,g,22.6
Cereal Copix con Marshmallows Bolsa 740 g,S/ 24.40,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,740.0,g,24.4
Cereal Capitán Crunch Original Caja 360 g,S/ 45.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,360.0,g,45.9
Cereal Bar 12un Display Costa Choco,S/ 6.20,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,12.0,un,6.2
Cereal de Maíz Corn Flakes 405g,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,405.0,g,13.9
Cereales Bañados con Chocolate Choco Yogurt 2 Cerritos Caja 350 gr,S/ 20.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,350.0,g,20.5
Hojuelas de Avena Integral Sin Gluten Mi Tierra Bolsa 400 g,S/ 11.30,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,400.0,g,11.3
"Cereal Orgánico de Quinua, Arroz y Cacao Kids Organics Caja 240 gr",S/ 20.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,240.0,g,20.1
Cereales Angel Life Cero 300g,S/ 12.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,300.0,g,12.9
Cereal Expandido Protein Bites Cacao Orgánico Caja 240 g,S/ 20.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 18:32:07.751419,240.0,g,20.6
