description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Chuleta de Lomo de Cerdo Sin Piel Porcionado x kg,S/ 23.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,23.9
Chuleta de Lomo de Cerdo Sin Piel x kg,S/ 23.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,23.9
Chuleta de Pierna de Cerdo sin piel x kg,S/ 22.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,22.9
Chuleta de Cerdo Ahumada Kassler Zimmermann x kg,S/ 43.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,43.9
Chuleta de Brazuelo de Cerdo sin Piel x kg,S/ 22.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,22.9
Chuleta Ahumada La Segoviana Paquete 300 g,S/ 15.90,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,300.0,g,15.9
Chuleta de Pierna de Cerdo Sin Piel Porcionado x Kg,S/ 22.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,22.9
Chuleta Ahumada Kassler Cerdeña x kg,S/ 48.50 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,48.5
Chuleta de Lomo Duroc Redondos x kg,S/ 28.80 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,28.8
Chuleta de Brazuelo con Piel de Cerdo x kg,S/ 21.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,21.9
Chuleta Parrillera de Cerdo x kg,S/ 22.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,22.9
Chuleta de Pierna con Piel de Cerdo x kg,S/ 21.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,21.9
Chuleta de Lomo con Piel de Cerdo x kg,S/ 22.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,22.9
Chuleta de Brazuelo de Cerdo sin Piel Porcionado x kg,S/ 22.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,22.9
Chuleta de Hombro de Cerdo Duroc Redondos x kg,S/ 32.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,32.9
Chuleta Punta de Lomo x kg,S/ 16.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,16.9
Chuleta Parrillera de Cerdo con Piel x kg,S/ 22.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,22.9
Chuleta de Pierna de Cerdo con Piel Porcionada x kg,S/ 21.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,21.9
Chuleta de Cerdo Kurobuta SRF x kg,S/ 291.90 x kg,wong,CHULETA DE CERDO,2024-12-04 18:30:49.906276,1.0,kg,291.9
