description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Churrasco Largo Nacional Porcionado x kg,S/ 36.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,36.9
Churrasco Largo Nacional x kg,S/ 36.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,36.9
Churrasco Redondo Nacional Porcionado x kg,S/ 36.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,36.9
Churrasco Redondo Nacional x kg,S/ 36.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,36.9
Churrasco de Marucha de Res Wong x kg,S/ 36.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,36.9
Churrasco Redondo Certified Angus Beef x kg,S/ 199.00 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,199.0
Churrasco Largo Certified Angus Beef x kg,S/ 155.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,155.9
Bisteck Cabeza de Lomo Nacional x kg,S/ 40.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,40.9
Bisteck de Tapa Nacional x kg,S/ 40.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,40.9
Bisteck de Bola de Lomo Wong Premium x kg,S/ 66.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,66.9
Bisteck de Tapa Wong Premium x kg,S/ 66.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,66.9
Bisteck Feteado Wong Pasturas de Oxapampa x kg,S/ 42.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,42.9
Bisteck de Paleta Nacional x kg,S/ 40.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,40.9
Bisteck Bola de Lomo Nacional x kg,S/ 39.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,39.9
Bisteck de Paleta Wong Premium x kg,S/ 66.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,66.9
Bisteck de Tapa Nacional x kg,S/ 40.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,40.9
Cuadril Wong Premium x kg,S/ 78.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,78.9
Papas Fritas Pringles Sabor Churrasco 109g,S/ 8.90,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,109.0,g,8.9
Entrecote de Res Nacional x kg,S/ 59.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,59.9
Bisteck de Paleta Nacional x kg,S/ 40.90 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,40.9
Bola de Lomo Americana Certified Angus Beef x kg,S/ 86.00 x kg,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,86.0
Doguitos Bocaditos para Perro Churrasco de Carne Doypack 65 gr,S/ 8.00,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,65.0,g,8.0
Barritas de Ganado Vacuno Pet's Fun 1kg,S/ 39.90,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,1.0,kg,39.9
Barritas de Ganado Vacuno Pet's Fun 500g,S/ 22.90,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,500.0,g,22.9
Hueso de Ganado Vacuno Deshidratado Pet's Fun 130g,S/ 18.00,wong,CHURRASCO DE VACUNO,2024-12-04 18:38:03.546121,130.0,g,18.0
