description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Crema para Peinar Head & Shoulders Hidratación Aceite de Coco 300ml,S/ 19.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,300.0,ml,19.8
Helado de Crema Peziduri Vainilla 900ml,S/ 9.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,9.5
Helado de Crema Peziduri Tricolor 900ml,S/ 9.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,9.5
Helado de Crema Peziduri Chocolate 900ml,S/ 9.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,9.5
Helado de Crema Peziduri Chocochips 900ml,S/ 9.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,9.5
Helado de Crema Peziduri Lúcuma 900ml,S/ 11.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,11.9
Helado de Crema Turkey Hill Choco Mint Chip 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Turkey Hill Cookies and Cream 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Turkey Hill Tin Roof Sundae 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Turkey Hill Dutch Chocolate 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Sandwich Vainilla 900ml,S/ 19.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,19.9
Helado de Crema Turkey Hill Butter Pecan 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Pack Helado de Crema Peziduri 900ml: Tricolor + Chochochip,S/ 23.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,23.8
Helado de Crema Turkey Hill Chocolate Marshmallow 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Turkey Hill Vainilla Bean Sin Azúcar 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Sublime 900ml,S/ 19.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,19.9
Helado de Crema Turkey Hill Origina Vanilla 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Turkey Hill Black Cherry 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Turkey Hill Neapolitan 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Morochas 900ml,S/ 19.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,19.9
Helado de Crema Turkey Hill Black Raspberry 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Peziduri Fresa 900ml,S/ 11.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,11.9
Helado de Crema Peziduri Choco Brownie 900ml,S/ 19.99,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,19.99
Pack Helado de Crema Donofrio 900ml: Sublime + Sandwich Vainilla,S/ 39.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,39.8
Helado de Crema Turkey Hill Strawberries and Cream 1.36L,S/ 24.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,1.36,l,24.9
Helado de Crema Princesa 900ml,S/ 19.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,19.9
Twopack Helado de Crema Peziduri Vainilla 900ml,S/ 23.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,23.8
Helado de Crema Peziduri Cheesecake Frutos Rojos 900ml,S/ 19.99,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,19.99
Helado de Crema Turkey Hill Cookies & Cream 473ml,S/ 13.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,473.0,ml,13.9
Twopack Helado de Crema Princesa 900ml,S/ 39.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,39.8
Helado de Crema Peziduri Alfajor 900ml,S/ 15.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,15.9
Helado Haagen Dazs Pralines y Crema 473ml,S/ 34.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,473.0,ml,34.9
Twopack Helado de Crema Sandwich Vainilla 900ml,S/ 39.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,39.8
Twopack Helado de Crema Peziduri Tricolor 900ml,S/ 23.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,23.8
Helado de Crema Turkey Hill Choco Mint Chip 473ml,S/ 13.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,473.0,ml,13.9
Twopack Helado de Crema Morochas 900ml,S/ 39.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,39.8
Twopack Helado de Crema Sublime 900ml,S/ 39.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,39.8
Twopack Helado de Crema Peziduri Chocolate 900ml,S/ 23.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,23.8
Twopack Helado de Crema Peziduri Chocochips 900ml,S/ 23.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,23.8
Helado de Crema Turkey Hill Vainilla Bean 473ml,S/ 13.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,473.0,ml,13.9
Twopack Helado de Crema Peziduri Lúcuma 900ml,S/ 23.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,23.8
Twopack Helado de Crema Peziduri Fresa 900ml,S/ 23.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,900.0,ml,23.8
Crema de Licor Baileys Original Irish Cream Botella 750ml + Panetón Donofrio 880g,S/ 109.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,750.0,ml,109.8
Crema de Licor Baileys Salted Caramel Botella 750ml + Panetón Donofrio 880g,S/ 109.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,750.0,ml,109.8
Crema de Licor Baileys Espresso Creme Botella 750ml + Panetón Donofrio 880g,S/ 109.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,750.0,ml,109.8
Panetón D'Onofrio Caja 880g,S/ 25.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,880.0,g,25.9
Sixpack Panetón D'Onofrio Caja 880g,S/ 150.60,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,880.0,g,150.6
Panetón Donofrio 880g,S/ 23.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,880.0,g,23.5
Sixpack Panetón Donofrio 880g,S/ 136.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,880.0,g,136.8
Crema de Ají y Queso AlaCena Huancaína 400g,S/ 13.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,400.0,g,13.5
Crema de Leche Gloria Caja 200 ml,S/ 9.60,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,200.0,ml,9.6
Crema de Ají AlaCena Tarí 400g,S/ 13.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,400.0,g,13.5
Crema de Leche Nestlé Lata 300g,S/ 10.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,300.0,g,10.9
Crema de Avellanas Nutella 350g,S/ 38.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,350.0,g,38.9
Crema de Leche UHT Gloria bolsa 946 ml,S/ 28.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,946.0,ml,28.9
Crema Facial Hidratante Neutrogena Hydro Boost 50g,S/ 59.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,50.0,g,59.5
Crema de Leche Piamonte Bolsa 236 ml,S/ 8.80,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,236.0,ml,8.8
Helado Sandwich Mini Sabor Vainilla 10un,S/ 20.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,10.0,un,20.9
Crema de Rocoto AlaCena Uchucuta 400g,S/ 13.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,400.0,g,13.5
Bombones de Helado D'Onofrio 18un,S/ 14.30,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,18.0,un,14.3
Panetón con Gotas Sabor Chocolate Chocotón Caja 450g,S/ 18.00,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,450.0,g,18.0
Crema de Licor Baileys Original Irish Cream Botella 750ml,S/ 69.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,750.0,ml,69.9
Crema Dental Sensodyne Repara & Protege Blanqueador 100g,S/ 23.50,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,100.0,g,23.5
Crema a Base de Mantequilla Laive 350g,S/ 13.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,350.0,g,13.9
Crema Facial Hidratante Neutrogena Hydro Boost Refill 50g,S/ 47.90,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,50.0,g,47.9
