description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Lechuga Americana x unid,S/ 1.99,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,1.99
Lechuga de Seda Hidropónica de Invernadero Ecologic x unid,S/ 1.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,1.8
Lechuga Romana Hidropónica de Invernadero Ecologic x unid,S/ 2.90,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,2.9
Lechuga Crespa Hidropónica de Invernadero Ecologic x unid,S/ 1.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,1.8
Lechuga Hidropónica Verde Puro x un.,S/ 7.90,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,7.9
Lechuga Romana Entera Verde Puro 200g,S/ 4.30,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,4.3
Lechuga de Seda Hidropónica Manantiales x unid,S/ 3.70,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,3.7
Lechuga Roja Hidropónica de Invernadero Ecologic x unid,S/ 2.70,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,2.7
Lechuga Hoja de Roble Verde Hidropónica Ecologic x unid,S/ 2.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,2.8
Lechuga de Seda Hidropónica Frescas x un,S/ 4.00,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,4.0
Lechuga Butterhead Viva x unid,S/ 8.50,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,8.5
Lechuga Americana Ecologic x un,S/ 3.49,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,3.49
Lechuga de Seda Frescas 130g,S/ 5.80,wong,LECHUGA,2024-12-04 19:43:36.737854,130.0,g,5.8
Lechuga Kale La Huerta Wong x unid,S/ 5.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,5.8
Lechuga Romana Viva 300g,S/ 4.80,wong,LECHUGA,2024-12-04 19:43:36.737854,300.0,g,4.8
Lechuga Crespa Entera Verde Puro 300g,S/ 4.30,wong,LECHUGA,2024-12-04 19:43:36.737854,300.0,g,4.3
Lechuga Crespa Hidropónica Manantiales x unid,S/ 3.40,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,3.4
Lechuga Morada Delisalad 200g,S/ 3.70,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,3.7
Lechuga Criolla Delisalad 200g,S/ 3.50,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,3.5
Lechuga Hoja de Roble Roja Hidropónica de Invernadero Ecologic x unid,S/ 2.90,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,2.9
Mix de Lechuga Crespa Ecologic x 2 Unid,S/ 2.80,wong,LECHUGA,2024-12-04 19:43:36.737854,2.0,un,2.8
Mix de Lechugas BB Verde Puro Bolsa 100 g,S/ 7.30,wong,LECHUGA,2024-12-04 19:43:36.737854,100.0,g,7.3
Mix de Lechuga Cuisine & Co 200g,S/ 5.40,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,5.4
Kale Verde Puro 100g,S/ 7.90,wong,LECHUGA,2024-12-04 19:43:36.737854,100.0,g,7.9
Mix de Lechugas Baby Verde Puro 150g,S/ 9.40,wong,LECHUGA,2024-12-04 19:43:36.737854,150.0,g,9.4
Mix Gourmet Ecologic 250g,S/ 6.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,g,6.8
Ensalada Mix de Lechugas Mattson 130g,S/ 11.50,wong,LECHUGA,2024-12-04 19:43:36.737854,130.0,g,11.5
Ensalada Personal Verde Puro 140g,S/ 7.60,wong,LECHUGA,2024-12-04 19:43:36.737854,140.0,g,7.6
Mix Plus Ecologic 250 g,S/ 5.80,wong,LECHUGA,2024-12-04 19:43:36.737854,250.0,g,5.8
Mix de Lechuga Crespa Ecologic 250g,S/ 6.10,wong,LECHUGA,2024-12-04 19:43:36.737854,250.0,g,6.1
