description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Lomo Fino de Cerdo Otto Kunz x kg,S/ 40.40 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,40.4
Lomo Fino de Cerdo Duroc Redondos x kg,S/ 41.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,41.9
Lomo Enrollado de Cerdo x kg,S/ 28.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,28.9
Lomo Ahumado Zimmermann x kg,S/ 68.00 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,68.0
Lomo de Cerdo en Salsa BBQ Ahuma x kg,S/ 94.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,94.9
Chuleta de Lomo de Cerdo Sin Piel Porcionado x kg,S/ 23.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,23.9
Chuleta de Lomo de Cerdo Sin Piel x kg,S/ 23.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,23.9
Bife de Lomo de Cerdo x kg,S/ 32.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,32.9
Enrollado de Bondiola San Fernando x Kg,S/ 33.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,33.9
Solomillo de Cerdo San Fernando x kg,S/ 43.50 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,43.5
Bife de Lomo de Cerdo x kg,S/ 38.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,38.9
Medallón de Lomo de Cerdo San Fernando x kg,S/ 41.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,41.9
Bife de Lomo de Cerdo Otto Kunz x kg,S/ 39.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,39.9
Bife de Bondiola de Cerdo Duroc Redondos x kg,S/ 39.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,39.9
Picaña de Cerdo Duroc Redondos x kg,S/ 37.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,37.9
Chuleta de Lomo Duroc Redondos x kg,S/ 28.80 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,28.8
Chuleta Parrillera de Cerdo x kg,S/ 22.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,22.9
Tomahawk de Cerdo Duroc Redondos x kg,S/ 40.40 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,40.4
T-Bone de Cerdo Redondos Duroc x kg,S/ 39.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,39.9
Chuleta de Lomo con Piel de Cerdo x kg,S/ 22.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,22.9
Bife de Lomo Marinado Zimmermann Mediterráneo x kg,S/ 44.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,44.9
Bife de Lomo Griego Zimmermann x kg,S/ 44.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,44.9
Chuleta Punta de Lomo x kg,S/ 16.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,16.9
Chuleta Parrillera de Cerdo con Piel x kg,S/ 22.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,22.9
Lomito Fino de Cerdo Kurobuta SRF x kg,S/ 259.90 x kg,wong,LOMO DE CERDO,2024-12-04 18:33:09.205548,1.0,kg,259.9
