description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Mantequilla con Sal Gloria 390g,S/ 17.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,390.0,g,17.9
Mantequilla con Sal Laive 180g,S/ 10.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,10.9
Mantequilla con Sal Gloria 180g,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,9.9
Mantequilla Plusa Con Sal Barra 200 g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,11.9
Mantequilla Gloria Sin Sal 180g,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,9.9
Mantequilla con Sal Laive 180g,S/ 13.99,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,13.99
Mantequilla de Maní Untable Pote 410 g,S/ 25.00,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,25.0
Mantequilla con Sal Danlac Frasco 180g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,16.9
Mantequilla Sin Sal Laive 180g,S/ 10.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,10.9
Mantequilla de Maní Cuisine&Co Frasco 410 g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,21.9
Mantequilla con Sal Gloria 180g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,10.5
Mantequilla con Sal Gloria 90g,S/ 6.40,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,90.0,g,6.4
Mantequilla con Sal Président Barra 200 gr,S/ 20.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,20.7
Mantequilla con Sal Laive 100g,S/ 7.60,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,100.0,g,7.6
Mantequilla de Maní Sin Azúcar Santa Manía Frasco 230 g,S/ 20.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,230.0,g,20.5
Mantequilla sin Sal Président Barra 200 gr,S/ 20.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,20.7
Mantequilla de Maní Spread 410g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,21.9
Mantequilla de Frutos Secos Almendras The Butter Factory Frasco 200 g,S/ 28.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,28.9
Mantequilla de Maní Orgánica Wasi Frasco 240 g,S/ 23.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,240.0,g,23.9
Mantequilla con Sal Piamonte 250g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,250.0,g,16.9
Mantequilla de Maní Peter Pan Crunchy Frasco 16.3 Onzas,S/ 30.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,16.3,oz,30.9
Mantequilla Con Sal Paysan Breton Barra 200 g,S/ 26.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,26.9
Mantequilla de Maní Peter Pan Creamy Frasco 16.3 Onzas,S/ 30.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,16.3,oz,30.9
Mantequilla con Sal La Abuela 150g,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,150.0,g,12.9
Mantequilla La Chuguranita Barra 150 g,S/ 16.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,150.0,g,16.2
Mantequilla de Maní Pote 454 g,S/ 28.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,454.0,g,28.2
Mantequilla de Almendras Sin Azúcar Santa Manía Frasco 185 g,S/ 35.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,185.0,g,35.7
Mantequilla de Frutos Secos Choco Almendras The Butter Factory Frasco 200 g,S/ 32.00,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,32.0
Mantequilla de Frutos Secos Almendras Crunchy The Butter Factory Frasco 200 g,S/ 28.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,28.9
Mantequilla Latteria Soresina Barra 125 g,S/ 26.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,125.0,g,26.5
Mantequilla de Maní Crujiente Essential Everyday 454g,S/ 28.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,454.0,g,28.2
Mantequilla Sin Sal Paysan Breton Barra 200 g,S/ 26.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,26.9
Mantequilla de Maní con Cacao Spread Chocomaní 410g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,21.9
Mantequilla con Sal Arias 235g,S/ 32.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,235.0,g,32.9
Mantequilla Sin Sal Piamonte 250g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,250.0,g,16.9
Mantequilla Vegana Sabor Finas Hierbas Las Tres Gunas 120g,S/ 18.40,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,120.0,g,18.4
Mantequilla Vegana Dyfferent 150g,S/ 19.10,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,150.0,g,19.1
Mantequilla Vegana Las Tres Gunas 120g,S/ 17.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,120.0,g,17.2
Mantequilla Sin Sal Arias 235g,S/ 32.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,235.0,g,32.9
Mantequilla Sin Sal Zanetti 125g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,125.0,g,16.9
Mantequilla de Ajo Italian Rose 198g,S/ 20.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,198.0,g,20.2
Mantequilla Asturiana 125g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,125.0,g,16.9
Mantequilla de Maní Unión 1Kg,S/ 49.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,1.0,kg,49.8
Mantequilla de Maní 200g,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,9.9
Cachito De Mantequilla Don Mamino Bolsa 6 Unidades,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,6.0,un,9.9
Cachito de Mantequilla 5un,S/ 3.25,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,5.0,un,3.25
Margarina Sello de Oro Barra 200g,S/ 4.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,4.5
Crema de Avellanas Nutella 350g,S/ 38.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,38.9
Crema a Base de Mantequilla Laive 350g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,13.9
Crema de Mantequilla Light Laive 180g,S/ 15.49,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,15.49
Crema de Avellanas Nutella 650g,S/ 69.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,650.0,g,69.9
Margarina Sello de Oro Barra 90g,S/ 3.30,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,90.0,g,3.3
Crema Avellanas con Cacao Cuisine & Co 350g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,11.9
Margarina Dorina Clásica 220g,S/ 6.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,220.0,g,6.9
Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g,S/ 11.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,81.0,g,11.2
Margarina Dorina Light Pote 450 g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,450.0,g,10.5
Margarina Manty Clásica 300g,S/ 5.60,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,300.0,g,5.6
Crema de Almendras Cuisine & Co Frasco 410g,S/ 55.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,55.9
Crema de Avellanas Nutella 200g,S/ 28.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,28.5
Margarina Dorina Light 220g,S/ 6.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,220.0,g,6.9
Aceite de Mantequilla Fat Free Pam Spray 141 g,S/ 30.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,141.0,g,30.8
Margarina Sello de Oro Pote 400g,S/ 8.99,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,400.0,g,8.99
Galletas de Mantequilla Moments 280g,S/ 7.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,280.0,g,7.9
Rosquitas de Mantequilla Natural La Cajamarqueza Bolsa 360 g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,360.0,g,13.9
Margarina Dorina Clásica 450g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,450.0,g,10.5
Pop Corn para Microondas Act II Sabor Mantequilla 91g,S/ 4.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,91.0,g,4.9
Crema de Avellanas Duo Cuisine & Co 350g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,11.9
